Suburb,Type,Price,Date,Distance,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,Priceperage,Uppercase,,Pricelandratio,
Ashwood,t,900500,27/11/2016,12.2,2,1,1,646,100,1950,Moonee Valley City Council,-37.7502,144.8923,Western Metropolitan,9264,71,1749.226006,11300,565000,141250,12683.09859,ASHWOOD,,,
Avondale Heights,u,411000,27/11/2016,10.5,2,1,2,537,92,1950,Darebin City Council,-37.7689,145.0177,Northern Metropolitan,2970,71,2271.880819,13260.86957,610000,210344.8276,5788.732394,AVONDALE HEIGHTS,,,
Avondale Heights,h,805000,27/11/2016,10.5,3,1,4,762,142,1950,Maribyrnong City Council,-37.7707,144.8924,Western Metropolitan,4918,71,1450.131234,7781.690141,368333.3333,127011.4943,11338.02817,AVONDALE HEIGHTS,,,
Avondale Heights,h,890000,27/11/2016,10.5,3,1,1,557,111,1950,Hobsons Bay City Council,-37.834,144.8668,Western Metropolitan,5498,71,1579.89228,7927.927928,293333.3333,104761.9048,12535.21127,AVONDALE HEIGHTS,,,
Bentleigh,t,680000,27/11/2016,13,4,2,2,616,,1950,Moreland City Council,-37.7134,144.9096,Northern Metropolitan,2651,71,1347.402597, ,207500,72173.91304,9577.464789,BENTLEIGH,,,
Bentleigh,t,1320000,27/11/2016,13,2,1,2,562,116,1950,Hobsons Bay City Council,-37.8333,144.8868,Western Metropolitan,1223,71,1481.316726,7176.724138,416250,108116.8831,18591.5493,BENTLEIGH,,,
Bentleigh,h,1900000,27/11/2016,13,3,1,1,649,,1950,Moonee Valley City Council,-37.7367,144.9204,Western Metropolitan,3284,71,1949.152542, ,421666.6667,130412.3711,26760.56338,BENTLEIGH,,,
Bentleigh East,h,710000,27/11/2016,13.9,3,2,1,654,180,1950,Moonee Valley City Council,-37.7369,144.9251,Western Metropolitan,3284,71,1567.278287,5694.444444,341666.6667,105670.1031,10000,BENTLEIGH EAST,,,
Bentleigh East,h,1550000,27/11/2016,13.9,3,1,1,694,158,1950,Moonee Valley City Council,-37.7411,144.9262,Western Metropolitan,3284,71,2060.518732,9050.632911,476666.6667,147422.6804,21830.98592,BENTLEIGH EAST,,,
Bentleigh East,u,790000,27/11/2016,13.9,2,1,1,372,110,1950,Darebin City Council,-37.7631,145.0091,Northern Metropolitan,8870,71,2526.88172,8545.454545,470000,144615.3846,11126.76056,BENTLEIGH EAST,,,
Bentleigh East,h,1020000,27/11/2016,13.9,2,2,2,281,,1950,Hobsons Bay City Council,-37.8431,144.8845,Western Metropolitan,5498,71,3380.782918, ,475000,113095.2381,14366.19718,BENTLEIGH EAST,,,
Braybrook,h,565000,27/11/2016,10.8,4,3,2,654,150,1950,Darebin City Council,-37.7365,145.0173,Northern Metropolitan,14577,71,1926.605505,8400,315000,143181.8182,7957.746479,BRAYBROOK,,,
Brighton,u,671000,27/11/2016,11.2,3,2,1,316,,1950,Glen Eira City Council,-37.9245,145.0773,Southern Metropolitan,10969,71,2563.291139, ,270000,58273.38129,9450.704225,BRIGHTON,,,
Brighton,t,2250000,27/11/2016,11.2,3,2,1,1033,164,1950,Monash City Council,-37.8738,145.1095,Southern Metropolitan,3582,71,1370.280736,8631.097561,471833.3333,104080.8824,31690.14085,BRIGHTON,,,
Brighton,h,2900000,27/11/2016,11.2,2,1,1,783,94,1950,Moreland City Council,-37.7196,144.9485,Northern Metropolitan,7485,71,1034.482759,8617.021277,405000,81818.18182,40845.07042,BRIGHTON,,,
Brighton East,u,903000,27/11/2016,10.7,3,2,1,527,177,1950,Darebin City Council,-37.7238,144.9964,Northern Metropolitan,21650,71,1748.57685,5206.214689,307166.6667,82276.78571,12718.30986,BRIGHTON EAST,,,
Brighton East,h,2820000,27/11/2016,10.7,1,1,0,0,42,1950,Melbourne City Council,-37.8406,145.0035,Southern Metropolitan,14887,71, ,8738.095238,367000,111212.1212,39718.30986,BRIGHTON EAST,,,
Brighton East,h,1813000,27/11/2016,10.7,2,3,4,446,244,1950,Maribyrnong City Council,-37.8146,144.8692,Western Metropolitan,6543,71,2550.44843,4661.885246,568750,162500,25535.21127,BRIGHTON EAST,,,
Brighton East,h,1655000,27/11/2016,10.7,2,1,1,534,90,1950,Brimbank City Council,-37.7795,144.8204,Western Metropolitan,2185,71,1123.595506,6666.666667,300000,43165.46763,23309.85915,BRIGHTON EAST,,,
Brunswick,h,1217000,27/11/2016,5.2,2,2,2,607,138,1950,Monash City Council,-37.8964,145.0977,Southern Metropolitan,3224,71,1235.584843,5434.782609,375000,53571.42857,17140.84507,BRUNSWICK,,,
Brunswick,h,1020000,27/11/2016,5.2,4,2,1,582,153,1950,Moonee Valley City Council,-37.7584,144.8568,Western Metropolitan,4502,71,1089.347079,4143.79085,158500,60380.95238,14366.19718,BRUNSWICK,,,
Brunswick,u,1180000,27/11/2016,5.2,4,2,1,0,150,1950,Monash City Council,-37.8507,145.109,Southern Metropolitan,5678,71, ,5333.333333,200000,68376.06838,16619.71831,BRUNSWICK,,,
Brunswick,h,1340000,27/11/2016,5.2,3,2,2,586,150,1950,Bayside City Council,-37.9431,145.0274,Southern Metropolitan,2356,71,2218.430034,8666.666667,433333.3333,89655.17241,18873.23944,BRUNSWICK,,,
Brunswick West,h,1150000,27/11/2016,5.9,4,1,1,595,80,1950,Maribyrnong City Council,-37.7817,144.868,Western Metropolitan,3873,71,1134.453782,8437.5,168750,73369.56522,16197.1831,BRUNSWICK WEST,,,
Carnegie,u,605000,27/11/2016,11.4,3,1,1,643,119,1950,Moonee Valley City Council,-37.7449,144.8899,Western Metropolitan,2291,71,1718.506998,9285.714286,368333.3333,98660.71429,8521.126761,CARNEGIE,,,
Carnegie,h,1300000,27/11/2016,11.4,3,1,1,522,132,1950,Moreland City Council,-37.7187,144.9514,Northern Metropolitan,7485,71,1173.371648,4640.151515,204166.6667,61868.68687,18309.85915,CARNEGIE,,,
Caulfield South,u,290000,27/11/2016,9.3,3,1,2,560,,1950,Darebin City Council,-37.7418,145.0089,Northern Metropolitan,14577,71,1607.142857, ,300000,102272.7273,4084.507042,CAULFIELD SOUTH,,,
Chadstone,h,1000000,27/11/2016,13.6,4,2,2,508,141,1950,Darebin City Council,-37.7129,145.0047,Northern Metropolitan,21650,71,1742.125984,6276.595745,221250,79017.85714,14084.50704,CHADSTONE,,,
Coburg,t,687000,27/11/2016,7.8,2,1,1,0,82,1950,Stonnington City Council,-37.8424,145.0184,Southern Metropolitan,7217,71, ,6402.439024,262500,114130.4348,9676.056338,COBURG,,,
Coburg,h,975000,27/11/2016,7.8,2,1,2,695,114,1950,Monash City Council,-37.8694,145.0944,Southern Metropolitan,2894,71,1546.76259,9429.824561,537500,88114.7541,13732.39437,COBURG,,,
Coburg,h,985000,27/11/2016,7.8,7,3,4,607,,1950,Glen Eira City Council,-37.9269,145.047,Southern Metropolitan,6795,71,1655.68369, ,143571.4286,77307.69231,13873.23944,COBURG,,,
Coburg North,h,970000,27/11/2016,9.2,3,2,2,585,178,1950,Glen Eira City Council,-37.9167,145.0771,Southern Metropolitan,10969,71,2085.470085,6853.932584,406666.6667,87769.78417,13661.97183,COBURG NORTH,,,
Doncaster,t,973500,27/11/2016,13.9,3,1,2,565,110,1950,Glen Eira City Council,-37.9262,145.0808,Southern Metropolitan,10969,71,1566.371681,8045.454545,295000,63669.06475,13711.26761,DONCASTER,,,
Doncaster,u,751800,27/11/2016,13.9,3,1,1,667,136,1950,Monash City Council,-37.8489,145.1093,Southern Metropolitan,5678,71,1949.025487,9558.823529,433333.3333,111111.1111,10588.73239,DONCASTER,,,
Doncaster,h,1100000,27/11/2016,13.9,3,1,1,786,111,1950,Monash City Council,-37.8525,145.1198,Southern Metropolitan,5678,71,1475.826972,10450.45045,386666.6667,99145.29915,15492.95775,DONCASTER,,,
Doncaster,h,1202000,27/11/2016,13.9,3,1,2,565,115,1950,Darebin City Council,-37.7283,144.969,Northern Metropolitan,3445,71,1529.20354,7513.043478,288000,93913.04348,16929.57746,DONCASTER,,,
Doncaster,h,1362000,27/11/2016,13.9,3,2,2,797,180,1950,Stonnington City Council,-37.8783,145.0869,Southern Metropolitan,8801,71,1486.825596,6583.333333,395000,105803.5714,19183.09859,DONCASTER,,,
Elsternwick,h,1605000,27/11/2016,8.5,5,1,3,669,143,1950,Hobsons Bay City Council,-37.8305,144.8736,Western Metropolitan,984,71,1390.134529,6503.496503,186000,102197.8022,22605.6338,ELSTERNWICK,,,
Elwood,u,680000,27/11/2016,7.7,2,1,1,0,,1950,Port Phillip City Council,-37.8758,144.9874,Southern Metropolitan,8989,71, , ,358500,93116.88312,9577.464789,ELWOOD,,,
Elwood,u,730000,27/11/2016,7.7,3,1,2,396,116,1950,Moonee Valley City Council,-37.7484,144.8907,Western Metropolitan,9264,71,2159.090909,7370.689655,285000,106875,10281.69014,ELWOOD,,,
Elwood,u,526000,27/11/2016,7.7,3,2,2,691,150,1950,Stonnington City Council,-37.8734,145.0887,Southern Metropolitan,8801,71,2250.361795,10366.66667,518333.3333,138839.2857,7408.450704,ELWOOD,,,
Elwood,t,920000,27/11/2016,7.7,3,1,3,503,101,1950,Darebin City Council,-37.739,145.0238,Northern Metropolitan,14577,71,1192.842942,5940.594059,200000,68181.81818,12957.74648,ELWOOD,,,
Essendon,u,872000,27/11/2016,8,3,1,2,696,,1950,Darebin City Council,-37.7223,145.0126,Northern Metropolitan,21650,71,1166.666667, ,270666.6667,72500,12281.69014,ESSENDON,,,
Essendon,u,630000,27/11/2016,8,3,1,5,669,124,1950,Hobsons Bay City Council,-37.8321,144.8736,Western Metropolitan,984,71,1472.346786,7943.548387,328333.3333,108241.7582,8873.239437,ESSENDON,,,
Essendon,u,440000,27/11/2016,8,3,1,2,694,125,1950,Glen Eira City Council,-37.9315,145.0445,Southern Metropolitan,6795,71,1678.674352,9320,388333.3333,89615.38462,6197.183099,ESSENDON,,,
Essendon,h,1811000,27/11/2016,8,4,2,4,736,284,1950,Glen Eira City Council,-37.9224,145.0462,Southern Metropolitan,6795,71,2595.108696,6725.352113,477500,146923.0769,25507.04225,ESSENDON,,,
Fairfield,h,1500000,27/11/2016,5.8,5,3,2,623,257,1950,Glen Eira City Council,-37.9066,145.0541,Southern Metropolitan,10969,71,2487.961477,6031.128405,310000,111510.7914,21126.76056,FAIRFIELD,,,
Fairfield,u,600000,27/11/2016,5.8,3,1,1,587,96,1950,Glen Eira City Council,-37.9241,145.0763,Southern Metropolitan,10969,71,1550.255537,9479.166667,303333.3333,65467.6259,8450.704225,FAIRFIELD,,,
Fitzroy,h,4011000,27/11/2016,1.6,3,1,4,498,97,1950,Darebin City Council,-37.7323,144.9833,Northern Metropolitan,3445,71,1279.116466,6567.010309,212333.3333,69239.13043,56492.95775,FITZROY,,,
Fitzroy,h,677000,27/11/2016,1.6,3,2,4,735,,1950,Darebin City Council,-37.7706,145.0225,Northern Metropolitan,2970,71,3197.278912, ,783333.3333,405172.4138,9535.211268,FITZROY,,,
Fitzroy North,u,490000,27/11/2016,3.5,5,2,2,648,364,1950,Bayside City Council,-37.946,145.0181,Southern Metropolitan,5454,71,2631.17284,4684.065934,341000,124452.5547,6901.408451,FITZROY NORTH,,,
Fitzroy North,h,1300000,27/11/2016,3.5,2,2,2,393,140,1950,Bayside City Council,-37.9431,145.0267,Southern Metropolitan,2356,71,2356.234097,6614.285714,463000,63862.06897,18309.85915,FITZROY NORTH,,,
Fitzroy North,h,2150000,27/11/2016,3.5,5,2,2,774,185,1950,Hobsons Bay City Council,-37.8366,144.8758,Western Metropolitan,5498,71,1634.366925,6837.837838,253000,150595.2381,30281.69014,FITZROY NORTH,,,
Flemington,h,1115000,27/11/2016,4.4,2,1,2,349,,1950,Darebin City Council,-37.7351,145.0271,Northern Metropolitan,14577,71,1618.911175, ,282500,64204.54545,15704.22535,FLEMINGTON,,,
Footscray,h,1225000,27/11/2016,6.4,3,1,2,603,131,1950,Brimbank City Council,-37.7891,144.823,Western Metropolitan,6763,71,907.960199,4179.389313,182500,40555.55556,17253.52113,FOOTSCRAY,,,
Glenroy,h,1000000,27/11/2016,13,2,1,2,341,132,1950,Maribyrnong City Council,-37.8224,144.8818,Western Metropolitan,6543,71,2291.788856,5920.454545,390750,111642.8571,14084.50704,GLENROY,,,
Glenroy,h,630000,27/11/2016,13,2,1,1,0,65,1950,Moreland City Council,-37.7543,144.9385,Northern Metropolitan,7082,71, ,7446.153846,242000,82033.89831,8873.239437,GLENROY,,,
Glenroy,h,670000,27/11/2016,13,3,1,2,382,140,1950,Darebin City Council,-37.7696,145.0188,Northern Metropolitan,2970,71,2761.780105,7535.714286,351666.6667,181896.5517,9436.619718,GLENROY,,,
Glenroy,h,417000,27/11/2016,13,4,3,2,562,228,1950,Bayside City Council,-37.9369,145.0163,Southern Metropolitan,5454,71,2597.864769,6403.508772,365000,106569.3431,5873.239437,GLENROY,,,
Glenroy,t,600000,27/11/2016,13,5,2,5,694,232,1950,Maribyrnong City Council,-37.7819,144.8901,Western Metropolitan,4918,71,1658.501441,4961.206897,230200,132298.8506,8450.704225,GLENROY,,,
Hadfield,h,515000,27/11/2016,12.1,3,1,2,449,104,1950,Moreland City Council,-37.7286,144.9456,Northern Metropolitan,7485,71,1559.020045,6730.769231,233333.3333,70707.07071,7253.521127,HADFIELD,,,
Hampton,h,1740000,27/11/2016,13.7,2,1,1,435,114,1950,Maribyrnong City Council,-37.8223,144.8779,Western Metropolitan,6543,71,1793.103448,6842.105263,390000,111428.5714,24507.04225,HAMPTON,,,
Kensington,u,425000,27/11/2016,4.2,3,1,1,463,119,1950,Maribyrnong City Council,-37.8137,144.8636,Western Metropolitan,6543,71,1447.084233,5630.252101,223333.3333,95714.28571,5985.915493,KENSINGTON,,,
Malvern,h,1475000,27/11/2016,7.4,3,2,2,506,169,1950,Glen Eira City Council,-37.902,145.0705,Southern Metropolitan,4442,71,2173.913043,6508.87574,366666.6667,90909.09091,20774.64789,MALVERN,,,
Malvern,u,700000,27/11/2016,7.4,3,2,5,612,174,1950,Moonee Valley City Council,-37.7173,144.8796,Western Metropolitan,3464,71,1702.614379,5988.505747,347333.3333,77185.18519,9859.15493,MALVERN,,,
Malvern East,u,315000,27/11/2016,11.2,3,1,2,624,143,1950,Glen Eira City Council,-37.9256,145.0374,Southern Metropolitan,6795,71,2195.512821,9580.41958,456666.6667,105384.6154,4436.619718,MALVERN EAST,,,
Malvern East,h,1297000,27/11/2016,11.2,4,2,2,618,196,1950,Glen Eira City Council,-37.9252,145.0562,Southern Metropolitan,10969,71,2187.702265,6897.959184,338000,97266.18705,18267.60563,MALVERN EAST,,,
Malvern East,t,1015000,27/11/2016,11.2,2,1,2,667,,1950,Maribyrnong City Council,-37.7799,144.8473,Western Metropolitan,3589,71,1238.38081, ,413000,76481.48148,14295.77465,MALVERN EAST,,,
Malvern East,u,523000,27/11/2016,11.2,3,1,2,453,145,1950,Hobsons Bay City Council,-37.8414,144.8707,Western Metropolitan,5498,71,2097.130243,6551.724138,316666.6667,113095.2381,7366.197183,MALVERN EAST,,,
Malvern East,h,1335000,27/11/2016,11.2,3,1,1,700,130,1950,Brimbank City Council,-37.7902,144.8102,Western Metropolitan,6763,71,887.1428571,4776.923077,207000,46000,18802.8169,MALVERN EAST,,,
Malvern East,u,425000,27/11/2016,11.2,5,2,2,616,184,1950,Moonee Valley City Council,-37.7497,144.8867,Western Metropolitan,588,71,2110.38961,7065.217391,260000,132653.0612,5985.915493,MALVERN EAST,,,
Malvern East,h,1670000,27/11/2016,11.2,2,1,1,0,68,1950,Glen Eira City Council,-37.8959,145.0639,Southern Metropolitan,7822,71, ,5441.176471,185000,32456.14035,23521.12676,MALVERN EAST,,,
Malvern East,h,1350000,27/11/2016,11.2,4,2,1,320,131,1950,Darebin City Council,-37.7242,144.9612,Northern Metropolitan,3445,71,2475,6045.801527,198000,86086.95652,19014.08451,MALVERN EAST,,,
Maribyrnong,h,907000,27/11/2016,8.7,3,2,1,678,184,1950,Monash City Council,-37.898,145.0815,Southern Metropolitan,3145,71,1721.976401,6345.108696,389166.6667,89807.69231,12774.64789,MARIBYRNONG,,,
Maribyrnong,u,570000,27/11/2016,8.7,3,1,2,495,100,1950,Darebin City Council,-37.7521,145.0114,Northern Metropolitan,14577,71,1797.979798,8900,296666.6667,101136.3636,8028.169014,MARIBYRNONG,,,
Middle Park,h,1630000,27/11/2016,4.1,3,1,2,589,128,1950,Darebin City Council,-37.7195,144.9982,Northern Metropolitan,21650,71,1346.349745,6195.3125,264333.3333,70803.57143,22957.74648,MIDDLE PARK,,,
Moonee Ponds,u,470000,27/11/2016,6.9,2,1,4,575,83,1950,Monash City Council,-37.9084,145.0775,Southern Metropolitan,3145,71,1178.26087,8162.650602,338750,52115.38462,6619.71831,MOONEE PONDS,,,
Moonee Ponds,t,1130000,27/11/2016,6.9,2,1,2,527,,1950,Moreland City Council,-37.7304,144.9261,Northern Metropolitan,7485,71,1470.588235, ,387500,78282.82828,15915.49296,MOONEE PONDS,,,
Newport,h,1316000,27/11/2016,8.4,3,1,1,534,100,1950,Moreland City Council,-37.7215,144.951,Northern Metropolitan,7485,71,1121.722846,5990,199666.6667,60505.05051,18535.21127,NEWPORT,,,
Newport,h,816000,27/11/2016,8.4,4,1,2,390,120,1950,Darebin City Council,-37.7395,144.9843,Northern Metropolitan,14577,71,2153.846154,7000,210000,95454.54545,11492.95775,NEWPORT,,,
Niddrie,h,1245000,27/11/2016,11.2,3,2,2,500,150,1950,Darebin City Council,-37.732,145.0209,Northern Metropolitan,14577,71,1500,5000,250000,85227.27273,17535.21127,NIDDRIE,,,
North Melbourne,u,665500,27/11/2016,2.3,3,1,1,688,192,1950,Moonee Valley City Council,-37.7577,144.8892,Western Metropolitan,588,71,1620.639535,5807.291667,371666.6667,113775.5102,9373.239437,NORTH MELBOURNE,,,
North Melbourne,u,550055,27/11/2016,2.3,2,1,1,770,,1950,Darebin City Council,-37.7159,145.0389,Northern Metropolitan,1414,71,916.2337662, ,352750,56895.16129,7747.253521,NORTH MELBOURNE,,,
North Melbourne,u,358000,27/11/2016,2.3,3,2,1,585,180,1950,Manningham City Council,-37.7689,145.099,Eastern Metropolitan,4480,71,1692.307692,5500,330000,83898.30508,5042.253521,NORTH MELBOURNE,,,
North Melbourne,u,320000,27/11/2016,2.3,3,2,3,649,114,1950,Darebin City Council,-37.705,145.0216,Northern Metropolitan,21650,71,1003.081664,5710.526316,217000,58125,4507.042254,NORTH MELBOURNE,,,
North Melbourne,t,1000000,27/11/2016,2.3,3,1,2,277,116,1950,Bayside City Council,-37.9268,144.991,Southern Metropolitan,10579,71,4570.397112,10913.7931,422000,113035.7143,14084.50704,NORTH MELBOURNE,,,
North Melbourne,u,598000,27/11/2016,2.3,2,1,1,585,97,1950,Monash City Council,-37.8792,145.0948,Southern Metropolitan,3582,71,1712.820513,10329.89691,501000,73676.47059,8422.535211,NORTH MELBOURNE,,,
Northcote,h,2160000,27/11/2016,5.5,3,2,3,556,129,1950,Darebin City Council,-37.7305,144.9605,Northern Metropolitan,3445,71,1271.582734,5480.620155,235666.6667,76847.82609,30422.53521,NORTHCOTE,,,
Northcote,u,400000,27/11/2016,5.5,3,3,1,580,103,1950,Moreland City Council,-37.7098,144.9424,Northern Metropolitan,2606,71,1244.827586,7009.708738,240666.6667,59669.42149,5633.802817,NORTHCOTE,,,
Parkville,u,1403000,27/11/2016,2.6,2,1,1,0,72,1950,Maribyrnong City Council,-37.8106,144.8957,Western Metropolitan,6543,71, ,6963.111111,250672,71620.57143,19760.56338,PARKVILLE,,,
Pascoe Vale,t,600000,27/11/2016,9.9,3,2,1,590,160,1950,Hobsons Bay City Council,-37.8382,144.8649,Western Metropolitan,5132,71,1577.966102,5818.75,310333.3333,83873.87387,8450.704225,PASCOE VALE,,,
Pascoe Vale,h,1570000,27/11/2016,9.9,3,1,2,717,141,1950,Moreland City Council,-37.7525,144.9321,Northern Metropolitan,7082,71,1269.177127,6453.900709,303333.3333,154237.2881,22112.67606,PASCOE VALE,,,
Port Melbourne,u,2460000,27/11/2016,3.8,3,1,1,314,,1950,Maribyrnong City Council,-37.7877,144.8772,Western Metropolitan,3873,71,2375.796178, ,248666.6667,81086.95652,34647.88732,PORT MELBOURNE,,,
Port Melbourne,u,540000,27/11/2016,3.8,3,1,1,643,125,1950,Moonee Valley City Council,-37.736,144.8839,Western Metropolitan,2291,71,1578.538103,8120,338333.3333,90625,7605.633803,PORT MELBOURNE,,,
Port Melbourne,h,3705000,27/11/2016,3.8,3,1,0,656,,1950,Moonee Valley City Council,-37.738,144.8816,Western Metropolitan,2291,71,1333.841463, ,291666.6667,78125,52183.09859,PORT MELBOURNE,,,
Port Melbourne,t,950000,27/11/2016,3.8,3,1,2,504,506,1950,Darebin City Council,-37.7476,144.9842,Northern Metropolitan,14577,71,2228.174603,2219.367589,374333.3333,127613.6364,13380.28169,PORT MELBOURNE,,,
Port Melbourne,h,1350000,27/11/2016,3.8,5,2,2,664,178,1950,Glen Eira City Council,-37.9241,145.048,Southern Metropolitan,6795,71,2085.843373,7780.898876,277000,106538.4615,19014.08451,PORT MELBOURNE,,,
Port Melbourne,u,735000,27/11/2016,3.8,4,2,2,610,167,1950,Glen Eira City Council,-37.9207,145.0757,Southern Metropolitan,10969,71,2057.377049,7514.97006,313750,90287.76978,10352.11268,PORT MELBOURNE,,,
Prahran,h,2385000,27/11/2016,4.5,3,1,1,593,94,1950,Glen Eira City Council,-37.9178,145.067,Southern Metropolitan,10969,71,2225.969646,14042.55319,440000,94964.02878,33591.5493,PRAHRAN,,,
Prahran,u,681000,27/11/2016,4.5,3,2,1,326,133,1950,Glen Eira City Council,-37.9236,145.0545,Southern Metropolitan,10969,71,2668.711656,6541.353383,290000,62589.92806,9591.549296,PRAHRAN,,,
Prahran,h,1820000,27/11/2016,4.5,3,1,2,533,127,1950,Moonee Valley City Council,-37.7509,144.8922,Western Metropolitan,9264,71,2088.180113,8763.779528,371000,139125,25633.80282,PRAHRAN,,,
Prahran,h,1305000,27/11/2016,4.5,3,1,2,657,116,1950,Moreland City Council,-37.7019,144.9225,Northern Metropolitan,8870,71,1004.56621,5689.655172,220000,50769.23077,18380.28169,PRAHRAN,,,
Preston,h,871000,27/11/2016,8.8,3,1,2,615,126,1950,Stonnington City Council,-37.8846,145.0861,Southern Metropolitan,8801,71,2898.373984,14146.8254,594166.6667,159151.7857,12267.60563,PRESTON,,,
Preston,h,950000,27/11/2016,8.8,3,1,2,679,143,1950,Darebin City Council,-37.7392,145.0163,Northern Metropolitan,14577,71,1369.661267,6503.496503,310000,105681.8182,13380.28169,PRESTON,,,
Preston,h,870000,27/11/2016,8.8,3,2,1,650,119,1950,Darebin City Council,-37.7302,144.998,Northern Metropolitan,14577,71,1346.153846,7352.941176,291666.6667,99431.81818,12253.52113,PRESTON,,,
Reservoir,h,751000,27/11/2016,11.2,2,1,1,583,,1950,Monash City Council,-37.8693,145.1082,Southern Metropolitan,2894,71,1706.689537, ,497500,81557.37705,10577.46479,RESERVOIR,,,
Reservoir,h,851000,27/11/2016,11.2,3,1,2,348,121,1950,Glen Eira City Council,-37.9273,145.0479,Southern Metropolitan,6795,71,2514.367816,7231.404959,291666.6667,67307.69231,11985.91549,RESERVOIR,,,
Reservoir,h,1025000,27/11/2016,11.2,2,1,1,566,75,1950,Maribyrnong City Council,-37.7839,144.8524,Western Metropolitan,3589,71,1139.575972,8600,322500,59722.22222,14436.61972,RESERVOIR,,,
Richmond,h,1350000,27/11/2016,2.6,3,2,2,684,147,1950,Moonee Valley City Council,-37.7585,144.9317,Western Metropolitan,9264,71,2083.333333,9693.877551,475000,178125,19014.08451,RICHMOND,,,
Richmond,u,807000,27/11/2016,2.6,4,2,1,266,175,1950,Moreland City Council,-37.7797,144.9861,Northern Metropolitan,6244,71,5451.12782,8285.714286,362500,414285.7143,11366.19718,RICHMOND,,,
Richmond,u,385000,27/11/2016,2.6,2,1,1,732,97,1950,Monash City Council,-37.8931,145.0791,Southern Metropolitan,3145,71,2117.486339,15979.38144,775000,119230.7692,5422.535211,RICHMOND,,,
Richmond,h,1150000,27/11/2016,2.6,2,1,2,50,141,1950,Moreland City Council,-37.734,144.9416,Northern Metropolitan,7485,71,22400,7943.262411,560000,113131.3131,16197.1831,RICHMOND,,,
Richmond,h,1775000,27/11/2016,2.6,2,1,1,125,103,1950,Yarra City Council,-37.8106,144.994,Northern Metropolitan,14949,71,7496,9097.087379,468500,360384.6154,25000,RICHMOND,,,
Richmond,h,1270000,27/11/2016,2.6,3,1,3,690,,1950,Hobsons Bay City Council,-37.8272,144.8789,Western Metropolitan,1223,71,1507.246377, ,346666.6667,135064.9351,17887.32394,RICHMOND,,,
South Melbourne,u,742000,27/11/2016,2.1,4,2,1,320,160,1950,Hobsons Bay City Council,-37.8613,144.8988,Western Metropolitan,6380,71,4375,8750,350000,175000,10450.70423,SOUTH MELBOURNE,,,
South Melbourne,h,2075000,27/11/2016,2.1,3,1,2,471,103,1950,Maribyrnong City Council,-37.8149,144.8707,Western Metropolitan,6543,71,1889.596603,8640.776699,296666.6667,127142.8571,29225.35211,SOUTH MELBOURNE,,,
South Melbourne,h,2525000,27/11/2016,2.1,3,1,1,792,792,1950,Monash City Council,-37.864,145.0972,Southern Metropolitan,2894,71,1723.484848,1723.484848,455000,111885.2459,35563.38028,SOUTH MELBOURNE,,,
South Yarra,u,470000,27/11/2016,3.3,2,1,1,0,,1950,Bayside City Council,-37.9097,144.9914,Southern Metropolitan,10579,71, , ,295000,52678.57143,6619.71831,SOUTH YARRA,,,
South Yarra,h,2667000,27/11/2016,3.3,2,2,2,700,168,1950,Moreland City Council,-37.7056,144.9384,Northern Metropolitan,2606,71,1000,4166.666667,350000,57851.23967,37563.38028,SOUTH YARRA,,,
South Yarra,h,2200000,27/11/2016,3.3,4,2,2,700,224,1950,Bayside City Council,-37.9419,145.0156,Southern Metropolitan,5454,71,2578.571429,8058.035714,451250,131751.8248,30985.91549,SOUTH YARRA,,,
South Yarra,h,1700000,27/11/2016,3.3,2,1,1,0,82,1950,Moonee Valley City Council,-37.7701,144.9079,Western Metropolitan,6232,71, ,5121.95122,210000,60869.56522,23943.66197,SOUTH YARRA,,,
Spotswood,h,1070000,27/11/2016,7.7,4,2,2,1034,151,1950,Darebin City Council,-37.7379,144.9851,Northern Metropolitan,14577,71,783.3655706,5364.238411,202500,92045.45455,15070.42254,SPOTSWOOD,,,
St Kilda,u,500000,27/11/2016,6.1,2,1,3,560,110,1950,Darebin City Council,-37.721,144.9885,Northern Metropolitan,21650,71,1544.642857,7863.636364,432500,77232.14286,7042.253521,ST KILDA,,,
St Kilda,u,760000,27/11/2016,6.1,3,1,1,700,98,1950,Darebin City Council,-37.7125,145.022,Northern Metropolitan,21650,71,928.5714286,6632.653061,216666.6667,58035.71429,10704.22535,ST KILDA,,,
St Kilda,u,580000,27/11/2016,6.1,3,1,2,472,95,1950,Hobsons Bay City Council,-37.8302,144.8885,Western Metropolitan,1223,71,2288.135593,11368.42105,360000,140259.7403,8169.014085,ST KILDA,,,
Sunshine,h,895000,27/11/2016,12.6,2,1,1,1034,55,1950,Port Phillip City Council,-37.8717,144.9829,Southern Metropolitan,13240,71,502.901354,9454.545455,260000,85245.90164,12605.6338,SUNSHINE,,,
Sunshine West,h,705000,27/11/2016,13.5,3,2,1,606,159,1950,Moonee Valley City Council,-37.7378,144.9168,Western Metropolitan,3284,71,2194.719472,8364.779874,443333.3333,137113.4021,9929.577465,SUNSHINE WEST,,,
