Suburb,Type,Price,Date,Distance,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Propertycount,Buildingage2,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,Priceperage,Uppercase,,Buildingage,,#REF!
Essendon,h,2125000,24/02/2018,7.5,4,2,2,,209,2005,Monash City Council,-37.85758,145.10792,5678,16, ,7081.339713,370000,142307.6923,132812.5,ESSENDON,,16,,
Essendon,u,502000,24/02/2018,7.5,3,2,2,,135,2005,Darebin City Council,-37.73865,144.97283,11204,16, ,5214.814815,234666.6667,105074.6269,31375,ESSENDON,,16,,
Essendon North,h,710000,24/02/2018,8.2,3,2,2,,111,2005,Maroondah City Council,-37.78802,145.30495,11925,16, ,5675.675676,210000,27391.30435,44375,ESSENDON NORTH,,16,,
Essendon West,t,800000,24/02/2018,7.5,4,3,2,,213,2005,Melbourne City Council,-37.78509,144.92743,3593,16, ,5211.267606,277500,326470.5882,50000,ESSENDON WEST,,16,,
Essendon West,h,1365000,24/02/2018,7.5,3,2,2,309,150,2005,Whitehorse City Council,-37.82653,145.20261,6871,16,2937.864078,6052,302600,52779.06977,85312.5,ESSENDON WEST,,16,,
Fairfield,h,1275000,24/02/2018,5.7,4,2,2,2679,4,2005,Moreland City Council,-37.70207,144.89805,1071,16,237.0287421,158750,158750,49224.8062,79687.5,FAIRFIELD,,16,,
Ferntree Gully,t,636000,24/02/2018,24.8,3,2,3,,,2005,Yarra City Council,-37.81852,145.00413,14949,16, , ,493333.3333,616666.6667,39750,FERNTREE GULLY,,16,,
Fitzroy North,h,1362500,24/02/2018,3.6,2,1,2,,,2005,Melbourne City Council,-37.80704,144.94632,2230,16, , ,352500,227419.3548,85156.25,FITZROY NORTH,,16,,
Flemington,h,850000,24/02/2018,3.4,3,2,2,,,2005,Monash City Council,-37.87472,145.17493,15321,16, , ,310000,55688.62275,53125,FLEMINGTON,,16,,
Footscray,h,945000,24/02/2018,5.1,3,2,1,,103,2005,Maribyrnong City Council,-37.80893,144.8763,1808,16, ,6912.621359,237333.3333,111250,59062.5,FOOTSCRAY,,16,,
Footscray,h,931000,24/02/2018,5.1,4,3,2,622,,2005,Hobsons Bay City Council,-37.84471,144.86594,5498,16,1575.562701, ,245000,158064.5161,58187.5,FOOTSCRAY,,16,,
Gardenvale,h,883000,24/02/2018,7.2,2,1,1,,85,2005,Melbourne City Council,-37.84432,144.94372,8648,16, ,7058.823529,300000,171428.5714,55187.5,GARDENVALE,,16,,
Glen Waverley,h,1330000,24/02/2018,16.7,4,2,2,301,209,2005,Darebin City Council,-37.73697,144.97568,11204,16,3239.202658,4665.07177,243750,145522.3881,83125,GLEN WAVERLEY,,16,,
Glen Waverley,h,1280000,24/02/2018,16.7,3,2,2,,,2005,Darebin City Council,-37.70731,145.02098,21650,16, , ,250666.6667,62666.66667,80000,GLEN WAVERLEY,,16,,
Glen Waverley,h,1250000,24/02/2018,16.7,3,2,2,297,,2005,Hobsons Bay City Council,-37.85537,144.87578,802,16,4006.734007, ,396666.6667,175000,78125,GLEN WAVERLEY,,16,,
Glen Waverley,h,1000000,24/02/2018,16.7,2,2,1,,85,2005,Yarra City Council,-37.80896,144.9911,4553,16, ,6647.058824,282500,282500,62500,GLEN WAVERLEY,,16,,
Glenroy,h,629000,24/02/2018,11.2,4,3,2,616,302,2005,Bayside City Council,-37.94964,145.02753,4794,16,3102.272727,6327.81457,477750,119437.5,39312.5,GLENROY,,16,,
Hadfield,h,750000,24/02/2018,11.2,3,2,2,,119,2005,Monash City Council,-37.87141,145.13029,13366,16, ,7168.067227,284333.3333,60070.42254,46875,HADFIELD,,16,,
Hampton,h,2440000,24/02/2018,13.8,4,2,2,406,243,2005,Moreland City Council,-37.70305,144.89815,1071,16,2216.748768,3703.703704,225000,69767.44186,152500,HAMPTON,,16,,
Hampton,h,1615000,24/02/2018,13.8,3,2,2,306,130,2005,Glen Eira City Council,-37.88854,145.01938,5051,16,5408.496732,12730.76923,551666.6667,190229.8851,100937.5,HAMPTON,,16,,
Highett,t,870000,24/02/2018,16,3,2,2,,225,2005,Melbourne City Council,-37.84349,145.0035,14887,16, ,11111.11111,833333.3333,925925.9259,54375,HIGHETT,,16,,
Highett,h,1280000,24/02/2018,16,3,1,1,201,124,2005,Moonee Valley City Council,-37.75728,144.85825,4502,16,3495.024876,5665.322581,234166.6667,73947.36842,80000,HIGHETT,,16,,
Highett,h,1650000,24/02/2018,16,5,3,2,,309,2005,Glen Eira City Council,-37.90672,145.05512,10969,16, ,6877.022654,425000,153985.5072,103125,HIGHETT,,16,,
Hillside,h,605000,24/02/2018,18,3,2,2,,174,2005,Brimbank City Council,-37.76065,144.79152,2674,16, ,3568.965517,207000,41959.45946,37812.5,HILLSIDE,,16,,
Hillside,h,765000,24/02/2018,18,4,2,3,,259,2005,Whitehorse City Council,-37.8476,145.1974,4280,16, ,6023.166023,390000,90697.67442,47812.5,HILLSIDE,,16,,
Hillside,h,950000,24/02/2018,18,5,3,4,662,513,2005,Bayside City Council,-37.9059,144.992,10579,16,7779.456193,10038.98635,1030000,490476.1905,59375,HILLSIDE,,16,,
Hillside,h,840000,24/02/2018,18,4,3,4,,464,2005,Bayside City Council,-37.9248,145.0199,6938,16, ,7155.172414,830000,322330.0971,52500,HILLSIDE,,16,,
Keilor East,h,800000,24/02/2018,11.7,5,2,2,695,242,2005,Knox City Council,-37.8827,145.2405,7082,16,1733.81295,4979.338843,241000,81972.78912,50000,KEILOR EAST,,16,,
Keilor Lodge,h,653000,24/02/2018,15.5,3,2,2,,171,2005,Brimbank City Council,-37.74007,144.86567,5629,16, ,4795.321637,273333.3333,70085.47009,40812.5,KEILOR LODGE,,16,,
Kensington,h,1394000,24/02/2018,3.4,4,2,2,1105,251,2005,Bayside City Council,-37.97677,145.03506,5366,16,1628.959276,7171.314741,450000,104046.2428,87125,KENSINGTON,,16,,
Kensington,h,1640000,24/02/2018,3.4,4,2,1,158,120,2005,Moreland City Council,-37.7302,144.92928,7485,16,5126.582278,6750,202500,95294.11765,102500,KENSINGTON,,16,,
Malvern East,h,2200000,24/02/2018,8.4,3,2,2,192,120,2005,Darebin City Council,-37.73771,144.9881,14577,16,4479.166667,7166.666667,286666.6667,102380.9524,137500,MALVERN EAST,,16,,
Malvern East,h,3680000,24/02/2018,8.4,3,2,1,239,162,2005,Moreland City Council,-37.756,144.95869,11918,16,4623.430962,6820.987654,368333.3333,212500,230000,MALVERN EAST,,16,,
Malvern East,h,2200000,24/02/2018,8.4,3,2,1,1727,129,2005,Yarra City Council,-37.78915,144.99605,2954,16,602.2003474,8062.015504,346666.6667,288888.8889,137500,MALVERN EAST,,16,,
Malvern East,h,2425000,24/02/2018,8.4,4,3,2,304,,2005,Port Phillip City Council,-37.88731,144.98948,8989,16,10000, ,760000,422222.2222,151562.5,MALVERN EAST,,16,,
Malvern East,h,1040000,24/02/2018,8.4,2,1,2,152,110,2005,Darebin City Council,-37.74542,145.00086,14577,16,4177.631579,5772.727273,317500,75595.2381,65000,MALVERN EAST,,16,,
Malvern East,h,1250000,24/02/2018,8.4,4,2,2,643,363,2005,Boroondara City Council,-37.8421,145.0719,8920,16,,,685000,,78125,MALVERN EAST,,16,,
Maribyrnong,t,637500,24/02/2018,4.3,5,3,4,645,222,2005,Boroondara City Council,-37.8317,145.0738,3265,16,,,586000,,39843.75,MARIBYRNONG,,16,,
Middle Park,h,5575000,24/02/2018,3,4,2,2,317,210,2005,Boroondara City Council,-37.8344,145.0422,11308,16,,,412500,,348437.5,MIDDLE PARK,,16,,
Middle Park,h,1711000,24/02/2018,3,2,1,1,0,76,2005,Boroondara City Council,-37.8226,145.0368,11308,16,,,242500,,106937.5,MIDDLE PARK,,16,,
Middle Park,h,3750000,24/02/2018,3,2,2,1,0,,2005,Boroondara City Council,-37.8162,145.0592,10331,16,,,240000,,234375,MIDDLE PARK,,16,,
Middle Park,h,1720000,24/02/2018,3,1,1,1,0,55,2005,Boroondara City Council,-37.7999,145.0544,10331,16,,,395000,,107500,MIDDLE PARK,,16,,
Middle Park,h,3250000,24/02/2018,3,3,2,2,414,,2005,Boroondara City Council,-37.7938,145.0545,2671,16,,,450000,,203125,MIDDLE PARK,,16,,
Middle Park,h,1712000,24/02/2018,3,2,2,2,0,116,2005,Boroondara City Council,-37.8161,145.1098,2079,16,,,362500,,107000,MIDDLE PARK,,16,,
Mitcham,h,1600000,24/02/2018,17.2,2,1,1,0,92,2005,Boroondara City Council,-37.8161,145.1098,2079,16,,,260000,,100000,MITCHAM,,16,,
Mitcham,h,1070000,24/02/2018,17.2,3,2,1,247,145,2005,Boroondara City Council,-37.836,145.1046,5457,16,,,383333.3333,,66875,MITCHAM,,16,,
Moonee Ponds,h,750000,24/02/2018,6.2,3,2,2,94,169,2005,Boroondara City Council,-37.8302,145.0525,6482,16,,,370000,,46875,MOONEE PONDS,,16,,
Moonee Ponds,h,1300000,24/02/2018,6.2,3,3,1,329,178,2005,Boroondara City Council,-37.8101,145.0844,5682,16,,,560000,,81250,MOONEE PONDS,,16,,
Moonee Ponds,h,2760000,24/02/2018,6.2,3,2,3,,150,2005,Boroondara City Council,-37.8051,145.08928,5682,16,,,473333.3333,,172500,MOONEE PONDS,,16,,
Mount Waverley,h,1760000,24/02/2018,14.2,3,2,2,,181,2005,Boroondara City Council,-37.82592,145.1112,5457,16,,,488333.3333,,110000,MOUNT WAVERLEY,,16,,
Mount Waverley,h,1870000,24/02/2018,14.2,4,2,1,338,200,2005,Boroondara City Council,-37.86058,145.08542,3052,16,,,412500,,116875,MOUNT WAVERLEY,,16,,
Mount Waverley,h,1450000,24/02/2018,14.2,2,2,1,213,127,2006,Hobsons Bay City Council,-37.8441,144.8805,5498,15,3474.178404,5826.771654,370000,88095.2381,96666.66667,MOUNT WAVERLEY,,15,,
Murrumbeena,t,1325000,24/02/2018,10.1,3,2,3,2522,195,2006,Hobsons Bay City Council,-37.8462,144.8944,5498,15,555.1149881,7179.487179,466666.6667,166666.6667,88333.33333,MURRUMBEENA,,15,,
Newport,h,1085000,24/02/2018,6.2,2,2,1,0,110,2006,Melbourne City Council,-37.8392,144.9257,8648,15, ,10000,550000,289473.6842,72333.33333,NEWPORT,,15,,
Newport,h,895000,24/02/2018,6.2,3,1,2,274,,2006,Darebin City Council,-37.7815,145.0096,11364,15,3558.394161, ,325000,177272.7273,59666.66667,NEWPORT,,15,,
Newport,h,1150000,24/02/2018,6.2,3,2,2,203,160,2006,Maribyrnong City Council,-37.7853,144.8972,4918,15,4039.408867,5125,273333.3333,94252.87356,76666.66667,NEWPORT,,15,,
Newport,h,1237500,24/02/2018,6.2,3,2,2,0,,2006,Stonnington City Council,-37.8555,145.0291,4836,15, , ,1208333.333,575396.8254,82500,NEWPORT,,15,,
Niddrie,h,920000,24/02/2018,10.4,3,2,1,327,124,2006,Maribyrnong City Council,-37.7851,144.8517,3589,15,1513.761468,3991.935484,165000,45833.33333,61333.33333,NIDDRIE,,15,,
Niddrie,h,1135000,24/02/2018,10.4,2,2,1,224,94,2006,Monash City Council,-37.8738,145.1054,3582,15,3125,7446.808511,350000,51470.58824,75666.66667,NIDDRIE,,15,,
Northcote,h,1050000,24/02/2018,5.3,2,2,1,217,113,2006,Moonee Valley City Council,-37.7465,144.8868,2291,15,3041.474654,5840.707965,330000,58928.57143,70000,NORTHCOTE,,15,,
Northcote,h,1266000,24/02/2018,5.3,1,1,1,0,60,2006,Melbourne City Council,-37.8416,144.939,8648,15, ,8333.333333,500000,131578.9474,84400,NORTHCOTE,,15,,
Northcote,h,1930000,24/02/2018,5.3,3,2,1,146,106,2006,Moreland City Council,-37.7152,144.9346,7485,15,2945.205479,4056.603774,143333.3333,43434.34343,128666.6667,NORTHCOTE,,15,,
Northcote,h,1950000,24/02/2018,5.3,2,1,1,0,86,2006,Melbourne City Council,-37.8416,144.939,8648,15, ,7616.27907,327500,172368.4211,130000,NORTHCOTE,,15,,
Nunawading,t,900000,24/02/2018,15.4,2,2,2,0,98,2006,Port Phillip City Council,-37.8647,144.9819,13240,15, ,8010.204082,392500,128688.5246,60000,NUNAWADING,,15,,
Oakleigh,h,1580000,24/02/2018,12.3,4,2,2,753,204,2006,Hobsons Bay City Council,-37.8413,144.8741,5498,15,1088.977424,4019.607843,205000,97619.04762,105333.3333,OAKLEIGH,,15,,
Pascoe Vale,h,1300000,24/02/2018,8.5,3,2,2,260,128,2006,Darebin City Council,-37.7106,145.0225,21650,15,2115.384615,4296.875,183333.3333,49107.14286,86666.66667,PASCOE VALE,,15,,
Pascoe Vale,h,860000,24/02/2018,8.5,4,2,2,144,,2006,Glen Eira City Council,-37.9021,145.0357,3578,15,8312.5, ,299250,101440.678,57333.33333,PASCOE VALE,,15,,
Port Melbourne,h,1150000,24/02/2018,3.5,4,2,2,296,205,2006,Glen Eira City Council,-37.9197,145.057,10969,15,3395.27027,4902.439024,251250,72302.15827,76666.66667,PORT MELBOURNE,,15,,
Port Melbourne,h,1735000,24/02/2018,3.5,2,1,1,0,63,2006,Hobsons Bay City Council,-37.8413,144.8741,5498,15, ,7698.412698,242500,57738.09524,115666.6667,PORT MELBOURNE,,15,,
Prahran,h,2500000,24/02/2018,4.6,3,2,2,196,154,2006,Maribyrnong City Council,-37.7987,144.9034,7570,15,5000,6363.636364,326666.6667,153125,166666.6667,PRAHRAN,,15,,
Preston,h,1570000,24/02/2018,8.4,3,1,4,578,176,2006,Maribyrnong City Council,-37.7837,144.8887,4918,15,1418.685121,4659.090909,273333.3333,94252.87356,104666.6667,PRESTON,,15,,
Preston,h,1495000,24/02/2018,8.4,3,2,2,321,180,2006,Glen Eira City Council,-37.914,145.0714,10969,15,3613.707165,6444.444444,386666.6667,83453.23741,99666.66667,PRESTON,,15,,
Preston,h,950000,24/02/2018,8.4,2,2,2,54,89,2006,Melbourne City Council,-37.8094,144.9479,2230,15,14814.81481,8988.764045,400000,421052.6316,63333.33333,PRESTON,,15,,
Preston,h,1300000,24/02/2018,8.4,4,2,2,598,337,2006,Glen Eira City Council,-37.9138,145.0774,10969,15,2840.949833,5041.210682,424722,122222.1583,86666.66667,PRESTON,,15,,
Reservoir,h,1285000,24/02/2018,12,3,2,1,293,180,2006,Darebin City Council,-37.7481,144.9663,11204,15,3822.525597,6222.222222,373333.3333,143589.7436,85666.66667,RESERVOIR,,15,,
Richmond,h,1185000,24/02/2018,2.4,1,1,1,0,59,2006,Glen Eira City Council,-37.8822,144.9994,4898,15, ,8474.576271,500000,58823.52941,79000,RICHMOND,,15,,
Richmond,h,1777500,24/02/2018,2.4,2,1,1,0,71,2006,Melbourne City Council,-37.8424,144.9449,8648,15, ,9436.619718,335000,176315.7895,118500,RICHMOND,,15,,
Richmond,h,1930000,24/02/2018,2.4,2,1,1,841,,2006,Port Phillip City Council,-37.8612,144.985,13240,15,535.0772889, ,225000,73770.4918,128666.6667,RICHMOND,,15,,
Ringwood,t,845000,24/02/2018,19.9,1,1,1,0,59,2006,Melbourne City Council,-37.8157,144.9727,17496,15, ,11169.49153,659000,235357.1429,56333.33333,RINGWOOD,,15,,
Ringwood East,h,830000,24/02/2018,21.3,3,2,2,206,173,2006,Maribyrnong City Council,-37.8127,144.8965,6543,15,4635.92233,5520.231214,318333.3333,136428.5714,55333.33333,RINGWOOD EAST,,15,,
Rowville,h,920000,24/02/2018,23.5,3,2,3,446,,2006,Maribyrnong City Council,-37.7923,144.8814,5058,15,2017.93722, ,300000,109756.0976,61333.33333,ROWVILLE,,15,,
Sandringham,t,1450000,24/02/2018,15.2,2,2,1,0,84,2006,Melbourne City Council,-37.802,144.9459,6821,15, ,7619.047619,320000,278260.8696,96666.66667,SANDRINGHAM,,15,,
Scoresby,h,1358000,24/02/2018,22.2,3,2,4,482,256,2006,Darebin City Council,-37.7529,144.9534,11204,15,3614.107884,6804.6875,580666.6667,223333.3333,90533.33333,SCORESBY,,15,,
South Melbourne,h,1750000,24/02/2018,1.9,3,2,2,202,121,2006,Maribyrnong City Council,-37.768,144.8894,4918,15,3279.70297,5475.206612,220833.3333,76149.42529,116666.6667,SOUTH MELBOURNE,,15,,
South Melbourne,h,1720000,24/02/2018,1.9,2,1,1,0,57,2006,Melbourne City Council,-37.8044,144.9566,6821,15, ,8245.614035,235000,204347.8261,114666.6667,SOUTH MELBOURNE,,15,,
South Melbourne,h,1840000,24/02/2018,1.9,2,1,2,520,300,2006,Moreland City Council,-37.7204,144.9446,7485,15,1425,2470,370500,74848.48485,122666.6667,SOUTH MELBOURNE,,15,,
South Yarra,h,1720000,24/02/2018,2.7,4,2,2,581,244,2006,Darebin City Council,-37.6926,144.9861,21650,15,1464.716007,3487.704918,212750,75982.14286,114666.6667,SOUTH YARRA,,15,,
Spotswood,h,895000,24/02/2018,6.2,2,1,1,1981,111,2006,Moonee Valley City Council,-37.7677,144.9221,6232,15,259.9697123,4639.63964,257500,74637.68116,59666.66667,SPOTSWOOD,,15,,
St Albans,h,641000,24/02/2018,14,3,1,2,184,108,2006,Darebin City Council,-37.7825,145.0104,11364,15,4701.086957,8009.259259,288333.3333,157272.7273,42733.33333,ST ALBANS,,15,,
St Albans,t,520000,24/02/2018,14,5,3,4,800,335,2006,Manningham City Council,-37.7696,145.1078,5420,15,937.5,2238.80597,150000,54347.82609,34666.66667,ST ALBANS,,15,,
St Albans,h,635000,24/02/2018,14,2,1,1,0,59,2006,Melbourne City Council,-37.7966,144.9254,5263,15, ,7203.389831,212500,101190.4762,42333.33333,ST ALBANS,,15,,
St Kilda,h,920000,24/02/2018,5,3,2,2,207,,2006,Darebin City Council,-37.7086,145.0251,21650,15,2995.169082, ,206666.6667,55357.14286,61333.33333,ST KILDA,,15,,
Strathmore,h,1480000,24/02/2018,8.2,5,3,2,501,233,2006,Stonnington City Council,-37.8631,145.0353,4675,15,4640.718563,9978.540773,465000,314189.1892,98666.66667,STRATHMORE,,15,,
Sunshine,h,950000,24/02/2018,10.5,2,2,1,4230,,2006,Melbourne City Council,-37.8157,144.9727,17496,15,274.3498818, ,580250,414464.2857,63333.33333,SUNSHINE,,15,,
Sunshine North,h,700000,24/02/2018,10.5,3,2,2,332,252,2006,Hobsons Bay City Council,-37.8652,144.9019,6380,15,5421.686747,7142.857143,600000,225000,46666.66667,SUNSHINE NORTH,,15,,
Sunshine North,h,503000,24/02/2018,10.5,3,2,2,1039,133,2006,Port Phillip City Council,-37.8638,144.982,13240,15,1077.959577,8421.052632,373333.3333,183606.5574,33533.33333,SUNSHINE NORTH,,15,,
Sunshine North,h,890000,24/02/2018,10.5,2,2,1,2920,84,2006,Port Phillip City Council,-37.8709,144.9807,13240,15,209.0753425,7267.857143,305250,100081.9672,59333.33333,SUNSHINE NORTH,,15,,
Sydenham,h,683000,24/02/2018,18,4,2,2,332,159,2006,Brimbank City Council,-37.7962,144.8064,6763,15,1551.204819,3238.993711,128750,38148.14815,45533.33333,SYDENHAM,,15,,
Templestowe Lower,h,1030000,24/02/2018,12.4,2,1,1,0,115,2006,Glen Eira City Council,-37.9296,145.0498,6795,15, ,6304.347826,362500,55769.23077,68666.66667,TEMPLESTOWE LOWER,,15,,
Templestowe Lower,h,1350000,24/02/2018,12.4,4,3,2,183,191,2006,Hobsons Bay City Council,-37.8566,144.8737,6380,15,6557.377049,6282.722513,300000,150000,90000,TEMPLESTOWE LOWER,,15,,
Thornbury,t,1400000,24/02/2018,7,3,2,2,334,,2006,Glen Eira City Council,-37.9284,145.0428,6795,15,3901.197605, ,434333.3333,100230.7692,93333.33333,THORNBURY,,15,,
Thornbury,h,1105000,24/02/2018,7,3,1,2,290,,2006,Glen Eira City Council,-37.9292,145.0689,10969,15,2862.068966, ,276666.6667,59712.23022,73666.66667,THORNBURY,,15,,
Thornbury,h,1200000,24/02/2018,7,4,2,1,3747,143,2006,Darebin City Council,-37.7551,144.9787,11204,15,181.4785161,4755.244755,170000,87179.48718,80000,THORNBURY,,15,,
Thornbury,h,1605500,24/02/2018,7,4,4,2,370,255.79,2006,Monash City Council,-37.8919,145.0781,3145,15,3621.621622,5238.672348,335000,103076.9231,107033.3333,THORNBURY,,15,,
Thornbury,h,1000000,24/02/2018,7,2,1,0,0,60,2006,Melbourne City Council,-37.8084,144.9602,17496,15, ,7533.333333,226000,161428.5714,66666.66667,THORNBURY,,15,,
Vermont South,h,1170000,24/02/2018,17.2,3,2,2,235,130,2006,Monash City Council,-37.8625,145.1083,2894,15,3787.234043,6846.153846,296666.6667,72950.81967,78000,VERMONT SOUTH,,15,,
West Footscray,h,832000,24/02/2018,6.4,2,1,1,430,258,2006,Moreland City Council,-37.7609,144.9623,11918,15,1360.465116,2267.44186,292500,112500,55466.66667,WEST FOOTSCRAY,,15,,
West Footscray,h,900000,24/02/2018,6.4,3,2,2,718,,2006,Yarra City Council,-37.8065,144.9781,5825,15,1846.796657, ,442000,828750,60000,WEST FOOTSCRAY,,15,,
Wheelers Hill,h,1400000,24/02/2018,16.7,1,1,0,91,,2006,Melbourne City Council,-37.7914,144.93076,5263,15,7857.142857, ,715000,210294.1176,93333.33333,WHEELERS HILL,,15,,
Williamstown,h,2020000,24/02/2018,6.8,4,3,2,284,180,2006,Manningham City Council,-37.79773,145.15141,10999,15,3961.267606,6250,281250,78671.32867,134666.6667,WILLIAMSTOWN,,15,,
Williamstown,h,940000,24/02/2018,6.8,3,1,1,305,,2006,Brimbank City Council,-37.78874,144.82399,6763,15,1485.245902, ,151000,43142.85714,62666.66667,WILLIAMSTOWN,,15,,
Williamstown,h,1400000,24/02/2018,6.8,4,2,2,680,680,2006,Bayside City Council,-37.94882,145.03111,4794,15,2676.470588,2676.470588,455000,113750,93333.33333,WILLIAMSTOWN,,15,,
Williamstown North,h,830000,24/02/2018,6.8,2,1,1,72,,2006,Whitehorse City Council,-37.81477,145.18867,6871,15,6666.666667, ,240000,27906.97674,55333.33333,WILLIAMSTOWN NORTH,,15,,
Yarraville,h,888000,24/02/2018,6.3,3,2,2,295,144,2006,Monash City Council,-37.90088,145.11692,2547,15,2966.101695,6076.388889,291666.6667,71138.21138,59200,YARRAVILLE,,15,,
Yarraville,t,705000,24/02/2018,6.3,3,2,2,240,180,2006,Bayside City Council,-37.9461,145.02432,4794,15,4291.666667,5722.222222,343333.3333,64375,47000,YARRAVILLE,,15,,
Yarraville,h,1020000,24/02/2018,6.3,2,2,1,3093,75,2006,Stonnington City Council,-37.86165,145.02148,4836,15,265.438086,10946.66667,410500,130317.4603,68000,YARRAVILLE,,15,,
Airport West,h,975000,3/03/2018,10.4,4,2,2,543,,2006,Whitehorse City Council,-37.80651,145.16457,2867,15,2394.106814, ,325000,97014.92537,65000,AIRPORT WEST,,15,,
Airport West,t,891000,3/03/2018,10.4,3,2,1,,,2006,Monash City Council,-37.89402,145.10902,13366,15, , ,291666.6667,61619.71831,59400,AIRPORT WEST,,15,,
Alphington,h,2420000,3/03/2018,5.7,3,2,2,236,138,2006,Monash City Council,-37.88678,145.12748,13366,15,4385.59322,7500,345000,72887.32394,161333.3333,ALPHINGTON,,15,,
Altona North,h,700000,3/03/2018,9.4,3,2,2,,150,2006,Darebin City Council,-37.70932,145.02043,21650,15, ,4833.333333,241666.6667,60416.66667,46666.66667,ALTONA NORTH,,15,,
Ardeer,h,624000,3/03/2018,12.8,4,4,2,,303,2006,Darebin City Council,-37.69495,144.98464,21650,15, ,4125.412541,312500,104166.6667,41600,ARDEER,,15,,
Ascot Vale,h,1050000,3/03/2018,4.3,2,2,1,14294,77,2006,Yarra City Council,-37.81894,145.01314,14949,15,41.41597873,7688.311688,296000,246666.6667,70000,ASCOT VALE,,15,,
Beaumaris,t,1820000,3/03/2018,17.3,3,1,1,,23,2006,Maribyrnong City Council,-37.80811,144.87919,1808,15, ,32173.91304,246666.6667,115625,121333.3333,BEAUMARIS,,15,,
Beaumaris,h,1645000,3/03/2018,17.3,2,1,1,,,2006,Glen Eira City Council,-37.88625,145.05666,7822,15, , ,245000,48514.85149,109666.6667,BEAUMARIS,,15,,
Beaumaris,h,1674000,3/03/2018,17.3,3,2,3,,145,2006,Darebin City Council,-37.77001,145.00559,11364,15, ,7965.517241,385000,217924.5283,111600,BEAUMARIS,,15,,
Beaumaris,h,1880000,3/03/2018,17.3,3,2,1,,140,2006,Darebin City Council,-37.70409,145.02589,21650,15, ,4857.142857,226666.6667,56666.66667,125333.3333,BEAUMARIS,,15,,
Bentleigh,t,1350000,3/03/2018,11.4,3,2,2,320,,2006,Moonee Valley City Council,-37.74617,144.91991,9264,15,2812.5, ,300000,120000,90000,BENTLEIGH,,15,,
Bentleigh,h,1300000,3/03/2018,11.4,4,3,2,836,389,2006,Moonee Valley City Council,-37.74228,144.90228,9264,15,3014.354067,6478.1491,630000,336000,86666.66667,BENTLEIGH,,15,,
Bentleigh East,t,1282000,3/03/2018,13.8,4,2,2,,252,2006,Bayside City Council,-37.95438,145.04475,4794,15, ,6587.301587,415000,103750,85466.66667,BENTLEIGH EAST,,15,,
Bentleigh East,h,1180000,3/03/2018,13.8,3,2,2,,209,2006,Maribyrnong City Council,-37.78441,144.89605,4918,15, ,5502.392344,383333.3333,267441.8605,78666.66667,BENTLEIGH EAST,,15,,
Bentleigh East,h,1669000,3/03/2018,13.8,4,2,3,926,292,2006,Whitehorse City Council,-37.82825,145.15816,5713,15,2095.032397,6643.835616,485000,144776.1194,111266.6667,BENTLEIGH EAST,,15,,
Bentleigh East,h,1146000,3/03/2018,13.8,3,2,2,,278,2006,Maribyrnong City Council,-37.786,144.8968,4918,15, ,4478.417266,415000,289534.8837,76400,BENTLEIGH EAST,,15,,
Black Rock,h,1980000,3/03/2018,17.3,3,2,2,,182,2006,Maribyrnong City Council,-37.7861,144.8938,4918,15, ,5494.505495,333333.3333,232558.1395,132000,BLACK ROCK,,15,,
Blackburn South,h,1400000,3/03/2018,13.4,4,2,2,,26,2006,Brimbank City Council,-37.7989,144.8076,6763,15, ,22307.69231,145000,55238.09524,93333.33333,BLACKBURN SOUTH,,15,,
Box Hill,h,2128888,3/03/2018,10.9,4,3,2,,222,2006,Glen Eira City Council,-37.88707,145.07492,4442,15, ,7211.711712,400250,158514.8515,141925.8667,BOX HILL,,15,,
Braybrook,h,801500,3/03/2018,8.6,3,2,2,256,172,2006,Moreland City Council,-37.70202,144.89983,1071,15,2734.375,4069.767442,233333.3333,54263.56589,53433.33333,BRAYBROOK,,15,,
Brighton,h,1925000,3/03/2018,10.5,4,2,3,680,265,2006,Brimbank City Council,-37.68197,144.73107,5556,15,1000,2566.037736,170000,37777.77778,128333.3333,BRIGHTON,,15,,
Brighton,h,1826000,3/03/2018,10.5,2,1,4,1439,72,2006,Melbourne City Council,-37.79687,144.96685,6786,15,451.7025712,9027.777778,325000,406250,121733.3333,BRIGHTON,,15,,
Brighton,h,1250000,3/03/2018,10.5,4,2,2,367,186,2006,Hobsons Bay City Council,-37.82529,144.87296,1223,15,2438.692098,4811.827957,223750,144354.8387,83333.33333,BRIGHTON,,15,,
Brighton,h,2300000,3/03/2018,10.5,4,2,2,646,260,2006,Bayside City Council,-37.97559,145.04546,5366,15,2546.439628,6326.923077,411250,95086.7052,153333.3333,BRIGHTON,,15,,
Brighton East,h,1840000,3/03/2018,10.3,3,2,2,351,228,2006,Boroondara City Council,-37.8742,145.07,3052,15,,,554000,,122666.6667,BRIGHTON EAST,,15,,
Brighton East,h,2500000,3/03/2018,10.3,5,3,2,600,356,2006,Boroondara City Council,-37.8061,145.0801,5682,15,,,450000,,166666.6667,BRIGHTON EAST,,15,,
Brighton East,h,2070000,3/03/2018,10.3,4,3,2,657,355,2006,Boroondara City Council,-37.7981,145.0904,7809,15,,,643750,,138000,BRIGHTON EAST,,15,,
