Suburb,Address,Rooms,Type,   Price   ,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,,
Brighton,10A Dawson Av,4,t," $3,820,000.00 ",SP,Buxton,28/10/2017,10.5,3186,4,2,2,420,351,2010,Bayside City Council,-37.89238,144.98907,Southern Metropolitan,10579,,
Brighton,24 Grosvenor St,4,h," $3,850,000.00 ",VB,Marshall,28/10/2017,10.5,3186,4,2,2,823,365,1937,Bayside City Council,-37.90946,144.98919,Southern Metropolitan,10579,,
Brighton,23A New St,4,h," $1,950,000.00 ",PI,Nick,28/10/2017,10.5,3186,4,3,2,,206,2000,Bayside City Council,-37.92928,144.99364,Southern Metropolitan,10579,,
Brighton,157 North Rd,3,h," $1,850,000.00 ",PI,Buxton,28/10/2017,10.5,3186,3,2,2,691,167,1930,Bayside City Council,-37.89946,145.00537,Southern Metropolitan,10579,,
Brighton,55B South Rd,3,h," $2,100,000.00 ",VB,Buxton,28/10/2017,10.5,3186,3,2,2,525,262,1935,Bayside City Council,-37.92798,144.9948,Southern Metropolitan,10579,,
Brighton East,5 Chapman St,5,h," $2,000,000.00 ",VB,Marshall,28/10/2017,10.3,3187,5,2,2,604,239,1935,Bayside City Council,-37.92824,145.00922,Southern Metropolitan,6938,,
Brighton East,6 Ratho Av,4,h," $2,220,000.00 ",S,RT,28/10/2017,10.3,3187,4,1,2,819,224,1935,Bayside City Council,-37.92851,145.00533,Southern Metropolitan,6938,,
Brunswick,56 Barrow St,5,h," $2,020,000.00 ",S,hockingstuart,28/10/2017,5.2,3056,5,3,1,382,192,1900,Moreland City Council,-37.75996,144.96994,Northern Metropolitan,11918,,
Brunswick,5 Crook St,3,h," $1,150,000.00 ",VB,Nelson,28/10/2017,5.2,3056,3,1,1,,117,1900,Moreland City Council,-37.76177,144.9572,Northern Metropolitan,11918,,
Brunswick,185 Edward St,3,h," $1,200,000.00 ",S,Nelson,28/10/2017,5.2,3056,3,1,1,,44,2014,Moreland City Council,-37.77473,144.97026,Northern Metropolitan,11918,,
Brunswick,95 Evans St,2,h," $894,000.00 ",SP,Nelson,28/10/2017,5.2,3056,2,1,0,,73,1900,Moreland City Council,-37.77033,144.97069,Northern Metropolitan,11918,,
Brunswick East,228 Edward St,3,h," $1,975,000.00 ",S,Jellis,28/10/2017,4,3057,3,2,1,,160,1910,Moreland City Council,-37.77563,144.97592,Northern Metropolitan,5533,,
Brunswick West,18 Hamilton St,3,h," $1,310,000.00 ",S,Nelson,28/10/2017,5.2,3055,3,2,1,408,155,1920,Moreland City Council,-37.76007,144.94888,Northern Metropolitan,7082,,
Brunswick West,2 Mincha St,5,h," $2,600,000.00 ",PI,Jellis,28/10/2017,5.2,3055,5,3,2,,412,2012,Moreland City Council,-37.77432,144.94191,Northern Metropolitan,7082,,
Brunswick West,9/9 Waxman Pde,2,u," $698,000.00 ",S,Barry,28/10/2017,5.2,3055,2,1,1,,97,1920,Moreland City Council,-37.75815,144.93439,Northern Metropolitan,7082,,
Bulleen,2A Austin St,3,h," $1,100,000.00 ",PI,Barry,28/10/2017,10.8,3105,3,3,3,,200,2004,Manningham City Council,-37.76472,145.08315,Eastern Metropolitan,4480,,
Bulleen,5 Penderel Wy,4,h," $1,830,000.00 ",SP,Jellis,28/10/2017,10.8,3105,4,3,2,700,350,1998,Manningham City Council,-37.76125,145.09478,Eastern Metropolitan,4480,,
Burwood,79 Elgar Rd,10,h," $2,315,000.00 ",SP,Buxton,28/10/2017,10.4,3125,10,9,2,612,466,2015,Monash City Council,-37.84461,145.10968,Southern Metropolitan,5678,,
Burwood East,9 Keats St,4,h," $1,260,000.00 ",S,Harcourts,28/10/2017,14.7,3151,4,2,2,582,149,1970,Whitehorse City Council,-37.85144,145.14736,Eastern Metropolitan,4048,,
Cairnlea,16 Appletree Gr,3,h," $621,000.00 ",S,Barry,28/10/2017,14.8,3023,3,2,2,,174,2005,Brimbank City Council,-37.76065,144.79152,Western Metropolitan,2674,,
Carnegie,68A Lyons St,5,t," $1,665,000.00 ",S,Buxton,28/10/2017,10.1,3163,5,2,3,,235,2015,Glen Eira City Council,-37.8957,145.05317,Southern Metropolitan,7822,,
Carnegie,9 Margaret St,4,h," $1,700,000.00 ",PI,Ray,28/10/2017,10.1,3163,4,2,1,464,175,1930,Glen Eira City Council,-37.89086,145.06327,Southern Metropolitan,7822,,
Caulfield South,18 Royal Pde,4,h," $1,730,000.00 ",S,Gary,28/10/2017,8.7,3162,4,1,2,,119,1950,Glen Eira City Council,-37.88789,145.01753,Southern Metropolitan,5051,,
Cheltenham,2 Cameron St,4,h," $1,475,000.00 ",S,Buxton,28/10/2017,17.9,3192,4,2,2,604,137,1955,Bayside City Council,-37.96928,145.05851,Southern Metropolitan,9758,,
Cheltenham,178 Charman Rd,3,h," $1,250,000.00 ",VB,Buxton,28/10/2017,17.9,3192,3,1,1,604,137,1955,Bayside City Council,-37.97307,145.05446,Southern Metropolitan,9758,,
Cheltenham,32 Primrose Av,3,t," $700,000.00 ",VB,Buxton,28/10/2017,17.9,3192,3,2,2,171,122,2014,Bayside City Council,-37.95671,145.0686,Southern Metropolitan,9758,,
Cheltenham,4 Robross St,4,h," $1,100,000.00 ",PI,Greg,28/10/2017,17.9,3192,4,2,2,,189,1960,Bayside City Council,-37.96386,145.06962,Southern Metropolitan,9758,,
Clayton,5 Flora Rd,3,h," $800,000.00 ",PI,Ray,28/10/2017,16.7,3168,3,2,2,257,146,2000,Monash City Council,-37.91737,145.11569,South-Eastern Metropolitan,5837,,
Clayton,324 Haughton Rd,3,h," $1,004,000.00 ",S,Woodards,28/10/2017,16.7,3168,3,1,1,852,117,1950,Monash City Council,-37.91883,145.11209,South-Eastern Metropolitan,5837,,
Clifton Hill,13 Gray St,3,h," $1,740,000.00 ",S,Purplebricks,28/10/2017,3.6,3068,3,1,2,,115,1920,Yarra City Council,-37.79421,145.00035,Northern Metropolitan,2954,,
Clifton Hill,25 Hodgkinson St,5,h," $3,025,000.00 ",PI,Nelson,28/10/2017,3.6,3068,5,2,3,,218,1875,Yarra City Council,-37.79165,144.98677,Northern Metropolitan,2954,,
Clifton Hill,86 Ramsden St,4,h," $3,100,000.00 ",VB,Collins,28/10/2017,3.6,3068,4,2,2,293,246,1920,Yarra City Council,-37.7907,145.00008,Northern Metropolitan,2954,,
Coburg,11 Lobb St,4,h," $1,350,000.00 ",SP,Barry,28/10/2017,6.7,3058,4,2,1,404,172,1920,Darebin City Council,-37.7401,144.96505,Northern Metropolitan,11204,,
Coburg,55 Moore St,4,h," $1,269,000.00 ",S,Nelson,28/10/2017,6.7,3058,4,1,1,422,150,1920,Darebin City Council,-37.7543,144.97134,Northern Metropolitan,11204,,
Coburg,75 Phillips St,3,h," $1,150,000.00 ",VB,Nelson,28/10/2017,6.7,3058,3,1,2,459,126,1930,Darebin City Council,-37.74587,144.95445,Northern Metropolitan,11204,,
Coburg North,141 Elizabeth St,5,h," $1,190,000.00 ",S,Jellis,28/10/2017,6.7,3058,5,3,2,460,253,2013,Darebin City Council,-37.73108,144.98351,Northern Metropolitan,3445,,
Croydon,99 Eastfield Rd,3,h," $660,000.00 ",S,McGrath,28/10/2017,23,3136,3,1,2,512,89,1960,Maroondah City Council,-37.81139,145.27414,Eastern Metropolitan,11925,,
Croydon,27 Stirling Rd,4,h," $1,115,000.00 ",S,Fletchers,28/10/2017,23,3136,4,2,2,1237,215,1970,Maroondah City Council,-37.79136,145.27375,Eastern Metropolitan,11925,,
Croydon,16 Tara Cl,4,h," $1,060,000.00 ",PI,Fletchers,28/10/2017,23,3136,4,2,2,864,236,2000,Maroondah City Council,-37.81127,145.2871,Eastern Metropolitan,11925,,
Deer Park,31 Poole St,3,h," $765,000.00 ",S,Douglas,28/10/2017,14.8,3023,3,1,2,691,101,1960,Brimbank City Council,-37.77382,144.77038,Western Metropolitan,6388,,
Derrimut,39 Palmer Pde,4,h," $730,000.00 ",S,FN,28/10/2017,14.7,3030,4,2,2,,193,2009,Brimbank City Council,-37.79017,144.75801,Western Metropolitan,2276,,
Doncaster,31 Ayr St,3,h," $1,343,500.00 ",S,Ray,28/10/2017,12.4,3108,3,2,2,,140,1970,Manningham City Council,-37.78477,145.10407,Eastern Metropolitan,9028,,
Doncaster,6 Benalong Ct,4,h," $1,500,000.00 ",S,RT,28/10/2017,12.4,3108,4,2,2,,200,1983,Manningham City Council,-37.78375,145.12028,Eastern Metropolitan,9028,,
Doncaster,27 Buckingham Cr,3,h," $1,490,000.00 ",S,Noel,28/10/2017,12.4,3108,3,1,2,,115,1980,Manningham City Council,-37.77945,145.10869,Eastern Metropolitan,9028,,
Doncaster East,271 Blackburn Rd,3,h," $1,155,000.00 ",S,Barry,28/10/2017,14.3,3109,3,1,1,656,108,1968,Manningham City Council,-37.7805,145.16319,Eastern Metropolitan,10999,,
Doncaster East,36 Gedye St,4,h," $1,105,000.00 ",SP,Philip,28/10/2017,14.3,3109,4,2,1,655,158,1970,Manningham City Council,-37.79845,145.14881,Eastern Metropolitan,10999,,
Doncaster East,23 Longstaff Ct,4,h," $1,450,000.00 ",S,Jellis,28/10/2017,14.3,3109,4,2,2,872,258,1984,Manningham City Council,-37.77524,145.16846,Eastern Metropolitan,10999,,
Doncaster East,9 Pickering Pl,5,h," $1,250,000.00 ",VB,Barry,28/10/2017,14.3,3109,5,3,2,,360,1985,Manningham City Council,-37.76692,145.17795,Eastern Metropolitan,10999,,
Elwood,20 Addison St,3,h," $1,640,000.00 ",S,Chisholm,28/10/2017,7.2,3184,3,1,2,,123,1930,Port Phillip City Council,-37.87505,144.98085,Southern Metropolitan,8989,,
Elwood,12/1 Glen Huntly Rd,2,u," $800,000.00 ",VB,Greg,28/10/2017,7.2,3184,2,1,1,,0,1950,Port Phillip City Council,-37.88183,144.98046,Southern Metropolitan,8989,,
Essendon,33 Amelia Av,4,h," $1,507,000.00 ",S,Nelson,28/10/2017,7.5,3040,4,2,2,558,147,1925,Moonee Valley City Council,-37.74476,144.92504,Western Metropolitan,9264,,
Essendon,5a Mary St,2,u," $880,000.00 ",SP,Barry,28/10/2017,7.5,3040,2,1,1,,101,1990,Moonee Valley City Council,-37.7494,144.8971,Western Metropolitan,9264,,
Essendon North,55 Bulla Rd,2,h," $750,000.00 ",SP,Nelson,28/10/2017,8.2,3041,2,1,2,304,97,1950,Moonee Valley City Council,-37.73977,144.90675,Western Metropolitan,1308,,
Fairfield,190 Arthur St,4,h," $1,900,000.00 ",S,Jellis,28/10/2017,5.7,3078,4,2,1,474,230,1920,Darebin City Council,-37.77226,145.02019,Northern Metropolitan,2970,,
Fitzroy North,77 Scotchmer St,3,h," $1,260,000.00 ",VB,Jellis,28/10/2017,3.6,3068,3,1,0,,126,1890,Moreland City Council,-37.78286,144.9812,Northern Metropolitan,6244,,
Flemington,53 Marshall St,3,h," $1,161,000.00 ",S,Nelson,28/10/2017,3.4,3031,3,1,1,223,150,1910,Melbourne City Council,-37.78643,144.92482,Northern Metropolitan,3593,,
Glen Waverley,2 Hampton Ct,4,h," $1,300,000.00 ",S,Ray,28/10/2017,16.7,3150,4,2,0,712,163,1960,Monash City Council,-37.8939,145.14707,Eastern Metropolitan,15321,,
Glen Waverley,5 Jordan Gr,4,h," $1,500,000.00 ",S,Barry,28/10/2017,16.7,3150,4,1,1,708,160,1955,Monash City Council,-37.88638,145.16745,Eastern Metropolitan,15321,,
Glenroy,10 Morley St,3,h," $780,000.00 ",S,Raine,28/10/2017,11.2,3046,3,1,4,695,100,1950,Moreland City Council,-37.70106,144.93721,Northern Metropolitan,8870,,
Gowanbrae,10 Duranta Dr,1,h," $290,000.00 ",S,Nelson,28/10/2017,12.9,3043,1,1,0,225,155,2017,Moreland City Council,-37.70201,144.90146,Western Metropolitan,1071,,
Gowanbrae,3 Lilac Mw,4,h," $790,000.00 ",SP,Nelson,28/10/2017,12.9,3043,4,2,2,653,181,2002,Moreland City Council,-37.7031,144.89443,Western Metropolitan,1071,,
Hadfield,58 Sutherland St,5,h," $1,077,500.00 ",S,Stockdale,28/10/2017,11.2,3046,5,3,2,604,245,1950,Moreland City Council,-37.70618,144.94787,Northern Metropolitan,2606,,
Hadfield,28 Walter St,2,h," $665,000.00 ",S,Eview,28/10/2017,11.2,3046,2,2,2,286,116,2012,Moreland City Council,-37.71173,144.94035,Northern Metropolitan,2606,,
Hampton,10 Fewster Rd,4,h," $2,025,000.00 ",S,hockingstuart,28/10/2017,13.8,3188,4,2,2,662,180,1920,Bayside City Council,-37.938,145.01357,Southern Metropolitan,5454,,
Heathmont,6 Orchard Gr,4,h," $900,000.00 ",SP,Barry,28/10/2017,21.3,3135,4,2,2,731,186,1950,Maroondah City Council,-37.83465,145.24245,Eastern Metropolitan,3794,,
Highett,8 Monamie Av,2,h," $900,000.00 ",PI,Charlton,28/10/2017,16,3190,2,1,1,723,92,1950,Bayside City Council,-37.9458,145.03799,Southern Metropolitan,4794,,
Highett,24 View St,5,h," $1,776,000.00 ",S,Hodges,28/10/2017,16,3190,5,3,2,501,312,2015,Bayside City Council,-37.94996,145.0452,Southern Metropolitan,4794,,
Highett,188 Wickham Rd,3,h," $1,100,000.00 ",S,Obrien,28/10/2017,16,3190,3,2,1,635,109,1950,Bayside City Council,-37.94612,145.04873,Southern Metropolitan,4794,,
Hillside,5 Palm Cl,4,h," $681,000.00 ",S,Barry,28/10/2017,18,3037,4,2,2,666,191,1997,Brimbank City Council,-37.69618,144.74584,Western Metropolitan,5556,,
Hillside,13 Penshurst Ct,4,h," $682,100.00 ",S,HAR,28/10/2017,18,3037,4,2,4,735,159,1995,Brimbank City Council,-37.69768,144.74959,Western Metropolitan,5556,,
Keilor,22 Karina Ct,4,h," $1,210,000.00 ",SP,Brad,28/10/2017,14.5,3036,4,3,2,1101,296,1985,Brimbank City Council,-37.70572,144.81384,Western Metropolitan,2339,,
Keilor Downs,35 Stockwell Cr,4,h," $900,000.00 ",PI,Brad,28/10/2017,15.5,3038,5,3,5,821,249,1998,Brimbank City Council,-37.71415,144.79239,Western Metropolitan,3656,,
Kensington,18 Drury St,3,t," $850,000.00 ",VB,Nelson,28/10/2017,3.4,3031,3,1,1,,103,1994,Melbourne City Council,-37.79012,144.92507,Northern Metropolitan,5263,,
Kilsyth,148 Lomond Av,3,h," $651,000.00 ",S,Philip,28/10/2017,26,3137,3,2,2,,123,1970,Maroondah City Council,-37.79743,145.32188,Eastern Metropolitan,4654,,
Kingsville,20 Chirnside St,3,h," $1,180,000.00 ",SP,Greg,28/10/2017,6.4,3012,3,2,0,277,137,1910,Maribyrnong City Council,-37.80535,144.88297,Western Metropolitan,1808,,
Kingsville,93 Chirnside St,3,h," $1,170,000.00 ",S,hockingstuart,28/10/2017,6.4,3012,3,2,1,275,110,1910,Maribyrnong City Council,-37.8085,144.88274,Western Metropolitan,1808,,
Malvern East,14 Fountaine Av,4,h," $2,090,000.00 ",S,Marshall,28/10/2017,8.4,3145,4,3,2,569,240,1920,Stonnington City Council,-37.88247,145.06621,Southern Metropolitan,8801,,
Malvern East,33 Grant St,5,h," $6,125,000.00 ",S,Marshall,28/10/2017,8.4,3145,5,3,2,1384,340,1982,Stonnington City Council,-37.87181,145.05288,Southern Metropolitan,8801,,
Maribyrnong,31 Ibis Pl,3,u," $750,000.00 ",VB,Dingle,28/10/2017,4.3,3032,3,2,1,,125,2007,Maribyrnong City Council,-37.78453,144.89696,Western Metropolitan,4918,,
Maribyrnong,26 Oakland St,4,h," $1,765,000.00 ",S,Rendina,28/10/2017,4.3,3032,4,3,3,669,223,1910,Maribyrnong City Council,-37.77008,144.89428,Western Metropolitan,4918,,
Mitcham,62 Brunswick Rd,3,h," $1,050,000.00 ",PI,Noel,28/10/2017,17.2,3132,3,1,1,662,149,1970,Whitehorse City Council,-37.81846,145.20078,Eastern Metropolitan,6871,,
Mitcham,3 Nara Rd,5,h," $1,230,000.00 ",PI,Noel,28/10/2017,17.2,3132,5,3,2,676,320,1972,Whitehorse City Council,-37.81042,145.20852,Eastern Metropolitan,6871,,
Moonee Ponds,4 Eglinton St,3,h," $1,635,000.00 ",S,Avion,28/10/2017,6.2,3039,3,2,2,431,165,1900,Moonee Valley City Council,-37.76909,144.91947,Western Metropolitan,6232,,
Mount Waverley,40 Catherine Av,3,h," $1,190,000.00 ",S,Harcourts,28/10/2017,14.2,3149,3,1,3,,148,1970,Monash City Council,-37.89457,145.11979,Eastern Metropolitan,13366,,
Mulgrave,8 Lotus Cr,4,h," $1,028,000.00 ",S,Barry,28/10/2017,18.8,3170,4,2,2,,158,1970,Monash City Council,-37.92855,145.17383,South-Eastern Metropolitan,7113,,
Mulgrave,27 Newport Dr,3,h," $678,000.00 ",S,Win,28/10/2017,18.8,3170,3,2,1,,135,2009,Monash City Council,-37.93346,145.192,South-Eastern Metropolitan,7113,,
Murrumbeena,319 Murrumbeena Rd,3,t," $951,000.00 ",S,Jellis,28/10/2017,10.1,3163,3,2,2,,139,2000,Glen Eira City Council,-37.9053,145.06181,Southern Metropolitan,4442,,
Murrumbeena,23 Swan Rd,3,h," $1,720,000.00 ",S,Buxton,28/10/2017,10.1,3163,3,1,2,733,175,1950,Glen Eira City Council,-37.90013,145.07054,Southern Metropolitan,4442,,
Newport,299 Douglas Pde,3,h," $960,000.00 ",PI,Raine,28/10/2017,6.2,3015,3,1,2,282,118,1900,Hobsons Bay City Council,-37.84549,144.89199,Western Metropolitan,5498,,
Newport,44A Maddox Rd,3,h," $932,000.00 ",SP,RT,28/10/2017,6.2,3015,3,2,2,,130,2003,Hobsons Bay City Council,-37.84524,144.86916,Western Metropolitan,5498,,
Niddrie,46 Muriel St,3,h," $1,230,000.00 ",PI,Nelson,28/10/2017,10.4,3042,3,1,1,,169,1950,Moonee Valley City Council,-37.74283,144.88726,Western Metropolitan,2291,,
Northcote,112 Hawthorn Rd,3,h," $1,050,000.00 ",VB,Jellis,28/10/2017,5.3,3070,3,2,1,137,117,1900,Darebin City Council,-37.77129,144.99508,Northern Metropolitan,11364,,
Northcote,3 Oamaru St,4,h," $2,250,000.00 ",S,Jellis,28/10/2017,5.3,3070,4,3,2,375,287,2017,Darebin City Council,-37.77004,145.0093,Northern Metropolitan,11364,,
Northcote,3 Thames St,4,h," $2,295,000.00 ",S,Jellis,28/10/2017,5.3,3070,4,2,2,580,240,2007,Darebin City Council,-37.77266,145.00876,Northern Metropolitan,11364,,
Northcote,9/9 Walker St,1,u," $381,500.00 ",SP,Nelson,28/10/2017,5.3,3070,1,1,1,,52,1960,Darebin City Council,-37.78289,144.99466,Northern Metropolitan,11364,,
Northcote,7 Wilmoth St,5,h," $2,210,000.00 ",S,McGrath,28/10/2017,5.3,3070,5,3,5,,253,1952,Darebin City Council,-37.76647,145.01555,Northern Metropolitan,11364,,
Nunawading,121 Esdale St,3,h," $1,491,000.00 ",S,Fletchers,28/10/2017,15.4,3131,3,2,2,,197,1945,Manningham City Council,-37.81401,145.17584,Eastern Metropolitan,4973,,
Nunawading,5 MacEdon Ct,3,h," $1,200,000.00 ",S,Fletchers,28/10/2017,15.4,3131,3,2,2,662,173,1980,Manningham City Council,-37.80715,145.18287,Eastern Metropolitan,4973,,
Oakleigh East,15 MacRina St,5,h," $1,225,000.00 ",PI,Barry,28/10/2017,12.3,3166,5,3,2,,150,1950,Monash City Council,-37.89929,145.11437,Southern Metropolitan,2547,,
Pascoe Vale,3 Shedden St,4,h," $1,100,000.00 ",PI,Nelson,28/10/2017,8.5,3044,4,2,3,,175,1930,Moreland City Council,-37.7335,144.94872,Northern Metropolitan,7485,,
Port Melbourne,1 Coogee Pl,3,h," $2,200,000.00 ",S,Biggin,28/10/2017,3.5,3207,3,2,2,300,182,2000,Melbourne City Council,-37.83898,144.92723,Southern Metropolitan,8648,,
Prahran,30 Chatsworth Rd,3,h," $1,960,000.00 ",S,Jellis,28/10/2017,4.6,3181,3,1,1,309,121,1900,Stonnington City Council,-37.85213,145.00683,Southern Metropolitan,7717,,
Preston,148 Albert St,3,h," $833,000.00 ",S,Stockdale,28/10/2017,8.4,3072,3,1,1,501,0,1960,Darebin City Council,-37.73674,145.02418,Northern Metropolitan,14577,,
Preston,10 Devon St,4,h," $1,040,000.00 ",S,Harcourts,28/10/2017,8.4,3072,4,2,2,511,129,1930,Darebin City Council,-37.74975,144.99115,Northern Metropolitan,14577,,
Preston,648 Plenty Rd,2,h," $960,000.00 ",SP,Love,28/10/2017,8.4,3072,2,1,2,440,107,1940,Darebin City Council,-37.73226,145.0146,Northern Metropolitan,14577,,
Preston,24a Tynan St,3,t," $1,171,000.00 ",PI,Nelson,28/10/2017,8.4,3072,3,2,2,,173,2016,Darebin City Council,-37.7341,144.98961,Northern Metropolitan,14577,,
Preston,268 Wood St,4,h," $1,205,000.00 ",S,Nelson,28/10/2017,8.4,3072,4,3,2,,180,2016,Darebin City Council,-37.7337,145.00884,Northern Metropolitan,14577,,
Princes Hill,336 Pigdon St,2,h," $1,600,000.00 ",S,Woodards,28/10/2017,3.5,3054,2,1,0,193,112,1890,Yarra City Council,-37.78092,144.9648,Northern Metropolitan,1008,,
Richmond,11 Judd St,2,h," $1,250,000.00 ",SP,Biggin,28/10/2017,2.4,3121,2,2,2,,124,2010,Yarra City Council,-37.81673,144.99549,Northern Metropolitan,14949,,
Ringwood East,71A Dublin Rd,3,h," $914,888.00 ",S,Philip,28/10/2017,21.3,3135,3,2,2,,184,2014,Maroondah City Council,-37.81401,145.24806,Eastern Metropolitan,4407,,
South Yarra,25A Albion St,3,h," $1,700,000.00 ",VB,Marshall,28/10/2017,2.7,3141,3,2,2,,129,1925,Melbourne City Council,-37.84307,144.98709,Southern Metropolitan,14887,,
South Yarra,24B Argo St,2,h," $1,350,000.00 ",S,hockingstuart,28/10/2017,2.7,3141,2,1,2,127,128,2000,Melbourne City Council,-37.84406,144.98686,Southern Metropolitan,14887,,
South Yarra,32 Nicholson St,3,h," $2,400,000.00 ",S,Jellis,28/10/2017,2.7,3141,3,2,0,343,153,1900,Melbourne City Council,-37.84277,144.98774,Southern Metropolitan,14887,,
St Albans,25 Anna St,3,h," $600,000.00 ",PI,Sweeney,28/10/2017,14,3021,3,1,0,585,103,1955,Brimbank City Council,-37.74744,144.78973,Western Metropolitan,14042,,
St Albans,100 George St,3,h," $785,000.00 ",S,Barry,28/10/2017,14,3021,3,1,2,583,130,1960,Brimbank City Council,-37.73073,144.79734,Western Metropolitan,14042,,
St Albans,98 George St,4,h," $737,000.00 ",S,Barry,28/10/2017,14,3021,4,2,2,,155,1960,Brimbank City Council,-37.73075,144.79751,Western Metropolitan,14042,,
St Albans,36 Grace St,3,h," $570,000.00 ",S,Barry,28/10/2017,14,3021,3,1,1,,82,1970,Brimbank City Council,-37.73101,144.81312,Western Metropolitan,14042,,
Strathmore,6 Balmanno Cr,4,h," $1,960,000.00 ",S,Hodges,28/10/2017,8.2,3041,4,2,4,,195,1930,Moonee Valley City Council,-37.74095,144.91567,Western Metropolitan,3284,,
Strathmore,32A Hillsyde Pde,4,h," $1,370,000.00 ",S,Nelson,28/10/2017,8.2,3041,4,2,2,439,295,2003,Moonee Valley City Council,-37.73849,144.92661,Western Metropolitan,3284,,
Strathmore,18 Houston Av,4,h," $1,610,000.00 ",S,Nelson,28/10/2017,8.2,3041,4,3,2,873,160,1980,Moonee Valley City Council,-37.7386,144.91433,Western Metropolitan,3284,,
Sunshine,10 McKay St,4,h," $1,050,000.00 ",SP,Jas,28/10/2017,10.5,3020,4,2,3,446,162,1940,Brimbank City Council,-37.79017,144.83813,Western Metropolitan,3755,,
Sunshine West,66 Bardsley St,3,h," $710,000.00 ",S,Bells,28/10/2017,10.5,3020,3,1,3,,127,1960,Brimbank City Council,-37.79177,144.81948,Western Metropolitan,6763,,
Sunshine West,1 Diana Dr,3,h," $770,000.00 ",S,Jellis,28/10/2017,10.5,3020,3,2,2,,167,2010,Brimbank City Council,-37.7888,144.78904,Western Metropolitan,6763,,
Sydenham,73 Roseleigh Bvd,5,h," $645,000.00 ",S,Barry,28/10/2017,18,3037,5,2,2,,199,2000,Brimbank City Council,-37.70726,144.77073,Western Metropolitan,3640,,
Templestowe,5 Aloha Gdns,4,h," $1,300,000.00 ",VB,Jellis,28/10/2017,15.5,3106,4,2,2,,280,2000,Manningham City Council,-37.76335,145.15538,Eastern Metropolitan,6202,,
Templestowe,2 Kolor Wy,4,h," $1,700,000.00 ",S,Jellis,28/10/2017,15.5,3106,4,2,2,646,255,1980,Manningham City Council,-37.77374,145.14048,Eastern Metropolitan,6202,,
Templestowe Lower,2 Ians Gr,4,h," $1,301,000.00 ",PI,Barry,28/10/2017,12.4,3107,4,3,2,724,250,1980,Manningham City Council,-37.75729,145.10624,Eastern Metropolitan,5420,,
Templestowe Lower,20 Olympus Dr,3,h," $1,050,000.00 ",S,Jellis,28/10/2017,12.4,3107,3,2,2,653,121,1970,Manningham City Council,-37.77607,145.12471,Eastern Metropolitan,5420,,
Templestowe Lower,7 Sassafras Dr,6,h," $1,710,000.00 ",S,Jellis,28/10/2017,12.4,3107,6,3,2,698,276,1980,Manningham City Council,-37.77074,145.11875,Eastern Metropolitan,5420,,
Thornbury,15 Alston St,2,h," $1,170,000.00 ",S,Nelson,28/10/2017,7,3071,2,1,3,667,100,1955,Darebin City Council,-37.75503,145.01805,Northern Metropolitan,8870,,
Vermont,19 Adele St,3,h," $1,150,000.00 ",VB,Noel,28/10/2017,17.2,3133,3,2,1,,136,1960,Maroondah City Council,-37.83284,145.20632,Eastern Metropolitan,4181,,
Vermont,5 Judy Ct,4,h," $1,133,000.00 ",S,Philip,28/10/2017,17.2,3133,4,1,4,880,142,1980,Maroondah City Council,-37.83737,145.18819,Eastern Metropolitan,4181,,
Vermont,10 Woodcrest Rd,3,h," $1,060,000.00 ",PI,Noel,28/10/2017,17.2,3133,3,2,2,,131,1960,Maroondah City Council,-37.83741,145.18544,Eastern Metropolitan,4181,,
Wantirna,2 Prenton Ct,4,h," $952,000.00 ",S,Barry,28/10/2017,14.7,3152,4,2,1,,169,1976,Knox City Council,-37.85251,145.229,Eastern Metropolitan,5424,,
West Footscray,101 Alma St,4,h," $1,600,000.00 ",VB,Biggin,28/10/2017,6.4,3012,4,2,3,,238,1926,Maribyrnong City Council,-37.7936,144.86437,Western Metropolitan,5058,,
West Footscray,702 Barkly St,3,h," $881,000.00 ",S,Hodges,28/10/2017,6.4,3012,3,1,3,336,95,1950,Maribyrnong City Council,-37.79613,144.86742,Western Metropolitan,5058,,
West Melbourne,220 Adderley St,4,h," $1,230,000.00 ",S,Collins,28/10/2017,3.1,3003,4,1,1,133,124,1880,Melbourne City Council,-37.80814,144.94506,Northern Metropolitan,2230,,
Williamstown,12 Courtis St,3,h," $1,690,000.00 ",S,Williams,28/10/2017,6.8,3016,3,2,0,,195,1910,Hobsons Bay City Council,-37.85331,144.88901,Western Metropolitan,6380,,
Williamstown,14 Hosking Ct,3,h," $1,260,000.00 ",S,Williams,28/10/2017,6.8,3016,3,2,2,260,164,1994,Hobsons Bay City Council,-37.85759,144.87952,Western Metropolitan,6380,,
Williamstown,12 Macquarie St,4,h," $1,665,000.00 ",S,Sweeney,28/10/2017,6.8,3016,4,2,1,,178,1900,Hobsons Bay City Council,-37.8559,144.89603,Western Metropolitan,6380,,
Windsor,83 Henry St,3,h," $1,900,000.00 ",VB,hockingstuart,28/10/2017,4.6,3181,3,1,2,,159,1980,Port Phillip City Council,-37.85448,144.98721,Southern Metropolitan,4380,,
Yarraville,35 Bena St,3,h," $985,000.00 ",SP,Jas,28/10/2017,6.3,3013,3,1,1,462,118,1960,Maribyrnong City Council,-37.82119,144.88103,Western Metropolitan,6543,,
