Suburb,Type,Price,Date,Distance,Bedroom,Bathroom,Car,Landsize,BuildingArea,Lattitude,Longtitude,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,Priceperage,,Pricelandratio,Landbuildingratio
Brighton East,u,750000,28/05/2016,10.7,3,1,2,328,108,-37.8559,145.0158,121,5792.682927,17592.59259,633333.3333,301587.3016,6198.347107,,2286.585366,3.037037037
Brighton East,u,1245000,28/05/2016,10.7,4,2,0,418,158,-37.7766,144.9187,121,3421.052632,9050.632911,357500,242372.8814,10289.2562,,2978.4689,2.64556962
Brighton East,h,2310000,28/05/2016,10.7,3,2,1,0,112,-37.7703,144.9533,121, ,5723.214286,213666.6667,123269.2308,19090.90909,,#DIV/0!,0
Brunswick,h,1410000,28/05/2016,5.2,4,2,2,207,162,-37.7804,144.9748,121,9420.289855,12037.03704,487500,609375,11652.89256,,6811.594203,1.277777778
Brunswick,h,1550000,28/05/2016,5.2,3,1,1,526,159,-37.7701,144.9172,121,2709.125475,8962.264151,475000,206521.7391,12809.91736,,2946.768061,3.308176101
Brunswick,h,740000,28/05/2016,5.2,3,2,2,348,158,-37.8435,144.8788,121,2853.448276,6284.810127,331000,118214.2857,6115.702479,,2126.436782,2.202531646
Brunswick,u,592500,28/05/2016,5.2,2,1,0,182,82,-37.8021,144.9976,121,5563.186813,12347.56098,506250,405000,4896.694215,,3255.494505,2.219512195
Brunswick,u,370000,28/05/2016,5.2,2,1,1,278,166,-37.7768,144.9223,121,4694.244604,7861.445783,652500,221186.4407,3057.85124,,1330.935252,1.674698795
Brunswick,h,765000,28/05/2016,5.2,3,1,1,346,126,-37.7738,144.9695,121,4479.768786,12301.5873,516666.6667,298076.9231,6322.31405,,2210.982659,2.746031746
Brunswick West,h,1150000,28/05/2016,5.9,3,2,1,272,163,-37.8553,145.007,121,6323.529412,10552.14724,573333.3333,382222.2222,9504.132231,,4227.941176,1.668711656
Brunswick West,t,598000,28/05/2016,5.9,2,1,0,127,72,-37.8251,145.0063,121,6515.748031,11493.05556,413750,318269.2308,4942.14876,,4708.661417,1.763888889
Brunswick West,u,497000,28/05/2016,5.9,2,1,1,163,86,-37.8446,144.9879,121,7361.96319,13953.48837,600000,363636.3636,4107.438017,,3049.079755,1.895348837
Burwood,u,800000,28/05/2016,11.7,3,1,2,463,119,-37.8172,144.8924,121,3153.347732,12268.90756,486666.6667,208571.4286,6611.570248,,1727.861771,3.890756303
Carnegie,h,1518000,28/05/2016,11.4,3,2,2,285,128,-37.775,144.9091,121,3407.017544,7585.9375,323666.6667,164576.2712,12545.45455,,5326.315789,2.2265625
Carnegie,u,435000,28/05/2016,11.4,3,2,2,173,137,-37.8375,144.941,121,7757.225434,9795.620438,447333.3333,353157.8947,3595.041322,,2514.450867,1.262773723
Caulfield North,u,550000,28/05/2016,8.1,2,1,1,0,114,-37.8516,144.9943,121, ,6228.070175,355000,157777.7778,4545.454545,,#DIV/0!,0
Caulfield South,h,1570000,28/05/2016,9.3,3,1,1,199,105,-37.8193,144.9993,121,5075.376884,9619.047619,336666.6667,388461.5385,12975.20661,,7889.447236,1.895238095
Caulfield South,h,1916000,28/05/2016,9.3,2,1,1,169,92,-37.8235,145.0035,121,6065.088757,11141.30435,512500,394230.7692,15834.71074,,11337.27811,1.836956522
Chadstone,t,845000,28/05/2016,13.6,2,1,0,165,93,-37.819,144.895,121,4278.787879,7591.397849,353000,100857.1429,6983.471074,,5121.212121,1.774193548
Coburg,h,1370000,28/05/2016,7.8,3,1,2,1504,162,-37.944,145.0015,121,1728.723404,16049.38272,866666.6667,189781.0219,11322.31405,,910.9042553,9.283950617
Coburg,h,700000,28/05/2016,7.8,2,1,1,185,78,-37.763,145.0025,121,5102.702703,12102.5641,472000,145230.7692,5785.123967,,3783.783784,2.371794872
Coburg,t,810000,28/05/2016,7.8,2,1,2,212,106,-37.8542,145.0149,121,6132.075472,12264.15094,650000,206349.2063,6694.214876,,3820.754717,2
Coburg,u,445000,28/05/2016,7.8,3,2,0,179,150,-37.7857,144.9305,121,6145.251397,7333.333333,366666.6667,250000,3677.68595,,2486.03352,1.193333333
Coburg,h,1150000,28/05/2016,7.8,3,2,1,157,141,-37.8225,145.0029,121,9273.88535,10326.24113,485333.3333,560000,9504.132231,,7324.840764,1.113475177
Coburg,h,931000,28/05/2016,7.8,3,2,2,151,153,-37.8383,144.9632,121,12086.09272,11928.10458,608333.3333,869047.619,7694.214876,,6165.562914,0.986928105
Collingwood,u,1645000,28/05/2016,1.6,2,1,1,123,68,-37.8641,144.9866,121,7113.821138,12867.64706,437500,143442.623,13595.04132,,13373.98374,1.808823529
Collingwood,u,450000,28/05/2016,1.6,2,1,1,124,77,-37.7807,144.9285,121,6129.032258,9870.12987,380000,128813.5593,3719.008264,,3629.032258,1.61038961
Doncaster,h,1810000,28/05/2016,13.9,4,3,2,348,218,-37.8748,144.9778,121,6321.83908,10091.74312,550000,285714.2857,14958.67769,,5201.149425,1.596330275
Elwood,h,1830000,28/05/2016,7.7,3,1,1,209,128,-37.8206,144.9913,121,6435.406699,10507.8125,448333.3333,517307.6923,15123.96694,,8755.980861,1.6328125
Fitzroy North,h,1581000,28/05/2016,3.5,3,1,1,279,122,-37.7729,144.9722,121,3763.44086,8606.557377,350000,233333.3333,13066.1157,,5666.666667,2.286885246
Footscray,h,767500,28/05/2016,6.4,3,1,0,108,106,-37.8332,144.945,121,12981.48148,13226.41509,467333.3333,368947.3684,6342.975207,,7106.481481,1.018867925
Footscray,u,395000,28/05/2016,6.4,4,2,2,417,157,-37.8197,144.8969,121,2877.697842,7643.312102,300000,171428.5714,3264.46281,,947.2422062,2.656050955
Footscray,h,815000,28/05/2016,6.4,2,1,1,125,68,-37.8258,144.992,121,7440,13676.47059,465000,372000,6735.53719,,6520,1.838235294
Glenroy,t,440000,28/05/2016,13,3,1,1,206,98,-37.7604,144.9488,121,3980.582524,8367.346939,273333.3333,138983.0508,3636.363636,,2135.92233,2.102040816
Hampton,h,1800000,28/05/2016,13.7,3,1,0,300,145,-37.7548,144.9315,121,3833.333333,7931.034483,383333.3333,143750,14876.03306,,6000,2.068965517
Hampton,h,2160000,28/05/2016,13.7,2,1,1,0,74,-37.7967,144.9836,121, ,9662.162162,357500,446875,17851.23967,,#DIV/0!,0
Keilor East,h,705000,28/05/2016,12.8,1,1,0,81,54,-37.8411,144.9497,121,12160.49383,18240.74074,985000,298484.8485,5826.446281,,8703.703704,1.5
Maidstone,h,675000,28/05/2016,9.2,3,1,3,327,165,-37.7741,144.9971,121,4617.737003,9151.515152,503333.3333,274545.4545,5578.512397,,2064.220183,1.981818182
Maribyrnong,h,820000,28/05/2016,8.7,3,2,0,146,139,-37.8519,145.0055,121,11041.09589,11597.1223,537333.3333,358222.2222,6776.859504,,5616.438356,1.050359712
Maribyrnong,h,940000,28/05/2016,8.7,2,1,0,103,74,-37.8199,144.9911,121,10922.3301,15202.7027,562500,432692.3077,7768.595041,,9126.213592,1.391891892
Maribyrnong,h,1030000,28/05/2016,8.7,3,1,2,248,100,-37.8185,144.9935,121,6129.032258,15200,506666.6667,584615.3846,8512.396694,,4153.225806,2.48
Melbourne,u,760000,28/05/2016,2.8,2,1,0,172,81,-37.81,144.8896,121,4738.372093,10061.7284,407500,123484.8485,6280.991736,,4418.604651,2.12345679
Niddrie,h,1105000,28/05/2016,11.2,2,1,1,269,109,-37.7748,144.929,121,3914.498141,9660.550459,526500,178474.5763,9132.231405,,4107.806691,2.467889908
North Melbourne,t,1065000,28/05/2016,2.3,3,1,1,417,168,-37.7756,144.9208,121,3302.158273,8196.428571,459000,233389.8305,8801.652893,,2553.956835,2.482142857
Northcote,h,1420000,28/05/2016,5.5,2,1,1,280,93,-37.7429,144.952,121,2625,7903.225806,367500,94230.76923,11735.53719,,5071.428571,3.010752688
Pascoe Vale,h,612500,28/05/2016,9.9,2,1,2,270,95,-37.7871,144.8791,121,2392.592593,6800,323000,70217.3913,5061.983471,,2268.518519,2.842105263
Port Melbourne,u,900000,28/05/2016,3.8,2,1,0,258,108,-37.7959,144.8901,121,2936.046512,7013.888889,378750,118359.375,7438.016529,,3488.372093,2.388888889
Port Melbourne,h,1380000,28/05/2016,3.8,2,1,0,254,100,-37.8674,145.0355,121,5220.472441,13260,663000,179189.1892,11404.95868,,5433.070866,2.54
Prahran,h,2180000,28/05/2016,4.5,2,1,1,181,102,-37.8203,145.0092,121,7016.574586,12450.98039,635000,488461.5385,18016.52893,,12044.1989,1.774509804
Preston,h,1186000,28/05/2016,8.8,2,2,1,203,112,-37.8214,145.0132,121,9113.300493,16517.85714,925000,711538.4615,9801.652893,,5842.364532,1.8125
Preston,h,900000,28/05/2016,8.8,2,1,1,132,77,-37.8446,144.9896,121,8560.606061,14675.32468,565000,342424.2424,7438.016529,,6818.181818,1.714285714
Preston,h,800000,28/05/2016,8.8,2,1,2,194,71,-37.7772,144.9118,121,2809.278351,7676.056338,272500,92372.88136,6611.570248,,4123.71134,2.732394366
Reservoir,h,784000,28/05/2016,11.2,2,1,1,0,86,-37.7367,144.9701,121, ,6627.906977,285000,73076.92308,6479.338843,,#DIV/0!,0
Reservoir,h,1186000,28/05/2016,11.2,3,1,3,217,125,-37.8474,144.9582,121,8801.843318,15280,636666.6667,465853.6585,9801.652893,,5465.437788,1.736
Reservoir,u,431000,28/05/2016,11.2,1,1,0,129,45,-37.8491,144.8903,121,4989.922481,14304.44444,643700,76630.95238,3561.983471,,3341.085271,2.866666667
Reservoir,h,718500,28/05/2016,11.2,3,2,1,112,100,-37.8517,145.0056,121,10892.85714,12200,406666.6667,271111.1111,5938.016529,,6415.178571,1.12
Reservoir,h,762500,28/05/2016,11.2,2,1,1,157,101,-37.8522,144.986,121,8598.726115,13366.33663,675000,264705.8824,6301.652893,,4856.687898,1.554455446
Richmond,h,827500,28/05/2016,2.6,2,1,0,120,82,-37.8459,144.9555,121,10625,15548.78049,637500,386363.6364,6838.842975,,6895.833333,1.463414634
Richmond,u,560000,28/05/2016,2.6,3,2,1,244,180,-37.8668,144.9928,121,7454.918033,10105.55556,606333.3333,275606.0606,4628.099174,,2295.081967,1.355555556
South Yarra,u,260800,28/05/2016,3.3,2,1,1,178,70,-37.7974,144.9915,121,5000,12714.28571,445000,556250,2155.371901,,1465.168539,2.542857143
South Yarra,h,1200000,28/05/2016,3.3,2,1,1,0,129,-37.8042,144.9845,121, ,9767.44186,630000,787500,9917.355372,,#DIV/0!,0
South Yarra,h,1540000,28/05/2016,3.3,3,1,1,279,133,-37.8499,144.957,121,9318.996416,19548.87218,866666.6667,634146.3415,12727.27273,,5519.713262,2.097744361
St Kilda,u,430000,28/05/2016,6.1,2,1,0,203,81,-37.8166,144.9945,121,6206.896552,15555.55556,630000,484615.3846,3553.719008,,2118.226601,2.50617284
St Kilda,u,1100000,28/05/2016,6.1,2,1,1,199,107,-37.8422,144.9554,121,10653.26633,19813.08411,1060000,642424.2424,9090.909091,,5527.638191,1.859813084
Strathmore,h,1370000,28/05/2016,9.7,3,2,1,90,122,-37.8421,144.9571,121,20000,14754.09836,600000,545454.5455,11322.31405,,15222.22222,0.737704918
Sunshine,t,410000,28/05/2016,12.6,2,1,1,226,87,-37.7774,144.9186,121,3407.079646,8850.574713,385000,130508.4746,3388.429752,,1814.159292,2.597701149
Sunshine North,h,1000000,28/05/2016,13.3,2,1,2,239,96,-37.7918,144.997,121,6004.1841,14947.91667,717500,422058.8235,8264.46281,,4184.100418,2.489583333
Sunshine West,t,510000,28/05/2016,13.5,2,1,1,197,128,-37.7835,144.9816,121,6959.390863,10710.9375,685500,391714.2857,4214.876033,,2588.832487,1.5390625
Templestowe Lower,h,650000,28/05/2016,13.8,2,1,0,136,78,-37.7839,144.9343,121,6750,11769.23077,459000,208636.3636,5371.900826,,4779.411765,1.743589744
Templestowe Lower,h,870000,28/05/2016,13.8,3,2,2,645,211,-37.7662,144.8971,121,2046.511628,6255.924171,440000,151724.1379,7190.082645,,1348.837209,3.056872038
Templestowe Lower,h,1509000,28/05/2016,13.8,4,4,2,636,308,-37.7629,144.9157,121,3773.584906,7792.207792,600000,347826.087,12471.07438,,2372.641509,2.064935065
Toorak,h,2250000,28/05/2016,4.6,2,1,1,195,94,-37.8395,144.9462,121,6923.076923,14361.70213,675000,355263.1579,18595.04132,,11538.46154,2.074468085
Toorak,u,525000,28/05/2016,4.6,3,2,2,241,131,-37.8346,144.9448,121,6473.029046,11908.39695,520000,410526.3158,4338.842975,,2178.423237,1.839694656
West Melbourne,u,620000,28/05/2016,1.9,3,2,2,782,212,-37.8647,144.8867,121,2851.662404,10518.86792,743333.3333,278750,5123.966942,,792.8388747,3.688679245
Windsor,u,650000,28/05/2016,5.1,3,1,2,317,112,-37.856,144.9891,121,4321.766562,12232.14286,456666.6667,268627.451,5371.900826,,2050.473186,2.830357143
Windsor,u,580000,28/05/2016,5.1,2,1,0,188,107,-37.7964,144.9923,121,5218.085106,9168.224299,490500,613125,4793.38843,,3085.106383,1.757009346
Yarraville,t,800000,28/05/2016,7,2,1,1,0,92,-37.8035,144.985,121, ,7423.913043,341500,426875,6611.570248,,#DIV/0!,0
Yarraville,h,1460000,28/05/2016,7,3,1,3,210,118,-37.8247,145.0001,121,8071.428571,14364.40678,565000,651923.0769,12066.1157,,6952.380952,1.779661017
Aberfeldie,h,1350000,28/05/2016,9.1,2,1,2,200,90,-37.8294,145.0029,121,5225,11611.11111,522500,401923.0769,11157.02479,,6750,2.222222222
Carlton,u,589000,28/05/2016,1.8,4,2,1,263,145,-37.8261,145.0127,121,6049.429658,10972.41379,397750,611923.0769,4867.768595,,2239.543726,1.813793103
East Melbourne,u,750000,28/05/2016,1.5,2,1,1,157,110,-37.7941,144.98,121,8280.254777,11818.18182,650000,812500,6198.347107,,4777.070064,1.427272727
Essendon West,h,1110000,28/05/2016,9.8,2,1,1,169,90,-37.7925,144.9315,121,5029.585799,9444.444444,425000,202380.9524,9173.553719,,6568.047337,1.877777778
Murrumbeena,h,1800000,28/05/2016,12.1,2,1,0,297,95,-37.8501,144.8931,121,3016.835017,9431.578947,448000,106666.6667,14876.03306,,6060.606061,3.126315789
Ormond,u,617500,28/05/2016,11.8,2,1,1,178,100,-37.777,144.9922,121,6803.370787,12110,605500,220181.8182,5103.305785,,3469.101124,1.78
West Footscray,u,456000,28/05/2016,8.2,3,2,1,192,111,-37.8212,144.9985,121,8598.958333,14873.87387,550333.3333,635000,3768.595041,,2375,1.72972973
Oakleigh,h,1600000,28/05/2016,14,4,2,0,288,193,-37.8268,145.0129,121,6250,9326.42487,450000,692307.6923,13223.1405,,5555.555556,1.492227979
Ripponlea,u,520000,28/05/2016,7.4,1,1,1,547,58,-37.806,144.942,121,809.8720293,7637.931034,443000,233157.8947,4297.520661,,950.6398537,9.431034483
Cremorne,h,1300000,28/05/2016,2.5,3,2,1,185,139,-37.8664,144.9072,121,7081.081081,9424.460432,436666.6667,163750,10743.80165,,7027.027027,1.330935252
Keilor Park,h,566000,28/05/2016,14.5,2,1,1,149,77,-37.8287,145.0089,121,8070.469799,15616.88312,601250,343571.4286,4677.68595,,3798.657718,1.935064935
Princes Hill,h,1908000,28/05/2016,3.7,3,1,2,220,75,-37.801,144.9989,121,4986.363636,14626.66667,365666.6667,438800,15768.59504,,8672.727273,2.933333333
Abbotsford,h,1600000,4/06/2016,2.5,2,2,1,144,107,-37.8564,145.0228,121,9965.277778,13411.21495,717500,227777.7778,13223.1405,,11111.11111,1.345794393
Altona,h,1780000,4/06/2016,13.8,4,1,0,264,139,-37.7611,144.9677,121,4223.484848,8021.582734,278750,214423.0769,14710.7438,,6742.424242,1.899280576
Altona North,h,683000,4/06/2016,11.1,3,1,0,294,140,-37.7856,144.9292,121,3843.537415,8071.428571,376666.6667,256818.1818,5644.628099,,2323.129252,2.1
Armadale,u,3625000,4/06/2016,6.3,2,1,1,174,72,-37.7959,144.9343,121,5517.241379,13333.33333,480000,228571.4286,29958.67769,,20833.33333,2.416666667
Armadale,h,3000000,4/06/2016,6.3,2,1,1,163,99,-37.7929,144.9287,121,6325.153374,10414.14141,515500,245476.1905,24793.38843,,18404.90798,1.646464646
Ascot Vale,h,710000,4/06/2016,5.9,3,1,2,204,128,-37.8285,145.0022,121,6250,9960.9375,425000,490384.6154,5867.768595,,3480.392157,1.59375
Ascot Vale,h,2425000,4/06/2016,5.9,3,1,0,176,92,-37.8116,145.0042,121,6534.090909,12500,383333.3333,442307.6923,20041.32231,,13778.40909,1.913043478
Ascot Vale,h,750000,4/06/2016,5.9,3,2,1,306,140,-37.8038,144.8896,121,3513.071895,7678.571429,358333.3333,162878.7879,6198.347107,,2450.980392,2.185714286
Ashwood,h,1075000,4/06/2016,12.2,2,1,0,66,81,-37.8049,144.9644,121,12727.27273,10370.37037,420000,466666.6667,8884.297521,,16287.87879,0.814814815
Avondale Heights,h,1155000,4/06/2016,10.5,4,1,2,495,163,-37.8613,145.0264,121,4444.444444,13496.93252,550000,349206.3492,9545.454545,,2333.333333,3.036809816
Bentleigh,t,900000,4/06/2016,13,4,2,3,271,180,-37.7769,144.9691,121,6642.066421,10000,450000,346153.8462,7438.016529,,3321.03321,1.505555556
Bentleigh,h,1005000,4/06/2016,13,4,1,2,638,227,-37.7523,144.9052,121,2562.695925,7202.643172,408750,204375,8305.785124,,1575.23511,2.810572687
Bentleigh,h,1317500,4/06/2016,13,2,1,1,184,103,-37.7988,144.902,121,6358.695652,11359.2233,585000,182812.5,10888.42975,,7160.326087,1.786407767
Bentleigh East,u,495000,4/06/2016,13.9,3,1,0,221,118,-37.8415,144.8852,121,4176.470588,7822.033898,307666.6667,109880.9524,4090.909091,,2239.819005,1.872881356
Bentleigh East,h,885000,4/06/2016,13.9,4,2,1,621,192,-37.7778,144.9346,121,2515.297907,8135.416667,390500,294716.9811,7314.049587,,1425.120773,3.234375
Bentleigh East,t,830000,4/06/2016,13.9,3,1,0,193,98,-37.7899,144.9984,121,5492.227979,10816.32653,353333.3333,311764.7059,6859.504132,,4300.518135,1.969387755
Bentleigh East,h,1100000,4/06/2016,13.9,3,2,2,188,171,-37.7532,144.9178,121,7803.191489,8578.947368,489000,183375,9090.909091,,5851.06383,1.099415205
Braybrook,u,495000,4/06/2016,10.8,3,1,2,328,107,-37.7658,144.9077,121,3018.292683,9252.336449,330000,143478.2609,4090.909091,,1509.146341,3.065420561
Brighton,h,2100000,4/06/2016,11.2,4,2,1,212,158,-37.8331,144.9412,121,8584.90566,11518.98734,455000,478947.3684,17355.3719,,9905.660377,1.341772152
Brighton,u,800000,4/06/2016,11.2,3,1,0,238,94,-37.8167,144.9977,121,6193.277311,15680.85106,491333.3333,566923.0769,6611.570248,,3361.344538,2.531914894
Brighton East,h,1825000,4/06/2016,10.7,3,1,0,250,115,-37.8167,144.9978,121,6220,13521.73913,518333.3333,598076.9231,15082.64463,,7300,2.173913043
Brighton East,h,1400000,4/06/2016,10.7,4,2,2,624,222,-37.8536,145.0173,121,4488.782051,12617.11712,700250,444603.1746,11570.24793,,2243.589744,2.810810811
Brighton East,h,1075000,4/06/2016,10.7,2,1,1,199,93,-37.7676,144.9659,121,4472.361809,9569.892473,445000,171153.8462,8884.297521,,5402.01005,2.139784946
Brunswick,u,410000,4/06/2016,5.2,3,1,2,364,135,-37.7618,144.9497,121,3571.428571,9629.62963,433333.3333,220338.9831,3388.429752,,1126.373626,2.696296296
Brunswick,u,272500,4/06/2016,5.2,1,2,0,413,172,-37.7875,144.9759,121,5811.138015,13953.48837,2400000,750000,2252.066116,,659.8062954,2.401162791
Brunswick,h,680000,4/06/2016,5.2,4,1,3,539,190,-37.7701,144.9287,121,3037.105751,8615.789474,409250,237246.3768,5619.834711,,1261.595547,2.836842105
Bulleen,t,975000,4/06/2016,11.8,2,1,0,120,76,-37.8322,144.947,121,9291.666667,14671.05263,557500,293421.0526,8057.85124,,8125,1.578947368
Burwood,h,1300000,4/06/2016,11.7,3,1,0,245,140,-37.8138,144.9921,121,4383.673469,7671.428571,358000,413076.9231,10743.80165,,5306.122449,1.75
Burwood,h,1160000,4/06/2016,11.7,2,2,0,84,130,-37.8058,144.8846,121,8690.47619,5615.384615,365000,93589.74359,9586.77686,,13809.52381,0.646153846
Carnegie,u,772000,4/06/2016,11.4,2,1,0,147,85,-37.808,144.994,121,8945.578231,15470.58824,657500,526000,6380.165289,,5251.70068,1.729411765
Carnegie,h,1506000,4/06/2016,11.4,3,2,2,517,207,-37.8813,145.0063,121,3384.912959,8454.10628,583333.3333,205882.3529,12446.28099,,2912.959381,2.497584541
Carnegie,t,675000,4/06/2016,11.4,4,1,2,638,227,-37.7523,144.9052,121,2405.956113,6762.114537,383750,191875,5578.512397,,1057.99373,2.810572687
Carnegie,u,525000,4/06/2016,11.4,2,1,1,212,98,-37.7903,144.8879,121,3257.075472,7045.918367,345250,107890.625,4338.842975,,2476.415094,2.163265306
Carnegie,u,290000,4/06/2016,11.4,2,1,1,320,94,-37.7964,144.8871,121,2334.375,7946.808511,373500,116718.75,2396.694215,,906.25,3.404255319
Chadstone,u,700000,4/06/2016,13.6,3,2,2,250,147,-37.792,144.9324,121,5040,8571.428571,420000,300000,5785.123967,,2800,1.700680272
Clifton Hill,h,780000,4/06/2016,3.4,4,2,1,182,100,-37.8518,144.9663,121,17142.85714,31200,780000,760975.6098,6446.280992,,4285.714286,1.82
Coburg,h,145000,4/06/2016,7.8,2,2,0,109,100,-37.795,144.942,121,9266.055046,10100,505000,439130.4348,1198.347107,,1330.275229,1.09
Coburg,h,860000,4/06/2016,7.8,3,1,1,407,143,-37.7799,144.9937,121,4213.759214,11993.00699,571666.6667,311818.1818,7107.438017,,2113.022113,2.846153846
Coburg North,h,864000,4/06/2016,9.2,5,4,4,657,312,-37.8582,144.9913,121,6697.108067,14102.5641,880000,721311.4754,7140.495868,,1315.068493,2.105769231
Doncaster,u,700000,4/06/2016,13.9,3,2,1,268,139,-37.8369,145.0072,121,7089.552239,13669.06475,633333.3333,413043.4783,5785.123967,,2611.940299,1.928057554
Elwood,u,790000,4/06/2016,7.7,2,1,0,162,91,-37.8016,144.9956,121,7283.950617,12967.03297,590000,472000,6528.92562,,4876.54321,1.78021978
Essendon,h,1100000,4/06/2016,8,4,1,2,709,251,-37.8574,145.016,121,5112.834979,14442.23108,906250,575396.8254,9090.909091,,1551.480959,2.824701195
Hadfield,h,772500,4/06/2016,12.1,2,1,1,131,79,-37.8479,144.9988,121,9961.832061,16518.98734,652500,290000,6384.297521,,5896.946565,1.658227848
Hadfield,u,465000,4/06/2016,12.1,2,1,0,156,80,-37.8209,145.0052,121,7371.794872,14375,575000,442307.6923,3842.975207,,2980.769231,1.95
Keilor East,h,845000,4/06/2016,12.8,4,1,0,434,144,-37.8185,145.0061,121,4089.861751,12326.38889,443750,682692.3077,6983.471074,,1947.004608,3.013888889
Kensington,u,492500,4/06/2016,4.2,4,3,2,742,247,-37.914,144.9878,121,4986.522911,14979.75709,925000,330357.1429,4070.247934,,663.7466307,3.004048583
Kensington,h,1050000,4/06/2016,4.2,3,1,1,292,98,-37.797,144.9051,121,3434.931507,10234.69388,334333.3333,156718.75,8677.68595,,3595.890411,2.979591837
Maidstone,h,490000,4/06/2016,9.2,3,1,0,164,93,-37.7959,144.8863,121,5121.95122,9032.258065,280000,131250,4049.586777,,2987.804878,1.76344086
Malvern,h,2050000,4/06/2016,7.4,3,1,2,277,132,-37.8516,144.9624,121,8483.754513,17803.0303,783333.3333,573170.7317,16942.14876,,7400.722022,2.098484848
Malvern,h,2300000,4/06/2016,7.4,3,1,2,275,119,-37.8859,144.9994,121,3509.090909,8109.243697,321666.6667,113529.4118,19008.26446,,8363.636364,2.31092437
Maribyrnong,t,355000,4/06/2016,8.7,3,1,0,275,120,-37.7954,144.9274,121,5290.909091,12125,485000,346428.5714,2933.884298,,1290.909091,2.291666667
Melbourne,u,780000,4/06/2016,2.8,3,1,1,584,81,-37.7885,144.8771,121,1438.356164,10370.37037,280000,91304.34783,6446.280992,,1335.616438,7.209876543
Middle Park,u,535000,4/06/2016,4.1,3,2,0,408,199,-37.77,144.913,121,3995.098039,8190.954774,543333.3333,236231.8841,4421.487603,,1311.27451,2.050251256
Newport,h,710000,4/06/2016,8.4,3,1,0,357,112,-37.8459,144.8877,121,3655.462185,11651.78571,435000,155357.1429,5867.768595,,1988.795518,3.1875
Newport,h,920000,4/06/2016,8.4,2,1,0,203,85,-37.8557,145.0053,121,5197.044335,12411.76471,527500,234444.4444,7603.305785,,4532.019704,2.388235294
Newport,h,940000,4/06/2016,8.4,2,1,0,95,63,-37.8193,144.9976,121,9473.684211,14285.71429,450000,346153.8462,7768.595041,,9894.736842,1.507936508
Niddrie,u,457000,4/06/2016,11.2,2,1,1,117,75,-37.812,144.9939,121,8461.538462,13200,495000,380769.2308,3776.859504,,3905.982906,1.56
Niddrie,u,660000,4/06/2016,11.2,2,1,0,158,110,-37.8232,145.0002,121,7525.316456,10809.09091,594500,457307.6923,5454.545455,,4177.21519,1.436363636
North Melbourne,u,528500,4/06/2016,2.3,2,1,1,166,88,-37.8245,144.9933,121,7349.39759,13863.63636,610000,469230.7692,4367.768595,,3183.73494,1.886363636
Northcote,h,1710000,4/06/2016,5.5,3,1,1,487,131,-37.7725,144.9146,121,2956.87885,10992.36641,480000,244067.7966,14132.2314,,3511.293634,3.717557252
Northcote,h,1590000,4/06/2016,5.5,2,1,0,115,76,-37.8345,144.9685,121,8086.956522,12236.84211,465000,442857.1429,13140.49587,,13826.08696,1.513157895
Northcote,h,2000000,4/06/2016,5.5,3,2,2,416,168,-37.7727,144.9055,121,3320.913462,8223.214286,460500,234152.5424,16528.92562,,4807.692308,2.476190476
Pascoe Vale,h,731000,4/06/2016,9.9,2,1,1,0,91,-37.8026,144.9848,121, ,8791.208791,400000,500000,6041.322314,,#DIV/0!,0
Port Melbourne,h,1000000,4/06/2016,3.8,2,1,0,168,90,-37.8475,144.8897,121,5297.619048,9888.888889,445000,105952.381,8264.46281,,5952.380952,1.866666667
Port Melbourne,h,1470000,4/06/2016,3.8,3,2,1,189,164,-37.82,144.9987,121,8227.513228,9481.707317,518333.3333,598076.9231,12148.76033,,7777.777778,1.152439024
Port Melbourne,u,725000,4/06/2016,3.8,3,1,0,224,136,-37.8067,144.8934,121,4607.142857,7588.235294,344000,156363.6364,5991.735537,,3236.607143,1.647058824
Port Melbourne,h,1342000,4/06/2016,3.8,4,2,0,387,152,-37.7569,145.0041,121,3819.121447,9723.684211,369500,227384.6154,11090.90909,,3467.700258,2.546052632
Port Melbourne,u,500000,4/06/2016,3.8,3,2,0,134,150,-37.8093,144.9944,121,10932.83582,9766.666667,488333.3333,586000,4132.231405,,3731.343284,0.893333333
Prahran,u,1400000,4/06/2016,4.5,2,1,0,130,81,-37.8431,144.9565,121,11046.15385,17728.39506,718000,435151.5152,11570.24793,,10769.23077,1.604938272
Prahran,u,685000,4/06/2016,4.5,4,3,1,478,270,-37.7729,144.9179,121,3870.292887,6851.851852,462500,313559.322,5661.157025,,1433.054393,1.77037037
Preston,h,950000,4/06/2016,8.8,3,1,0,149,104,-37.8374,144.9495,121,8523.489933,12211.53846,423333.3333,604761.9048,7851.239669,,6375.838926,1.432692308
Reservoir,h,535000,4/06/2016,11.2,3,1,0,276,119,-37.838,144.9489,121,9539.855072,22126.05042,877666.6667,1253809.524,4421.487603,,1938.405797,2.319327731
Richmond,h,1010000,4/06/2016,2.6,4,2,2,780,135,-37.8073,144.9952,121,1705.128205,9851.851852,332500,532000,8347.107438,,1294.871795,5.777777778
Seddon,h,1325000,4/06/2016,6.6,3,2,1,132,95,-37.822,145.0041,121,9659.090909,13421.05263,425000,490384.6154,10950.41322,,10037.87879,1.389473684
