Suburb,,,Type,Price,,,Distance,,Bedroom,,,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,,Uppercase
Sunshine,,,h,657500,,,12.6,,3,,,513,116,1955,Brimbank City Council,-37.7796,144.8372,Western Metropolitan,3755,66,1281.676413,5668.103448,219166.6667,52182.53968,,SUNSHINE
Sunshine,,,h,1030000,,,12.6,,4,,,803,309,2002,Brimbank City Council,-37.7932,144.8434,Western Metropolitan,3755,19,1282.689913,3333.333333,257500,81746.03175,,SUNSHINE
Sunshine North,,,h,560000,,,13.3,,2,,,615,106,1970,Brimbank City Council,-37.7683,144.8316,Western Metropolitan,4217,51,910.5691057,5283.018868,280000,42105.26316,,SUNSHINE NORTH
Sunshine West,,,h,581000,,,13.5,,3,,,656,,1970,Brimbank City Council,-37.7939,144.8091,Western Metropolitan,6763,51,885.6707317, ,193666.6667,43037.03704,,SUNSHINE WEST
Templestowe Lower,,,h,1500000,,,13.8,,4,,,420,255,2013,Manningham City Council,-37.767,145.119,Eastern Metropolitan,5420,8,3571.428571,5882.352941,375000,108695.6522,,TEMPLESTOWE LOWER
Thornbury,,,h,940000,,,6.5,,2,,,372,110,1950,Darebin City Council,-37.7631,145.0091,Northern Metropolitan,8870,71,2526.88172,8545.454545,470000,144615.3846,,THORNBURY
Toorak,,,u,349000,,,4.6,,1,,,0,38,1958,Stonnington City Council,-37.8369,145.0077,Southern Metropolitan,7217,63, ,9184.210526,349000,75869.56522,,TOORAK
West Melbourne,,,u,550000,,,1.9,,1,,,0,207,1930,Melbourne City Council,-37.8076,144.9456,Northern Metropolitan,2230,91, ,2657.004831,550000,289473.6842,,WEST MELBOURNE
West Melbourne,,,u,660000,,,1.9,,3,,,0,100,1998,Melbourne City Council,-37.8118,144.9526,Northern Metropolitan,2230,23, ,6600,220000,347368.4211,,WEST MELBOURNE
Williamstown,,,h,1460000,,,8,,3,,,373,107,1970,Hobsons Bay City Council,-37.8661,144.8973,Western Metropolitan,6380,51,3914.209115,13644.85981,486666.6667,182500,,WILLIAMSTOWN
Williamstown,,,u,310000,,,8,,1,,,0,58,1968,Hobsons Bay City Council,-37.8588,144.8919,Western Metropolitan,6380,53, ,5344.827586,310000,38750,,WILLIAMSTOWN
Windsor,,,u,800000,,,5.1,,2,,,0,92,1930,Port Phillip City Council,-37.8577,145.0002,Southern Metropolitan,4380,91, ,8695.652174,400000,156862.7451,,WINDSOR
Windsor,,,u,275000,,,5.1,,1,,,0,44,1970,Port Phillip City Council,-37.8564,145.0016,Southern Metropolitan,4380,51, ,6250,275000,53921.56863,,WINDSOR
Yarraville,,,h,1320000,,,7,,4,,,319,171,1915,Maribyrnong City Council,-37.8197,144.8957,Western Metropolitan,6543,106,4137.931034,7719.298246,330000,188571.4286,,YARRAVILLE
Aberfeldie,,,u,470000,,,9.1,,2,,,976,71,2000,Moonee Valley City Council,-37.7557,144.9037,Western Metropolitan,1543,21,481.557377,6619.71831,235000,51648.35165,,ABERFELDIE
Brunswick East,,,h,1625000,,,4.5,,4,,,822,145,1890,Moreland City Council,-37.7749,144.9762,Northern Metropolitan,5533,131,1976.885645,11206.89655,406250,361111.1111,,BRUNSWICK EAST
Brunswick East,,,t,899000,,,4.5,,3,,,116,124,2007,Moreland City Council,-37.7667,144.9821,Northern Metropolitan,5533,14,7750,7250,299666.6667,199777.7778,,BRUNSWICK EAST
Carlton,,,h,1590000,,,1.8,,2,,,100,106,1900,Melbourne City Council,-37.7983,144.9655,Northern Metropolitan,6786,121,15900,15000,795000,883333.3333,,CARLTON
Carlton,,,u,610250,,,1.8,,2,,,0,72,1994,Melbourne City Council,-37.8009,144.9662,Northern Metropolitan,6786,27, ,8475.694444,305125,339027.7778,,CARLTON
Carlton,,,h,720000,,,1.8,,2,,,117,71,1890,Melbourne City Council,-37.793,144.9728,Northern Metropolitan,6786,131,6153.846154,10140.84507,360000,400000,,CARLTON
Kingsville,,,h,677500,,,7.8,,2,,,224,89,1915,Maribyrnong City Council,-37.8083,144.8841,Western Metropolitan,1808,106,3024.553571,7612.359551,338750,86858.97436,,KINGSVILLE
Murrumbeena,,,u,975000,,,12.1,,3,,,277,109,1975,Glen Eira City Council,-37.8936,145.0709,Southern Metropolitan,4442,46,3519.855596,8944.954128,325000,80578.5124,,MURRUMBEENA
Murrumbeena,,,h,1060000,,,12.1,,3,,,595,130,1957,Glen Eira City Council,-37.9027,145.0684,Southern Metropolitan,4442,64,1781.512605,8153.846154,353333.3333,87603.30579,,MURRUMBEENA
Murrumbeena,,,u,680000,,,12.1,,2,,,275,94,1975,Glen Eira City Council,-37.8936,145.0725,Southern Metropolitan,4442,46,2472.727273,7234.042553,340000,56198.34711,,MURRUMBEENA
West Footscray,,,u,520000,,,8.2,,4,,,0,171,1970,Maribyrnong City Council,-37.809,144.8686,Western Metropolitan,5058,51, ,3040.935673,130000,63414.63415,,WEST FOOTSCRAY
Oakleigh,,,u,400000,,,14,,2,,,0,87,2004,Monash City Council,-37.8991,145.0939,Southern Metropolitan,3224,17, ,4597.701149,200000,28571.42857,,OAKLEIGH
Ripponlea,,,u,605000,,,7.4,,2,,,722,,1970,Port Phillip City Council,-37.8794,144.9947,Southern Metropolitan,821,51,837.9501385, ,302500,81756.75676,,RIPPONLEA
Altona,,,h,635000,,,13.8,,3,,,625,,1960,Hobsons Bay City Council,-37.8611,144.8114,Western Metropolitan,5301,61,1016, ,211666.6667,46014.49275,,ALTONA
Altona North,,,h,675000,,,11.1,,3,,,171,109,2012,Hobsons Bay City Council,-37.8337,144.8554,Western Metropolitan,5132,9,3947.368421,6192.66055,225000,60810.81081,,ALTONA NORTH
Ascot Vale,,,h,1340000,,,5.9,,3,,,683,232,1978,Moonee Valley City Council,-37.775,144.932,Western Metropolitan,6567,43,1961.93265,5775.862069,446666.6667,227118.6441,,ASCOT VALE
Ascot Vale,,,h,955000,,,5.9,,3,,,263,117,1910,Moonee Valley City Council,-37.7753,144.9116,Western Metropolitan,6567,111,3631.178707,8162.393162,318333.3333,161864.4068,,ASCOT VALE
Ashwood,,,u,690000,,,12.2,,2,,,216,90,2003,Monash City Council,-37.8711,145.1017,Southern Metropolitan,2894,18,3194.444444,7666.666667,345000,56557.37705,,ASHWOOD
Bentleigh East,,,t,805000,,,13.9,,3,,,268,117,2000,Glen Eira City Council,-37.9196,145.0691,Southern Metropolitan,10969,21,3003.731343,6880.34188,268333.3333,57913.66906,,BENTLEIGH EAST
Bentleigh East,,,h,1100000,,,13.9,,4,,,274,190,2004,Glen Eira City Council,-37.9257,145.0735,Southern Metropolitan,10969,17,4014.59854,5789.473684,275000,79136.69065,,BENTLEIGH EAST
Brighton,,,h,2730000,,,11.2,,5,,,895,423,1938,Bayside City Council,-37.9204,145.0028,Southern Metropolitan,10579,83,3050.27933,6453.900709,546000,243750,,BRIGHTON
Brighton,,,u,900000,,,11.2,,2,,,118,,1970,Bayside City Council,-37.914,144.9914,Southern Metropolitan,10579,51,7627.118644, ,450000,80357.14286,,BRIGHTON
Brighton,,,t,1962000,,,11.2,,3,,,323,,1995,Bayside City Council,-37.9208,144.9996,Southern Metropolitan,10579,26,6074.303406, ,654000,175178.5714,,BRIGHTON
Brighton East,,,h,1530000,,,10.7,,2,,,603,177,1920,Bayside City Council,-37.9187,145.0071,Southern Metropolitan,6938,101,2537.313433,8644.067797,765000,142990.6542,,BRIGHTON EAST
Brunswick,,,h,976000,,,5.2,,3,,,240,162,2005,Moreland City Council,-37.756,144.9587,Northern Metropolitan,11918,16,4066.666667,6024.691358,325333.3333,187692.3077,,BRUNSWICK
Brunswick,,,t,641000,,,5.2,,3,,,0,112,1900,Moreland City Council,-37.7703,144.9533,Northern Metropolitan,11918,121, ,5723.214286,213666.6667,123269.2308,,BRUNSWICK
Brunswick West,,,h,1245000,,,5.9,,3,,,412,,1934,Moreland City Council,-37.7618,144.9455,Northern Metropolitan,7082,87,3021.84466, ,415000,211016.9492,,BRUNSWICK WEST
Bulleen,,,h,1320000,,,11.8,,4,,,411,,1970,Manningham City Council,-37.7698,145.083,Eastern Metropolitan,4480,51,3211.678832, ,330000,111864.4068,,BULLEEN
Burwood,,,h,633000,,,11.7,,2,,,276,92,1965,Monash City Council,-37.8454,145.0971,Southern Metropolitan,5678,56,2293.478261,6880.434783,316500,54102.5641,,BURWOOD
Carnegie,,,h,1501000,,,11.4,,3,,,598,201,1970,Glen Eira City Council,-37.9037,145.0588,Southern Metropolitan,7822,51,2510.033445,7467.661692,500333.3333,131666.6667,,CARNEGIE
Carnegie,,,t,970000,,,11.4,,3,,,325,223,2005,Glen Eira City Council,-37.8933,145.0546,Southern Metropolitan,7822,16,2984.615385,4349.775785,323333.3333,85087.7193,,CARNEGIE
Caulfield South,,,h,1774500,,,9.3,,4,,,575,256,2008,Glen Eira City Council,-37.8993,145.0254,Southern Metropolitan,5051,13,3086.086957,6931.640625,443625,190806.4516,,CAULFIELD SOUTH
Coburg,,,h,763000,,,7.8,,3,,,107,110,1994,Darebin City Council,-37.7517,144.963,Northern Metropolitan,11204,27,7130.841121,6936.363636,254333.3333,97820.51282,,COBURG
Collingwood,,,t,897500,,,1.6,,3,,,82,82,1995,Yarra City Council,-37.7961,144.9873,Northern Metropolitan,4553,26,10945.12195,10945.12195,299166.6667,560937.5,,COLLINGWOOD
Collingwood,,,h,1265000,,,1.6,,3,,,282,112,1920,Yarra City Council,-37.7985,144.9883,Northern Metropolitan,4553,101,4485.815603,11294.64286,421666.6667,790625,,COLLINGWOOD
Doncaster,,,h,1250000,,,13.9,,4,,,767,,1963,Manningham City Council,-37.7735,145.1044,Eastern Metropolitan,9028,58,1629.726206, ,312500,89928.05755,,DONCASTER
Doncaster,,,h,1140000,,,13.9,,3,,,679,,1960,Manningham City Council,-37.7915,145.1224,Eastern Metropolitan,9028,61,1678.939617, ,380000,82014.38849,,DONCASTER
Essendon,,,u,460000,,,8,,2,,,0,72,1960,Moonee Valley City Council,-37.7545,144.8964,Western Metropolitan,9264,61, ,6388.888889,230000,57500,,ESSENDON
Essendon,,,t,1000000,,,8,,3,,,291,224,2013,Moonee Valley City Council,-37.7499,144.8927,Western Metropolitan,9264,8,3436.426117,4464.285714,333333.3333,125000,,ESSENDON
Essendon North,,,u,450000,,,9.4,,2,,,88,59,1960,Moonee Valley City Council,-37.7389,144.8998,Western Metropolitan,1308,61,5113.636364,7627.118644,225000,47872.34043,,ESSENDON NORTH
Fitzroy North,,,h,1950000,,,3.5,,4,,,233,216,1890,Moreland City Council,-37.7786,144.9818,Northern Metropolitan,6244,131,8369.098712,9027.777778,487500,557142.8571,,FITZROY NORTH
Fitzroy North,,,h,3400000,,,3.5,,3,,,445,175,1890,Moreland City Council,-37.786,144.9864,Northern Metropolitan,6244,131,7640.449438,19428.57143,1133333.333,971428.5714,,FITZROY NORTH
Fitzroy North,,,h,1785000,,,3.5,,4,,,188,165,1900,Moreland City Council,-37.7815,144.9869,Northern Metropolitan,6244,121,9494.680851,10818.18182,446250,510000,,FITZROY NORTH
Footscray,,,h,780000,,,6.4,,3,,,323,129,1900,Maribyrnong City Council,-37.7935,144.8893,Western Metropolitan,7570,121,2414.860681,6046.511628,260000,121875,,FOOTSCRAY
Gowanbrae,,,h,709000,,,13.6,,4,,,453,213,2007,Moreland City Council,-37.7016,144.8974,Western Metropolitan,1071,14,1565.121413,3328.638498,177250,52132.35294,,GOWANBRAE
Hadfield,,,h,545000,,,12.1,,2,,,591,102,1960,Moreland City Council,-37.7128,144.9471,Northern Metropolitan,2606,61,922.1658206,5343.137255,272500,45041.32231,,HADFIELD
Keilor East,,,u,560000,,,12.8,,3,,,352,102,2000,Brimbank City Council,-37.7459,144.8673,Western Metropolitan,5629,21,1590.909091,5490.196078,186666.6667,43750,,KEILOR EAST
Keilor East,,,h,1010000,,,12.8,,4,,,776,268,1980,Brimbank City Council,-37.7502,144.8745,Western Metropolitan,5629,41,1301.546392,3768.656716,252500,78906.25,,KEILOR EAST
Kensington,,,h,825000,,,4.2,,2,,,211,88,1915,Melbourne City Council,-37.7925,144.9264,Northern Metropolitan,5263,106,3909.952607,9375,412500,196428.5714,,KENSINGTON
Maidstone,,,h,673000,,,9.2,,3,,,285,107,1910,Maribyrnong City Council,-37.7813,144.8678,Western Metropolitan,3873,111,2361.403509,6289.719626,224333.3333,73152.17391,,MAIDSTONE
Malvern,,,t,1390000,,,7.4,,3,,,227,181,1995,Stonnington City Council,-37.8577,145.0406,Southern Metropolitan,4675,26,6123.348018,7679.558011,463333.3333,187837.8378,,MALVERN
Malvern East,,,h,1700000,,,11.2,,4,,,365,110,1930,Stonnington City Council,-37.8818,145.0548,Southern Metropolitan,8801,91,4657.534247,15454.54545,425000,151785.7143,,MALVERN EAST
Malvern East,,,u,370000,,,11.2,,2,,,0,,1965,Stonnington City Council,-37.8801,145.0874,Southern Metropolitan,8801,56, , ,185000,33035.71429,,MALVERN EAST
Malvern East,,,h,1150000,,,11.2,,2,,,604,119,1960,Stonnington City Council,-37.8835,145.0886,Southern Metropolitan,8801,61,1903.97351,9663.865546,575000,102678.5714,,MALVERN EAST
Maribyrnong,,,h,1072000,,,8.7,,3,,,1396,175,1955,Maribyrnong City Council,-37.7833,144.888,Western Metropolitan,4918,66,767.9083095,6125.714286,357333.3333,123218.3908,,MARIBYRNONG
Maribyrnong,,,t,510000,,,8.7,,2,,,176,142,2010,Maribyrnong City Council,-37.7693,144.8905,Western Metropolitan,4918,11,2897.727273,3591.549296,255000,58620.68966,,MARIBYRNONG
Middle Park,,,h,1020000,,,4.1,,2,,,107,,1900,Port Phillip City Council,-37.8468,144.9612,Southern Metropolitan,2019,121,9532.71028, ,510000,248780.4878,,MIDDLE PARK
Moonee Ponds,,,u,330000,,,6.9,,2,,,0,39,2014,Moonee Valley City Council,-37.7715,144.916,Western Metropolitan,6232,7, ,8461.538462,165000,47826.08696,,MOONEE PONDS
Moonee Ponds,,,h,1322000,,,6.9,,3,,,549,192,1930,Moonee Valley City Council,-37.7696,144.929,Western Metropolitan,6232,91,2408.014572,6885.416667,440666.6667,191594.2029,,MOONEE PONDS
Moonee Ponds,,,h,1015000,,,6.9,,2,,,228,125,1910,Moonee Valley City Council,-37.7685,144.9183,Western Metropolitan,6232,111,4451.754386,8120,507500,147101.4493,,MOONEE PONDS
Newport,,,h,950000,,,8.4,,2,,,281,,1950,Hobsons Bay City Council,-37.8431,144.8845,Western Metropolitan,5498,71,3380.782918, ,475000,113095.2381,,NEWPORT
Newport,,,h,1620000,,,8.4,,4,,,425,233,2015,Hobsons Bay City Council,-37.8456,144.8741,Western Metropolitan,5498,6,3811.764706,6952.7897,405000,192857.1429,,NEWPORT
Northcote,,,u,312000,,,5.5,,1,,,0,39,1960,Darebin City Council,-37.7783,144.9954,Northern Metropolitan,11364,61, ,8000,312000,56727.27273,,NORTHCOTE
Northcote,,,h,890000,,,5.5,,2,,,225,92,1910,Darebin City Council,-37.7663,145.0009,Northern Metropolitan,11364,111,3955.555556,9673.913043,445000,161818.1818,,NORTHCOTE
Northcote,,,h,2700000,,,5.5,,4,,,490,331,1920,Darebin City Council,-37.7726,145.0048,Northern Metropolitan,11364,101,5510.204082,8157.099698,675000,490909.0909,,NORTHCOTE
Northcote,,,h,1101000,,,5.5,,2,,,229,99,1910,Darebin City Council,-37.7784,145.0042,Northern Metropolitan,11364,111,4807.860262,11121.21212,550500,200181.8182,,NORTHCOTE
Pascoe Vale,,,u,488000,,,9.9,,3,,,219,84,2001,Moreland City Council,-37.7283,144.9331,Northern Metropolitan,7485,20,2228.310502,5809.52381,162666.6667,49292.92929,,PASCOE VALE
Pascoe Vale,,,h,900000,,,9.9,,3,,,608,168,1940,Moreland City Council,-37.7182,144.9405,Northern Metropolitan,7485,81,1480.263158,5357.142857,300000,90909.09091,,PASCOE VALE
Pascoe Vale,,,h,680000,,,9.9,,2,,,590,95,1940,Moreland City Council,-37.717,144.9509,Northern Metropolitan,7485,81,1152.542373,7157.894737,340000,68686.86869,,PASCOE VALE
Port Melbourne,,,h,900000,,,3.8,,2,,,124,70,1900,Melbourne City Council,-37.8356,144.9439,Southern Metropolitan,8648,121,7258.064516,12857.14286,450000,236842.1053,,PORT MELBOURNE
Prahran,,,h,1100000,,,4.5,,2,,,111,99,2001,Stonnington City Council,-37.8525,145.0071,Southern Metropolitan,7717,20,9909.90991,11111.11111,550000,244444.4444,,PRAHRAN
Preston,,,h,1260000,,,8.8,,4,,,654,150,1950,Darebin City Council,-37.7365,145.0173,Northern Metropolitan,14577,71,1926.605505,8400,315000,143181.8182,,PRESTON
Preston,,,u,485000,,,8.8,,2,,,117,73,1965,Darebin City Council,-37.7514,145.0118,Northern Metropolitan,14577,56,4145.299145,6643.835616,242500,55113.63636,,PRESTON
Preston,,,h,690000,,,8.8,,3,,,594,92,1960,Darebin City Council,-37.7512,145.017,Northern Metropolitan,14577,61,1161.616162,7500,230000,78409.09091,,PRESTON
Reservoir,,,h,830000,,,11.2,,1,,,509,,1928,Darebin City Council,-37.7261,144.9983,Northern Metropolitan,21650,93,1630.64833, ,830000,74107.14286,,RESERVOIR
Reservoir,,,u,360000,,,11.2,,2,,,132,65,2010,Darebin City Council,-37.708,145.0223,Northern Metropolitan,21650,11,2727.272727,5538.461538,180000,32142.85714,,RESERVOIR
Richmond,,,t,930000,,,2.6,,2,,,97,85,2004,Yarra City Council,-37.814,145.002,Northern Metropolitan,14949,17,9587.628866,10941.17647,465000,357692.3077,,RICHMOND
Richmond,,,h,1182000,,,2.6,,3,,,199,110,1920,Yarra City Council,-37.8139,145.0039,Northern Metropolitan,14949,101,5939.698492,10745.45455,394000,454615.3846,,RICHMOND
Richmond,,,h,777500,,,2.6,,2,,,151,76,1900,Yarra City Council,-37.8171,145.009,Northern Metropolitan,14949,121,5149.006623,10230.26316,388750,299038.4615,,RICHMOND
Richmond,,,h,1115000,,,2.6,,3,,,129,120,1980,Yarra City Council,-37.824,145.0052,Northern Metropolitan,14949,41,8643.410853,9291.666667,371666.6667,428846.1538,,RICHMOND
Richmond,,,u,760000,,,2.6,,3,,,0,120,2005,Yarra City Council,-37.8331,144.9975,Northern Metropolitan,14949,16, ,6333.333333,253333.3333,292307.6923,,RICHMOND
Richmond,,,u,640000,,,2.6,,2,,,0,69,2000,Yarra City Council,-37.8173,144.9965,Northern Metropolitan,14949,21, ,9275.362319,320000,246153.8462,,RICHMOND
Richmond,,,h,1420000,,,2.6,,3,,,198,119,1890,Yarra City Council,-37.8225,145.0007,Northern Metropolitan,14949,131,7171.717172,11932.77311,473333.3333,546153.8462,,RICHMOND
Richmond,,,u,390000,,,2.6,,1,,,0,40,2011,Yarra City Council,-37.8195,145.0103,Northern Metropolitan,14949,10, ,9750,390000,150000,,RICHMOND
Seddon,,,t,720000,,,6.6,,2,,,126,127,2011,Maribyrnong City Council,-37.8045,144.8898,Western Metropolitan,2417,10,5714.285714,5669.291339,360000,109090.9091,,SEDDON
South Yarra,,,u,330000,,,3.3,,1,,,0,47,1970,Melbourne City Council,-37.8437,144.9904,Southern Metropolitan,14887,51, ,7021.276596,330000,100000,,SOUTH YARRA
Southbank,,,u,480000,,,1.2,,1,,,3878,,2012,Melbourne City Council,-37.8255,144.9665,Southern Metropolitan,8400,9,123.7751418, ,480000,400000,,SOUTHBANK
St Kilda,,,u,570000,,,6.1,,2,,,0,70,2000,Port Phillip City Council,-37.8709,144.9807,Southern Metropolitan,13240,21, ,8142.857143,285000,93442.62295,,ST KILDA
St Kilda,,,u,400000,,,6.1,,2,,,0,65,1970,Port Phillip City Council,-37.8619,144.976,Southern Metropolitan,13240,51, ,6153.846154,200000,65573.77049,,ST KILDA
Sunshine,,,h,425000,,,12.6,,2,,,225,80,2000,Brimbank City Council,-37.7795,144.8432,Western Metropolitan,3755,21,1888.888889,5312.5,212500,33730.15873,,SUNSHINE
Sunshine,,,h,715000,,,12.6,,3,,,558,104,1925,Brimbank City Council,-37.7807,144.8341,Western Metropolitan,3755,96,1281.362007,6875,238333.3333,56746.03175,,SUNSHINE
Sunshine West,,,h,500000,,,13.5,,3,,,541,133,1970,Brimbank City Council,-37.7928,144.804,Western Metropolitan,6763,51,924.2144177,3759.398496,166666.6667,37037.03704,,SUNSHINE WEST
Thornbury,,,h,1110000,,,6.5,,2,,,288,105,1925,Darebin City Council,-37.7564,144.9971,Northern Metropolitan,8870,96,3854.166667,10571.42857,555000,170769.2308,,THORNBURY
Thornbury,,,u,332000,,,6.5,,1,,,612,48,1975,Darebin City Council,-37.7603,145.0165,Northern Metropolitan,8870,46,542.4836601,6916.666667,332000,51076.92308,,THORNBURY
Williamstown,,,u,513500,,,8,,2,,,0,72,1980,Hobsons Bay City Council,-37.8536,144.8981,Western Metropolitan,6380,41, ,7131.944444,256750,64187.5,,WILLIAMSTOWN
Yarraville,,,h,796000,,,7,,3,,,464,120,1960,Maribyrnong City Council,-37.8151,144.8638,Western Metropolitan,6543,61,1715.517241,6633.333333,265333.3333,113714.2857,,YARRAVILLE
Carlton,,,h,1630100,,,1.8,,4,,,132,195,1890,Melbourne City Council,-37.801,144.9656,Northern Metropolitan,6786,131,12349.24242,8359.487179,407525,905611.1111,,CARLTON
Carlton,,,u,480000,,,1.8,,2,,,0,,2012,Melbourne City Council,-37.7939,144.9663,Northern Metropolitan,6786,9, , ,240000,266666.6667,,CARLTON
Carlton,,,u,500000,,,1.8,,2,,,0,65,2010,Melbourne City Council,-37.7929,144.9705,Northern Metropolitan,6786,11, ,7692.307692,250000,277777.7778,,CARLTON
Ormond,,,h,861000,,,11.8,,2,,,0,,2002,Glen Eira City Council,-37.9026,145.0364,Southern Metropolitan,3578,19, , ,430500,72966.10169,,ORMOND
Gardenvale,,,u,393000,,,9.8,,2,,,0,65,1970,Glen Eira City Council,-37.8971,145.0093,Southern Metropolitan,534,51, ,6046.153846,196500,40102.04082,,GARDENVALE
Airport West,,,h,685000,,,13.5,,3,,,579,113,1975,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan,3464,46,1183.074266,6061.946903,228333.3333,50740.74074,,AIRPORT WEST
Alphington,,,h,865000,,,6.4,,3,,,180,131,2010,Darebin City Council,-37.7802,145.0243,Northern Metropolitan,2211,11,4805.555556,6603.053435,288333.3333,135156.25,,ALPHINGTON
Alphington,,,u,390000,,,6.4,,2,,,0,60,1960,Darebin City Council,-37.7773,145.0314,Northern Metropolitan,2211,61, ,6500,195000,60937.5,,ALPHINGTON
Altona North,,,h,693000,,,11.1,,4,,,315,170,2008,Hobsons Bay City Council,-37.8391,144.8467,Western Metropolitan,5132,13,2200,4076.470588,173250,62432.43243,,ALTONA NORTH
Armadale,,,h,1900000,,,6.3,,3,,,328,108,1900,Stonnington City Council,-37.8559,145.0158,Southern Metropolitan,4836,121,5792.682927,17592.59259,633333.3333,301587.3016,,ARMADALE
Ascot Vale,,,h,1430000,,,5.9,,4,,,418,158,1900,Moonee Valley City Council,-37.7766,144.9187,Western Metropolitan,6567,121,3421.052632,9050.632911,357500,242372.8814,,ASCOT VALE
Avondale Heights,,,h,705000,,,10.5,,3,,,581,106,1960,Moonee Valley City Council,-37.7691,144.8575,Western Metropolitan,4502,61,1213.425129,6650.943396,235000,67142.85714,,AVONDALE HEIGHTS
Avondale Heights,,,h,1100000,,,10.5,,4,,,873,395,1992,Moonee Valley City Council,-37.7609,144.8639,Western Metropolitan,4502,29,1260.02291,2784.810127,275000,104761.9048,,AVONDALE HEIGHTS
Avondale Heights,,,h,892500,,,10.5,,3,,,586,118,1965,Moonee Valley City Council,-37.7642,144.8603,Western Metropolitan,4502,56,1523.037543,7563.559322,297500,85000,,AVONDALE HEIGHTS
Balaclava,,,u,474000,,,6.6,,2,,,0,59,1970,Port Phillip City Council,-37.8667,144.9917,Southern Metropolitan,2952,51, ,8033.898305,237000,71818.18182,,BALACLAVA
Bentleigh East,,,h,780000,,,13.9,,3,,,710,,1966,Glen Eira City Council,-37.9324,145.0577,Southern Metropolitan,10969,55,1098.591549, ,260000,56115.10791,,BENTLEIGH EAST
Bentleigh East,,,h,1197000,,,13.9,,3,,,692,147,1949,Glen Eira City Council,-37.9232,145.0563,Southern Metropolitan,10969,72,1729.768786,8142.857143,399000,86115.10791,,BENTLEIGH EAST
Bentleigh East,,,u,485000,,,13.9,,2,,,0,83,2011,Glen Eira City Council,-37.9292,145.0708,Southern Metropolitan,10969,10, ,5843.373494,242500,34892.08633,,BENTLEIGH EAST
Bentleigh East,,,u,810000,,,13.9,,3,,,316,,1950,Glen Eira City Council,-37.9245,145.0773,Southern Metropolitan,10969,71,2563.291139, ,270000,58273.38129,,BENTLEIGH EAST
Bentleigh East,,,h,1365000,,,13.9,,4,,,582,151,1960,Glen Eira City Council,-37.9129,145.0598,Southern Metropolitan,10969,61,2345.360825,9039.735099,341250,98201.43885,,BENTLEIGH EAST
Brighton,,,h,3900000,,,11.2,,4,,,842,311,1990,Bayside City Council,-37.9227,145.0043,Southern Metropolitan,10579,31,4631.828979,12540.19293,975000,348214.2857,,BRIGHTON
Brighton,,,u,610000,,,11.2,,2,,,0,75,2005,Bayside City Council,-37.9156,145.0013,Southern Metropolitan,10579,16, ,8133.333333,305000,54464.28571,,BRIGHTON
Brighton,,,u,880000,,,11.2,,3,,,138,,1965,Bayside City Council,-37.896,144.9957,Southern Metropolitan,10579,56,6376.811594, ,293333.3333,78571.42857,,BRIGHTON
Brighton,,,u,737000,,,11.2,,3,,,106,,1975,Bayside City Council,-37.9159,144.9936,Southern Metropolitan,10579,46,6952.830189, ,245666.6667,65803.57143,,BRIGHTON
Brighton East,,,h,1650000,,,10.7,,4,,,506,,1997,Bayside City Council,-37.9111,145.0108,Southern Metropolitan,6938,24,3260.869565, ,412500,154205.6075,,BRIGHTON EAST
Brunswick,,,h,871000,,,5.2,,2,,,215,,1880,Moreland City Council,-37.7722,144.9637,Northern Metropolitan,11918,141,4051.162791, ,435500,167500,,BRUNSWICK
Brunswick,,,h,985000,,,5.2,,3,,,384,89,1940,Moreland City Council,-37.7626,144.9535,Northern Metropolitan,11918,81,2565.104167,11067.41573,328333.3333,189423.0769,,BRUNSWICK
Brunswick,,,h,1250000,,,5.2,,3,,,483,162,1890,Moreland City Council,-37.7602,144.9543,Northern Metropolitan,11918,131,2587.991718,7716.049383,416666.6667,240384.6154,,BRUNSWICK
Brunswick,,,t,641000,,,5.2,,3,,,0,112,1900,Moreland City Council,-37.7703,144.9533,Northern Metropolitan,11918,121, ,5723.214286,213666.6667,123269.2308,,BRUNSWICK
Brunswick West,,,u,330000,,,5.9,,1,,,0,42,1970,Moreland City Council,-37.7748,144.9483,Northern Metropolitan,7082,51, ,7857.142857,330000,55932.20339,,BRUNSWICK WEST
Burwood,,,t,900000,,,11.7,,4,,,381,176,2013,Monash City Council,-37.8459,145.1041,Southern Metropolitan,5678,8,2362.204724,5113.636364,225000,76923.07692,,BURWOOD
Carlton North,,,h,1950000,,,3.2,,4,,,207,162,1900,Melbourne City Council,-37.7804,144.9748,Northern Metropolitan,3106,121,9420.289855,12037.03704,487500,609375,,CARLTON NORTH
Carnegie,,,h,1430000,,,11.4,,3,,,603,166,1945,Glen Eira City Council,-37.9023,145.0568,Southern Metropolitan,7822,76,2371.475954,8614.457831,476666.6667,125438.5965,,CARNEGIE
Chadstone,,,h,1415500,,,13.6,,3,,,1033,164,1950,Monash City Council,-37.8738,145.1095,Southern Metropolitan,3582,71,1370.280736,8631.097561,471833.3333,104080.8824,,CHADSTONE
Collingwood,,,t,887500,,,1.6,,3,,,81,82,2000,Yarra City Council,-37.7961,144.9874,Northern Metropolitan,4553,21,10956.79012,10823.17073,295833.3333,554687.5,,COLLINGWOOD
