Suburb,Type,Price,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,Priceperage,Price/km
Caulfield North,h,1750000,101, ,15205.88235,1292500,307738.0952,17326.73267,308
Caulfield South,h,1577500,101,2088,11513.15789,437500,71138.21138,15618.81188,71
Coburg,h,850000,101,2180,7368.421053,315000,148235.2941,8415.841584,148
Coburg,h,784000,101,2887,15923.56688,625000,367647.0588,7762.376238,368
Collingwood,h,890000,101,3550,11473.21429,321250,203968.254,8811.881188,204
Collingwood,u,1260000,101,2630,8581.560284,403333.3333,180597.0149,12475.24752,181
Collingwood,u,855000,101, ,15000,380000,178125,8465.346535,178
Doncaster,u,492500,101, ,10402.36686,439500,202068.9655,4876.237624,202
Elsternwick,h,900000,101,11573,20779.22078,1280000,2133333.333,8910.891089,2133
Elwood,u,520000,101,3812,15044.64286,421250,317924.5283,5148.514851,318
Essendon,h,1425000,101,908,12163.12057,571666.6667,272222.2222,14108.91089,272
Essendon,u,660000,101, , ,437500,273437.5,6534.653465,273
Essendon,u,550000,101,4737, ,600000,250000,5445.544554,250
Essendon North,u,396000,101,2637,8275.862069,300000,193548.3871,3920.792079,194
Fairfield,h,1250000,101,5815,11092.43697,440000,249056.6038,12376.23762,249
Fitzroy,h,1252000,101,2070,2070.3125,353333.3333,165625,12396.0396,166
Fitzroy North,u,700000,101,1740,7177.033493,500000,483870.9677,6930.693069,484
Fitzroy North,h,860000,101,4003,11041.66667,441666.6667,254807.6923,8514.851485,255
Fitzroy North,h,870000,101,4063, ,650000,245283.0189,8613.861386,245
Fitzroy North,h,1450000,101,2099,12173.91304,466666.6667,116666.6667,14356.43564,117
Footscray,u,85000,101, ,6904.761905,386666.6667,181250,841.5841584,181
Glenroy,h,610000,101,2032,7605.714286,332750,158452.381,6039.60396,158
Gowanbrae,h,631000,101, ,9189.189189,340000,121428.5714,6247.524752,121
Gowanbrae,t,532000,101,1924, ,356666.6667,127380.9524,5267.326733,127
Hadfield,h,605000,101,3594,6534.090909,230000,221153.8462,5990.09901,221
Hadfield,h,685500,101,2714, ,401666.6667,179850.7463,6787.128713,180
Hampton,u,895000,101, ,11250,450000,375000,8861.386139,375
Hampton,u,587000,101,3851,10634.51777,698333.3333,151811.5942,5811.881188,152
Hampton,h,2800000,101,3531,9328.358209,416666.6667,101626.0163,27722.77228,102
Hampton,h,3250000,101,2914, ,480000,168421.0526,32178.21782,168
Hughesdale,h,1550000,101,3881,12454.54545,456666.6667,195714.2857,15346.53465,196
Hughesdale,u,516000,101, ,14885.49618,650000,286764.7059,5108.910891,287
Keilor East,h,703000,101,3385,12640.28777,439250,308245.614,6960.39604,308
Keilor East,h,650000,101, ,7454.545455,273333.3333,157692.3077,6435.643564,158
Kensington,h,852000,101, ,5777.777778,325000,158536.5854,8435.643564,159
Kensington,h,1037000,101,3724,9202.898551,635000,373529.4118,10267.32673,374
Maidstone,t,615000,101,2658,12171.05263,462500,256944.4444,6089.108911,257
Maidstone,h,715000,101,9395,11516.12903,595000,388043.4783,7079.207921,388
Maidstone,h,826000,101,4444,9292.929293,306666.6667,146031.746,8178.217822,146
Malvern East,h,1490000,101, ,13161.29032,510000,680000,14752.47525,680
Malvern East,h,1210000,101, ,13088.23529,556250,347656.25,11980.19802,348
Middle Park,h,2600000,101,3211,8451.612903,436666.6667,251923.0769,25742.57426,252
Moonee Ponds,u,670000,101, ,7195.876289,349000,134230.7692,6633.663366,134
Newport,h,826000,101, ,15130.43478,580000,483333.3333,8178.217822,483
Niddrie,t,830000,101,10580,12601.62602,775000,861111.1111,8217.821782,861
North Melbourne,h,2920000,101,3342,7848.837209,337500,201492.5373,28910.89109,201
Northcote,h,1286000,101,3007,8460,317250,189402.9851,12732.67327,189
Northcote,h,1200000,101,4008,8260.869565,475000,333333.3333,11881.18812,333
Northcote,h,1382500,101,3059,11250,506250,146739.1304,13688.11881,147
Northcote,h,1600000,101,3673,8708.333333,522500,248809.5238,15841.58416,249
Parkville,h,1230000,101,3628, ,687500,180921.0526,12178.21782,181
Pascoe Vale,h,1120000,101, ,7777.777778,466666.6667,269230.7692,11089.10891,269
Pascoe Vale,h,770000,101,2244,8410.596026,423333.3333,189552.2388,7623.762376,190
Prahran,u,342000,101,2094,9019.230769,469000,114390.2439,3386.138614,114
Prahran,h,950000,101, , ,437500,115131.5789,9405.940594,115
Prahran,u,781000,101,7992,11063.15789,700666.6667,420400,7732.673267,420
Preston,h,1250000,101,2205,5175.78125,265000,308139.5349,12376.23762,308
Preston,h,930000,101,5351, ,533333.3333,444444.4444,9207.920792,444
Preston,h,900000,101,3205,8862.815884,613750,327333.3333,8910.891089,327
Reservoir,u,475000,101,5262,8973.214286,502500,197058.8235,4702.970297,197
Reservoir,u,415000,101, ,8921.933086,600000,285714.2857,4108.910891,286
Richmond,h,937000,101,3785,14285.71429,633333.3333,358490.566,9277.227723,358
Richmond,h,1260000,101,2441,16666.66667,875000,153508.7719,12475.24752,154
Richmond,u,795250,101,7207, ,522500,261250,7873.762376,261
Richmond,u,582000,101, ,9621.212121,423333.3333,189552.2388,5762.376238,190
Seddon,h,1145000,101,2749,9633.027523,350000,156716.4179,11336.63366,157
South Melbourne,u,593000,101, ,10236.96682,540000,156521.7391,5871.287129,157
South Melbourne,h,1600000,101,3128,17301.5873,726666.6667,259523.8095,15841.58416,260
South Yarra,u,430000,101,9784,20923.07692,680000,566666.6667,4257.425743,567
South Yarra,u,722000,101, ,7287.735849,257500,73571.42857,7148.514851,74
South Yarra,u,930000,101,2819,9274.193548,383333.3333,221153.8462,9207.920792,221
Southbank,u,720000,101,1775,6022.099448,272500,162686.5672,7128.712871,163
Spotswood,h,1040000,101, ,10714.28571,412500,311320.7547,10297.0297,311
St Kilda,u,380000,101, ,9980.237154,505000,476415.0943,3762.376238,476
Templestowe Lower,h,1201000,101,2645,6961.722488,363750,118292.6829,11891.08911,118
West Melbourne,t,1010000,101,3425,10162.60163,416666.6667,240384.6154,10000,240
Williamstown,h,1400000,101, ,7770.833333,326375,108791.6667,13861.38614,109
Williamstown,h,1535000,101,3579,15596.59091,686250,266504.8544,15198.0198,267
Windsor,u,580000,101,1935,6778.52349,336666.6667,234883.7209,5742.574257,235
Yarraville,h,1000000,101,6793,11467.88991,416666.6667,235849.0566,9900.990099,236
Yarraville,h,890000,101,2086,10777.77778,323333.3333,153968.254,8811.881188,154
Yarraville,h,1165000,101,1669,8797.468354,347500,121929.8246,11534.65347,122
Airport West,u,530000,101,2182,9037.313433,403666.6667,232884.6154,5247.524752,233
Airport West,h,895000,101,2077,11740.33149,708333.3333,283333.3333,8861.386139,283
Albert Park,h,2120000,101,2993,9821.428571,733333.3333,261904.7619,20990.09901,262
Albert Park,h,1800000,101,3725,10543.47826,606250,288690.4762,17821.78218,289
Altona,u,510000,101,3653,7239.819005,533333.3333,93023.25581,5049.50495,93
Altona,u,425000,101,3229,8346.153846,271250,175000,4207.920792,175
Armadale,u,280000,101,1331,6796.116505,233333.3333,66666.66667,2772.277228,67
Ascot Vale,h,770000,101,3053,12244.89796,400000,171428.5714,7623.762376,171
Ashwood,h,1365000,101,2833,9615.384615,333333.3333,142857.1429,13514.85149,143
Bentleigh,h,1328000,101,3532,13750,641666.6667,183333.3333,13148.51485,183
Bentleigh,h,1340000,101,6281,13157.89474,625000,119047.619,13267.32673,119
Bentleigh,t,1155000,101,3840, ,500000,242718.4466,11435.64356,243
Bentleigh,h,1275000,101,4032,10647.4359,415250,319423.0769,12623.76238,319
Bentleigh East,h,1415000,101,3528,9117.647059,581250,276785.7143,14009.90099,277
Box Hill,h,1560000,101,5706,10319.14894,323333.3333,156451.6129,15445.54455,156
Brighton,h,2400000,101,3688, ,555000,179032.2581,23762.37624,179
Brighton,u,590000,101,4076, ,617500,233018.8679,5841.584158,233
Brighton,h,1650000,101,2858,8136.842105,386500,125691.0569,16336.63366,126
Brighton,h,1562500,101,2088, ,316666.6667,113095.2381,15470.29703,113
Brighton East,h,2840000,101,5432,9924.81203,330000,253846.1538,28118.81188,254
Brighton East,h,1000000,101,2229,13939.39394,690000,133980.5825,9900.990099,134
Brunswick,h,1100000,101,5401,9943.181818,350000,336538.4615,10891.08911,337
Brunswick,t,750000,101,2191,8333.333333,212500,166666.6667,7425.742574,167
Brunswick,h,1056000,101,4995,12520,469500,149047.619,10455.44554,149
Moonee Ponds,u,420000,100,3265,8394.308943,550666.6667,317692.3077,4200,318
Moonee Ponds,h,2400000,99,2433,7588.495575,428750,145338.9831,24242.42424,145
Moonee Ponds,u,565000,99,5663,10990.09901,555000,213461.5385,5707.070707,213
Moonee Ponds,u,550000,99,2810,7679.144385,359000,191466.6667,5555.555556,191
Moonee Ponds,h,1211000,99,4640,12713.33333,476750,794583.3333,12232.32323,795
Northcote,h,1255000,99,3291, ,325000,154761.9048,12676.76768,155
Northcote,h,1020000,98,2130,40000,400000,140350.8772,10408.16327,140
Northcote,u,435000,98,4898, ,962500,250000,4438.77551,250
Northcote,h,790000,98, ,10788.46154,561000,145714.2857,8061.22449,146
Northcote,u,605000,98,6271,16566.26506,1375000,1195652.174,6173.469388,1196
Oak Park,h,690000,98, ,23620.68966,1370000,190277.7778,7040.816327,190
Pascoe Vale,h,775000,97,3323, ,418666.6667,106440.678,7989.690722,106
Port Melbourne,u,655000,97,3506,16386.13861,551666.6667,300909.0909,6752.57732,301
Port Melbourne,h,1350000,97,2831,7229.437229,417500,127480.916,13917.52577,127
Port Melbourne,h,1560000,96,1914,6920,216250,110897.4359,16250,111
Port Melbourne,u,1035000,96,1863,9375,375000,98684.21053,10781.25,99
Port Melbourne,u,1070000,96,1281,6875,238333.3333,56746.03175,11145.83333,57
Prahran,u,585000,96,3854,10571.42857,555000,170769.2308,6093.75,171
Preston,h,810000,96,2677,7190.082645,580000,328301.8868,8437.5,328
Preston,h,600000,96,1837,7608.695652,350000,89743.58974,6250,90
Reservoir,h,650000,96,4893,11296.2963,610000,237662.3377,6770.833333,238
Reservoir,t,416000,96,2160,14473.68421,550000,147321.4286,4333.333333,147
Reservoir,u,301000,96,1798,5255.102041,257500,118390.8046,3135.416667,118
Reservoir,h,865000,96,2153, ,300000,69230.76923,9010.416667,69
Reservoir,u,436000,96,2684,7382.352941,376500,132105.2632,4541.666667,132
Reservoir,h,650000,96,3285, ,397500,289090.9091,6770.833333,289
Reservoir,h,650000,96,2993,7663.551402,410000,67768.59504,6770.833333,68
Richmond,u,439000,96,2385,2376.237624,640000,162711.8644,4572.916667,163
Richmond,u,695000,96,5078,9160.839161,655000,569565.2174,7239.583333,570
Richmond,u,512000,96,2074,7044.534413,580000,191208.7912,5333.333333,191
Richmond,t,855000,96,3070,1011.527378,351000,202500,8906.25,203
Richmond,u,1040000,96,3488,10500,525000,190909.0909,10833.33333,191
Richmond,u,342000,96,2072,6231.884058,430000,97727.27273,3562.5,98
Richmond,u,681000,96,2970,7900,395000,89772.72727,7093.75,90
South Melbourne,u,862000,96,2148,10190.26549,287875,140426.8293,8979.166667,140
Southbank,u,485000,96,1944,6466.666667,242500,164406.7797,5052.083333,164
Spotswood,h,1080000,96,2983,11329.78723,532500,155474.4526,11250,155
St Kilda,u,395000,96,3033,12083.33333,725000,155913.9785,4114.583333,156
St Kilda,u,520000,96,2142,2100,252000,92195.12195,5416.666667,92
St Kilda,h,2720000,96,6320,28459.1195,1131250,611486.4865,28333.33333,611
Strathmore,h,1330000,96,2100,13200,858000,150526.3158,13854.16667,151
Sunshine,h,702000,96,3478,8653.846154,450000,164233.5766,7312.5,164
Templestowe Lower,h,950000,96,2385,7735.148515,312500,139508.9286,9895.833333,140
Templestowe Lower,h,1421000,96, ,6882.352941,390000,102631.5789,14802.08333,103
Thornbury,u,260000,96,3193,9680,403333.3333,155128.2051,2708.333333,155
Toorak,t,2400000,96,3252,8064.516129,500000,145985.4015,25000,146
Toorak,t,2650000,96,2503,6730.15873,530000,163076.9231,27604.16667,163
Williamstown,h,2230000,96,2218,5714.285714,360000,122727.2727,23229.16667,123
Windsor,h,1370000,96,2995,7935.064935,305500,48492.06349,14270.83333,48
Yarraville,u,330000,96,2867,8460.591133,429375,268359.375,3437.5,268
Aberfeldie,t,935000,96,1359,6594.827586,382500,83152.17391,9739.583333,83
Brunswick East,h,1080000,96,1923, ,463333.3333,106923.0769,11250,107
Ormond,h,1770000,96,2941,7279.693487,380000,275362.3188,18437.5,275
Ormond,t,1250000,96,2123,10349.65035,493333.3333,138317.757,13020.83333,138
West Footscray,h,415000,96,1313,7457.627119,293333.3333,62857.14286,4322.916667,63
West Footscray,h,723000,96,3461, ,700000,250000,7531.25,250
West Footscray,u,530000,96,3689,8108.108108,675000,241071.4286,5520.833333,241
Albion,h,816000,96,1901,8224.299065,293333.3333,69841.26984,8500,70
Glen Huntly,h,1330000,96,2038,9510.416667,304333.3333,111341.4634,13854.16667,111
Glen Huntly,u,695000,96,3110,11443.85027,535000,156204.3796,7239.583333,156
Cremorne,h,1475000,96,3190,9432.432432,436250,134230.7692,15364.58333,134
Strathmore Heights,h,1260000,96,2787,8557.522124,322333.3333,117926.8293,13125,118
Keilor Park,t,380000,96,3273, ,630000,242307.6923,3958.333333,242
Abbotsford,h,890000,96,2024,5748.663102,268750,137820.5128,9270.833333,138
Airport West,h,773000,96,2504,6451.612903,350000,159090.9091,8052.083333,159
Armadale,h,5525000,96,4478,9612.068966,371666.6667,214423.0769,57552.08333,214
Ascot Vale,h,1180000,96,3219,9868.421053,450000,190677.9661,12291.66667,191
Ascot Vale,h,1480000,96,1856,9113.821138,373666.6667,127386.3636,15416.66667,127
Ashwood,h,1529500,96,3001,13164.55696,693333.3333,158778.626,15932.29167,159
Balaclava,u,442000,96,2877,9166.666667,311666.6667,114024.3902,4604.166667,114
Bentleigh,h,1095000,96,5801,12352.94118,525000,190909.0909,11406.25,191
Bentleigh East,h,1200000,96,4487,7664.233577,420000,355932.2034,12500,356
Bentleigh East,h,780000,96,3060,8424.657534,307500,146428.5714,8125,146
Bentleigh East,t,1250000,96,2739,12480.91603,545000,152803.7383,13020.83333,153
Bentleigh East,h,1110000,96,2613,10000,500000,258620.6897,11562.5,259
Bentleigh East,h,1690000,96,4312,11333.33333,396666.6667,152564.1026,17604.16667,153
Bentleigh East,u,791000,96,4426,10465.11628,450000,145161.2903,8239.583333,145
Bentleigh East,h,900000,96,3512,12750,637500,184782.6087,9375,185
Bentleigh East,h,1189000,96,2509,6451.612903,280000,166666.6667,12385.41667,167
Box Hill,h,1461400,96,3285,13550,406500,232285.7143,15222.91667,232
Box Hill,u,775000,96,4019,10576.92308,641666.6667,370192.3077,8072.916667,370
Box Hill,h,1670000,96,2711,9189.189189,425000,195402.2989,17395.83333,195
Braybrook,h,610000,96,2204, ,305250,70578.03468,6354.166667,71
Brighton,h,2375000,96,2657,8355.263158,317500,204838.7097,24739.58333,205
Brighton,h,1385000,96,1893,10098.68421,511666.6667,187195.122,14427.08333,187
Brighton,h,1601000,96,2469,9158.878505,326666.6667,116666.6667,16677.08333,117
Brighton East,h,1710000,96,2582,16071.42857,600000,315789.4737,17812.5,316
Brighton East,t,1300000,96,3057,7484.848485,308750,81250,13541.66667,81
Brunswick,h,1050000,96,4011, ,740000,234920.6349,10937.5,235
Brunswick,h,1691500,96,2473,12135.92233,833333.3333,297619.0476,17619.79167,298
Brunswick,h,1075000,96, ,9830.508475,435000,165714.2857,11197.91667,166
Brunswick,u,620000,96, , ,288000,128955.2239,6458.333333,129
Brunswick West,h,1005000,96,5281,14687.5,783333.3333,451923.0769,10468.75,452
Burwood,t,752000,96,1236, ,181000,86190.47619,7833.333333,86
Burwood,h,570000,96,4314,7786.377709,628750,244174.7573,5937.5,244
Burwood,t,745000,96,4141,8388.278388,458000,150657.8947,7760.416667,151
Burwood,h,2150000,96, ,10717.21311,435833.3333,155654.7619,22395.83333,156
Burwood,u,746000,96,2817,11403.50877,650000,346666.6667,7770.833333,347
Burwood,h,1540000,96,4044,13664.59627,550000,305555.5556,16041.66667,306
Carnegie,u,920000,96, ,9870.12987,506666.6667,133333.3333,9583.333333,133
Caulfield North,u,722000,96,2701,10251.70068,376750,200933.3333,7520.833333,201
Chadstone,t,965000,96, ,10945.94595,405000,305660.3774,10052.08333,306
Coburg,t,590000,96, ,13178.29457,566666.6667,629629.6296,6145.833333,630
Coburg,h,1000000,96,1755,4212.121212,278000,124107.1429,10416.66667,124
Collingwood,h,981000,96,2641,6063.122924,365000,243333.3333,10218.75,243
Collingwood,u,683000,96,3168,9130.434783,367500,282692.3077,7114.583333,283
Doncaster,h,1250000,96,4288,12950,647500,244339.6226,13020.83333,244
Doncaster,h,1030000,96,2708,2646.502836,466666.6667,170731.7073,10729.16667,171
Elsternwick,u,626000,96,3698,11682.24299,625000,178571.4286,6520.833333,179
Elwood,h,1625000,96,5621,11654.41176,528333.3333,299056.6038,16927.08333,299
Elwood,u,1122000,96,4354,13150,657500,248113.2075,11687.5,248
Elwood,u,559000,96,1582,5484.47205,220750,122638.8889,5822.916667,123
Essendon,h,1134000,96,4270,11467.85714,535166.6667,229357.1429,11812.5,229
Essendon,u,320500,96,3675,8512.658228,448333.3333,258653.8462,3338.541667,259
Essendon,u,650000,96,5392,11640.21164,550000,305555.5556,6770.833333,306
Essendon,h,1065000,96,3477,11356.78392,452000,269047.619,11093.75,269
Essendon,h,1610000,96,3344,8422.459893,393750,276315.7895,16770.83333,276
Fitzroy,h,1250000,96,2652,14188.03419,553333.3333,313207.5472,13020.83333,313
Footscray,u,305000,96,2242,9437.751004,470000,228155.3398,3177.083333,228
Footscray,h,860500,96,2833,8928.571429,333333.3333,119047.619,8963.541667,119
Moonee Ponds,u,410000,95,4263,10813.00813,443333.3333,143010.7527,4315.789474,143
Newport,h,1040000,95,2362,10308.64198,417500,127480.916,10947.36842,127
Niddrie,h,1400000,95,3539, ,502500,170338.9831,14736.84211,170
Niddrie,h,1080000,95,3244,10752.06612,433666.6667,121588.785,11368.42105,122
North Melbourne,h,1470000,95,3351,7600,380000,146153.8462,15473.68421,146
Northcote,h,1300000,95,2849, ,333333.3333,153846.1538,13684.21053,154
Northcote,u,810000,95, ,8264.840183,452500,215476.1905,8526.315789,215
Northcote,t,701000,95, ,6722.689076,400000,250000,7378.947368,250
Pascoe Vale,t,510000,94,1874,6218.723404,487133.3333,111557.2519,5425.531915,112
Port Melbourne,h,1570000,94,3774, ,400000,230769.2308,16702.12766,231
Prahran,h,1500000,94,1940, ,433333.3333,110169.4915,15957.44681,110
Preston,h,980000,94, ,5925.925926,400000,158415.8416,10425.53191,158
Preston,h,886000,94, ,11684.78261,537500,358333.3333,9425.531915,358
Preston,h,1080000,94,4148, ,462500,349056.6038,11489.3617,349
Reservoir,h,622500,94,2007,5000,290000,94308.94309,6622.340426,94
Richmond,h,1045000,93,1631, ,830000,74107.14286,11236.55914,74
Richmond,h,1591000,93,606,2714.285714,84444.44444,86363.63636,17107.52688,86
Seddon,h,822500,93,861,5454.545455,200000,43165.46763,8844.086022,43
South Melbourne,u,1050000,93,6879, ,360000,163636.3636,11290.32258,164
South Melbourne,h,1250000,93,3063,9740,811666.6667,187307.6923,13440.86022,187
South Melbourne,h,1650000,93, ,15625,750000,294117.6471,17741.93548,294
South Yarra,u,600000,93,4437, ,335000,394117.6471,6451.612903,394
South Yarra,u,523000,93,2206, ,558000,96763.00578,5623.655914,97
Spotswood,t,840000,93,4471,16013.0719,816666.6667,340277.7778,9032.258065,340
Aberfeldie,h,1190000,92,2671, ,468750,158898.3051,12934.78261,159
Brunswick East,u,590000,92,3228, ,457500,160526.3158,6413.043478,161
Seaholme,h,1415000,91,2248,9705.882353,412500,88709.67742,15549.45055,89
Albert Park,h,2000000,91, ,8000,280000,72727.27273,21978.02198,73
Ascot Vale,h,1135000,91, ,6105.263158,290000,95081.96721,12472.52747,95
Ascot Vale,h,950000,91,3873,11281.25,601666.6667,225625,10439.56044,226
Ashwood,h,1110000,91,1690, ,355000,183620.6897,12197.8022,184
Avondale Heights,h,522500,91,2500,7740.384615,268333.3333,95833.33333,5741.758242,96
Avondale Heights,h,680000,91, ,7642.857143,267500,87704.91803,7472.527473,88
Avondale Heights,u,500000,91,3256, ,351666.6667,202884.6154,5494.505495,203
Avondale Heights,t,550000,91,4341,10268.8172,318333.3333,161864.4068,6043.956044,162
Bentleigh East,t,965000,91, ,2657.004831,550000,289473.6842,10604.3956,289
Bentleigh East,u,870000,91, ,8695.652174,400000,156862.7451,9560.43956,157
Bentleigh East,h,1161000,91,4658,15454.54545,425000,151785.7143,12758.24176,152
Bentleigh East,h,1266000,91,2408,6885.416667,440666.6667,191594.2029,13912.08791,192
Bentleigh East,t,700000,91,4339,4686.41115,448333.3333,194927.5362,7692.307692,195
Brighton East,t,681000,91,1125,10188.67925,540000,163636.3636,7483.516484,164
Brighton East,h,1310000,91,2851, ,453333.3333,170000,14395.6044,170
Brunswick,h,880000,91,1742,7201.680672,214250,65419.84733,9670.32967,65
Brunswick,t,754000,91,2117,9260,347250,129813.0841,8285.714286,130
Brunswick,h,916000,91,3052,17769.23077,577500,215887.8505,10065.93407,216
Brunswick,u,590000,91,2433,10538.46154,456666.6667,175641.0256,6483.516484,176
Brunswick,u,575000,91,3409,7894.736842,500000,187500,6318.681319,188
Brunswick West,h,1315000,91,1676,7831.632653,255833.3333,119921.875,14450.54945,120
Brunswick West,u,370000,91,3913,10975.60976,750000,489130.4348,4065.934066,489
Brunswick West,t,735000,91, ,16304.34783,375000,500000,8076.923077,500
Brunswick West,h,1000000,91,1699,5957.446809,350000,130841.1215,10989.01099,131
Bulleen,h,1100000,91,704,9224.137931,267500,130487.8049,12087.91209,130
Bulleen,h,1475000,91,2480,5465.116279,313333.3333,111904.7619,16208.79121,112
Burwood,h,1250000,91,7622,5482.45614,625000,120192.3077,13736.26374,120
Carlton North,u,437000,91,3523,8454.545455,465000,81578.94737,4802.197802,82
Carlton North,u,520000,91, ,7076.271186,417500,74553.57143,5714.285714,75
Caulfield South,h,1340000,91,1924,8350.515464,405000,92045.45455,14725.27473,92
Chadstone,h,705000,91,791,9285.714286,325000,106557.377,7747.252747,107
Clifton Hill,t,825000,91,4577,9942.528736,288333.3333,123571.4286,9065.934066,124
Clifton Hill,u,533000,91, ,9963.768116,343750,89285.71429,5857.142857,89
Coburg,h,1008000,91,2355,11225.80645,435000,252173.913,11076.92308,252
Coburg,h,990000,91,3778,6415.09434,340000,309090.9091,10879.12088,309
Coburg,u,451000,91,2271,6668.421053,211166.6667,45250,4956.043956,45
Collingwood,u,672000,91,2428,5079.365079,400000,115107.9137,7384.615385,115
Collingwood,u,1215000,91,3156,8192.307692,426000,163846.1538,13351.64835,164
Elwood,u,680000,91,2795,8366.013072,320000,152380.9524,7472.527473,152
Elwood,u,600000,91,2091, ,830000,94318.18182,6593.406593,94
Elwood,u,370000,91,2895, ,550000,126923.0769,4065.934066,127
Essendon,u,405000,91,26744,5609.756098,287500,147435.8974,4450.549451,147
Essendon,u,450000,91, ,10542.16867,437500,113636.3636,4945.054945,114
Essendon,u,740000,91, ,7774.193548,482000,253684.2105,8131.868132,254
Fairfield,t,805000,91,5988,12716.04938,515000,412000,8846.153846,412
Fitzroy,h,1300000,91,4748,4808.917197,377500,145192.3077,14285.71429,145
Fitzroy North,h,1710000,91,1613, ,235000,62946.42857,18791.20879,63
Flemington,h,850000,91, , ,460000,200000,9340.659341,200
Footscray,u,282000,91,4334,11814.15929,445000,296666.6667,3098.901099,297
Footscray,t,699000,91,3236,8413.043478,322500,84868.42105,7681.318681,85
Glenroy,h,1217500,91,4774,9921.568627,337333.3333,230000,13379.12088,230
Glenroy,h,600000,91,3730,8215.686275,419000,237169.8113,6593.406593,237
Glenroy,h,570000,91,1603,5584.848485,307166.6667,156186.4407,6263.736264,156
Hampton,t,1100000,91, , ,283833.3333,76026.78571,12087.91209,76
Kealba,h,560000,91,1128,5940.17094,231666.6667,55158.73016,6153.846154,55
Keilor East,h,735000,91,2684,10233.33333,767500,118076.9231,8076.923077,118
Kensington,h,850000,91,2971,10213.81579,776250,277232.1429,9340.659341,277
Maidstone,h,765000,91,2379,7095.652174,272000,138305.0847,8406.593407,138
Malvern East,h,1100000,91,2980,6972.477064,380000,90476.19048,12087.91209,90
Malvern East,u,373000,91,2345,7604.562738,666666.6667,312500,4098.901099,313
Malvern East,u,536000,91,2827,7948.717949,310000,86915.88785,5890.10989,87
Maribyrnong,t,400000,91,2291,9139.784946,425000,108974.359,4395.604396,109
Maribyrnong,h,1215000,91, ,10196.07843,520000,67532.46753,13351.64835,68
Melbourne,u,733000,91, ,10698.63014,390500,173555.5556,8054.945055,174
Melbourne,u,675000,91,975,5230.769231,204000,58705.03597,7417.582418,59
Moonee Ponds,h,1725000,91,4508,7556.818182,443333.3333,127884.6154,18956.04396,128
Moonee Ponds,u,600000,91,1912,7919.463087,393333.3333,200000,6593.406593,200
Newport,h,793000,91,3457,9953.703704,537500,206730.7692,8714.285714,207
Newport,t,747000,91,355,6260,313000,73647.05882,8208.791209,74
Newport,h,896000,91,6336,15806.45161,735000,639130.4348,9846.153846,639
North Melbourne,u,630000,91,6757,13888.88889,750000,333333.3333,6923.076923,333
Northcote,h,1211000,91,2046,8099.173554,326666.6667,111363.6364,13307.69231,111
Northcote,h,4300000,91,3607,7409.90991,411250,124621.2121,47252.74725,125
Northcote,u,770000,91,1948,5763.888889,415000,101219.5122,8461.538462,101
Northcote,h,1000000,91,2374,11336.2069,657500,222881.3559,10989.01099,223
Parkville,h,1928000,91,2029,6971.830986,247500,126923.0769,21186.81319,127
Pascoe Vale,h,616000,91, ,10149.25373,340000,88311.68831,6769.230769,88
Port Melbourne,h,1010000,91,2273,7633.587786,333333.3333,181818.1818,11098.9011,182
Port Melbourne,u,455500,91,6250,13580.24691,550000,333333.3333,5005.494505,333
Preston,u,300000,91,3734,8814.43299,285000,164423.0769,3296.703297,164
Preston,h,890000,91,3242, ,386833.3333,124784.9462,9780.21978,125
Preston,h,1050000,91,2195,6246.153846,270666.6667,104102.5641,11538.46154,104
Reservoir,h,700000,91,2026,6177.419355,255333.3333,98205.12821,7692.307692,98
Reservoir,h,801000,91,1877,10876.28866,351666.6667,81153.84615,8802.197802,81
Reservoir,u,216000,91,2641,11470.58824,390000,169565.2174,2373.626374,170
Reservoir,u,220000,91,1971, ,453333.3333,115254.2373,2417.582418,115
Reservoir,u,340000,91,2098,8467.153285,386666.6667,111538.4615,3736.263736,112
Richmond,h,1320000,91,2530,5882.352941,375000,122950.8197,14505.49451,123
Richmond,h,1651000,91,2259,14150.9434,500000,114503.8168,18142.85714,115
Richmond,h,1800000,91,1785,8973.509934,451666.6667,126635.514,19780.21978,127
Richmond,u,791500,91,1921,13370,334250,102846.1538,8697.802198,103
Richmond,h,1600000,91,2191,7573.529412,515000,122619.0476,17582.41758,123
Seddon,u,355000,91,3581,10637.2549,542500,166923.0769,3901.098901,167
South Melbourne,h,2300000,91,2029,6699.029126,230000,49285.71429,25274.72527,49
South Yarra,h,1100000,91, ,9593.023256,412500,107142.8571,12087.91209,107
South Yarra,u,410000,91,2175,9441.624365,465000,143076.9231,4505.494505,143
South Yarra,h,1125000,91,3768,13168.31683,443333.3333,225423.7288,12362.63736,225
Southbank,u,800000,91,2048,11654.13534,387500,135964.9123,8791.208791,136
Southbank,u,540000,91,2237,10109.48905,461666.6667,173125,5934.065934,173
St Kilda,h,1200500,91,5153,8358.267717,530750,189553.5714,13192.30769,190
St Kilda,u,565000,91,1332,7007.874016,222500,70634.92063,6208.791209,71
Sunshine West,h,622500,91,3760, ,470000,125892.8571,6840.659341,126
Sunshine West,u,350000,91,3369, ,380000,166666.6667,3846.153846,167
Templestowe Lower,h,1053000,91,3096,5478.26087,420000,161538.4615,11571.42857,162
