Suburb,CouncilArea,Lattitude,Longtitude,Buildingage,Pricepermeterland,Pricepermeterbuilding
Brunswick West,Moreland City Council,-37.7538,144.944,96,1943.887776,6466.666667
Carnegie,Glen Eira City Council,-37.886,145.0659,53, , 
Carnegie,Glen Eira City Council,-37.8887,145.048,61, ,7604.166667
Carnegie,Glen Eira City Council,-37.8894,145.0508, , , 
Caulfield,Glen Eira City Council,-37.885,145.0189, ,3963.636364, 
Coburg,Darebin City Council,-37.7384,144.9617, ,1484.794275, 
Coburg,Darebin City Council,-37.7443,144.9494, ,2224.394786, 
Coburg,Darebin City Council,-37.7363,144.9723, , , 
Coburg,Darebin City Council,-37.7517,144.9795, ,918.8034188, 
Collingwood,Yarra City Council,-37.8035,144.985,101, ,7543.859649
Essendon,Moonee Valley City Council,-37.7489,144.9073, ,2408, 
Essendon,Moonee Valley City Council,-37.7451,144.9145,51, , 
Footscray,Maribyrnong City Council,-37.7931,144.8938,131,2098.591549,10067.56757
Footscray,Maribyrnong City Council,-37.7939,144.8846,21,2613.138686,2603.636364
Glenroy,Moreland City Council,-37.6972,144.9239,21,1741.935484,1741.935484
Glenroy,Moreland City Council,-37.6979,144.9377,51,1074.21875,4252.57732
Glenroy,Moreland City Council,-37.6969,144.9334,16,1022.435897,2472.868217
Hampton,Bayside City Council,-37.9446,145.0092,96,2983.193277,11329.78723
Hughesdale,Monash City Council,-37.9084,145.0775,71,1178.26087,8162.650602
Keilor East,Brimbank City Council,-37.7487,144.8526,51,1195.652174,5813.00813
Kensington,Melbourne City Council,-37.7966,144.9254, , , 
Maidstone,Maribyrnong City Council,-37.7893,144.8818,51,2321.321321,5642.335766
Maidstone,Maribyrnong City Council,-37.782,144.8828, ,1319.241983, 
Malvern,Stonnington City Council,-37.8603,145.0322,101,7348.242812, 
Malvern East,Stonnington City Council,-37.8738,145.0415, ,3890.625, 
Malvern East,Stonnington City Council,-37.8767,145.0469, ,10000, 
Malvern East,Stonnington City Council,-37.8828,145.0528,6, ,5416.666667
Maribyrnong,Maribyrnong City Council,-37.772,144.8801,20,4842.105263, 
Maribyrnong,Maribyrnong City Council,-37.7848,144.8969,16,4191.943128,3779.91453
Maribyrnong,Maribyrnong City Council,-37.7804,144.8878,81,1700.3367, 
Maribyrnong,Maribyrnong City Council,-37.7837,144.8888, ,1521.335807, 
Maribyrnong,Maribyrnong City Council,-37.7837,144.8887,15,1418.685121,4659.090909
Maribyrnong,Maribyrnong City Council,-37.7689,144.8981,51, , 
Melbourne,Melbourne City Council,-37.8077,144.9668,9,222.7298686, 
Moonee Ponds,Moonee Valley City Council,-37.7708,144.9093,51,3347.280335,6666.666667
Newport,Hobsons Bay City Council,-37.8385,144.8824,101,1328.808446,4636.842105
Newport,Hobsons Bay City Council,-37.835,144.8814,8,2500,5357.142857
Niddrie,Moonee Valley City Council,-37.74,144.8851, ,2197.026022, 
Niddrie,Moonee Valley City Council,-37.736,144.8809, ,1488.372093, 
Niddrie,Moonee Valley City Council,-37.7465,144.8867, ,4014.778325, 
Northcote,Darebin City Council,-37.7665,144.9955,26,6066.666667,11234.5679
Northcote,Darebin City Council,-37.7784,144.9959,51,4319.371728,9821.428571
Northcote,Darebin City Council,-37.7671,145.0153, ,4934.497817, 
Northcote,Darebin City Council,-37.7767,144.9996,109,2769.784173, 
Northcote,Darebin City Council,-37.7741,144.9971,121,4617.737003,9151.515152
Northcote,Darebin City Council,-37.7825,145.0072,121,2063.273728, 
Northcote,Darebin City Council,-37.7825,145.0073, ,3086.666667, 
Oak Park,Moreland City Council,-37.7129,144.9253,26,1584.507042,3461.538462
Oak Park,Moreland City Council,-37.7157,144.9165, , , 
Parkville,Melbourne City Council,-37.7829,144.9574,26, , 
Parkville,Melbourne City Council,-37.7813,144.9578, ,341.997264, 
Pascoe Vale,Moreland City Council,-37.7346,144.9456,81,1585.365854,4609.929078
Pascoe Vale,Moreland City Council,-37.7257,144.9418, ,1323.446328, 
Pascoe Vale,Moreland City Council,-37.7161,144.9348, ,3025.210084, 
Pascoe Vale,Moreland City Council,-37.7168,144.9329,8,2617.801047,5434.782609
Pascoe Vale,Moreland City Council,-37.7304,144.9261,71,1470.588235, 
Pascoe Vale,Moreland City Council,-37.7215,144.951,71,1121.722846,5990
Port Melbourne,Melbourne City Council,-37.8401,144.943,111,9310.344828,11368.42105
Port Melbourne,Melbourne City Council,-37.835,144.9442, ,8892.405063, 
Prahran,Stonnington City Council,-37.8478,144.9892, ,6355.932203, 
Prahran,Stonnington City Council,-37.8519,145.0055,121,11041.09589,11597.1223
Prahran,Stonnington City Council,-37.8494,145.005, ,7246.231156, 
Preston,Darebin City Council,-37.7395,144.9843,71,2153.846154,7000
Preston,Darebin City Council,-37.7479,144.9941, ,1720.08547, 
Preston,Darebin City Council,-37.75,144.9846,16, ,5905.511811
Preston,Darebin City Council,-37.732,145.0209,71,1500,5000
Reservoir,Darebin City Council,-37.7291,145.021,91,1613.272311, 
Reservoir,Darebin City Council,-37.7243,144.9883, ,1374.269006, 
Reservoir,Darebin City Council,-37.6983,144.9998,9,2932.330827,6000
Richmond,Yarra City Council,-37.8202,145.0013, ,8777.777778, 
Richmond,Yarra City Council,-37.8129,145.0013,11,11226.85185,11226.85185
Richmond,Yarra City Council,-37.8199,144.9911,121,10922.3301,15202.7027
Richmond,Yarra City Council,-37.8185,144.9935,121,6129.032258,15200
Seddon,Maribyrnong City Council,-37.81,144.8896,121,4738.372093,10061.7284
Seddon,Maribyrnong City Council,-37.8078,144.8979,111,4274.390244, 
South Melbourne,Port Phillip City Council,-37.8331,144.9683, , , 
South Melbourne,Port Phillip City Council,-37.8361,144.9682, , , 
South Yarra,Melbourne City Council,-37.8453,145.0012,52, ,7013.888889
South Yarra,Melbourne City Council,-37.8421,144.9978,10, , 
South Yarra,Melbourne City Council,-37.8352,144.9922, , , 
Southbank,Melbourne City Council,-37.8274,144.9587,21,677.6556777,7254.901961
Southbank,Melbourne City Council,-37.8273,144.9685, , ,6428.571429
St Kilda,Port Phillip City Council,-37.861,144.9891, ,536.4238411, 
St Kilda,Port Phillip City Council,-37.8699,144.9764,61,213.3815552,7695.652174
St Kilda,Port Phillip City Council,-37.8601,144.9898, ,405.3058217, 
St Kilda,Port Phillip City Council,-37.8569,144.9885, , , 
Strathmore,Moonee Valley City Council,-37.7225,144.9055, ,2273.901809, 
Strathmore,Moonee Valley City Council,-37.7373,144.9155, ,2086.038961, 
Sunshine,Brimbank City Council,-37.7867,144.8437, ,1076.923077, 
Sunshine,Brimbank City Council,-37.7796,144.8384,81,2806.451613, 
Sunshine,Brimbank City Council,-37.7905,144.8414, ,1722.891566,10319.58763
Sunshine,Brimbank City Council,-37.7925,144.8282, ,1385.245902, 
Sunshine West,Brimbank City Council,-37.8022,144.8235,43,688.5496183,3089.041096
Thornbury,Darebin City Council,-37.7569,144.9861, ,3614.457831, 
Toorak,Stonnington City Council,-37.8458,145.0221, , , 
Toorak,Stonnington City Council,-37.8475,145.008, ,2888.888889, 
Toorak,Stonnington City Council,-37.8427,145.0242,91, , 
West Melbourne,Melbourne City Council,-37.8118,144.9526,25, ,7419.753086
Brunswick East,Moreland City Council,-37.7713,144.9744,91,4334.415584,11814.15929
Brunswick East,Moreland City Council,-37.7732,144.9716, , , 
Brunswick East,Moreland City Council,-37.7789,144.9739,18, ,7061.403509
Brunswick East,Moreland City Council,-37.7655,144.9816,26, , 
Carlton,Melbourne City Council,-37.8018,144.965, , , 
Carlton,Melbourne City Council,-37.7957,144.9724, ,7844.262295, 
Essendon West,Moonee Valley City Council,-37.7577,144.8892,71,1620.639535,5807.291667
Essendon West,Moonee Valley City Council,-37.7519,144.883, ,1733.615222, 
Kingsbury,Darebin City Council,-37.7159,145.0389,71,916.2337662, 
Kingsville,Maribyrnong City Council,-37.8089,144.8788,61, ,5263.157895
Murrumbeena,Glen Eira City Council,-37.8947,145.0722,41,4008.064516,6777.272727
Murrumbeena,Glen Eira City Council,-37.8904,145.0729,81,3652.173913, 
Ormond,Glen Eira City Council,-37.9014,145.0418,16, , 
West Footscray,Maribyrnong City Council,-37.7908,144.8711, ,2926.136364, 
West Footscray,Maribyrnong City Council,-37.7901,144.8682,61,2211.586902,6913.385827
Albion,Brimbank City Council,-37.7813,144.8234, ,993.5205184,5411.764706
Albion,Brimbank City Council,-37.7839,144.8239, , , 
Oakleigh,Monash City Council,-37.9008,145.098, ,5937.5, 
Airport West,Moonee Valley City Council,-37.7173,144.8872, ,1161.290323, 
Airport West,Moonee Valley City Council,-37.7259,144.8792, ,1314.907873,6181.102362
Albert Park,Port Phillip City Council,-37.8444,144.9484,121,7551.020408, 
Altona,Hobsons Bay City Council,-37.8702,144.8143,66,2025.723473,6702.12766
Altona,Hobsons Bay City Council,-37.8693,144.8171, ,6246.153846, 
Altona North,Hobsons Bay City Council,-37.8379,144.8583,9, ,5538.461538
Ascot Vale,Moonee Valley City Council,-37.7748,144.929,121,3914.498141,9660.550459
Ascot Vale,Moonee Valley City Council,-37.7756,144.9208,121,3302.158273,8196.428571
Ashwood,Monash City Council,-37.8647,145.1023,21,2415.458937,7389.162562
Avondale Heights,Moonee Valley City Council,-37.7591,144.8542,51,1192.982456,5666.666667
Bentleigh,Glen Eira City Council,-37.9332,145.045,56, ,5217.391304
Bentleigh,Glen Eira City Council,-37.9278,145.0337,9,4931.271478,6768.867925
Bentleigh,Glen Eira City Council,-37.9263,145.04,81,1604.046243,6768.292683
Bentleigh,Glen Eira City Council,-37.9166,145.0314,93,3062.893082,9740
Bentleigh East,Glen Eira City Council,-37.9132,145.0782,51,1739.130435, 
Bentleigh East,Glen Eira City Council,-37.9347,145.0546,7,4158.075601,5450.45045
Bentleigh East,Glen Eira City Council,-37.914,145.0714,15,3613.707165,6444.444444
Brighton,Bayside City Council,-37.8956,145.0026,101,2863.414634,13044.44444
Brighton,Bayside City Council,-37.9287,144.992, ,4421.768707, 
Brighton,Bayside City Council,-37.9166,144.9942,28, ,7616.959064
Brighton,Bayside City Council,-37.9301,144.9935, , , 
Brighton East,Bayside City Council,-37.9241,145.0125,73,2711.370262, 
Brighton East,Bayside City Council,-37.9199,145.0174,21,4761.904762,6578.947368
Brighton East,Bayside City Council,-37.9271,145.0281, ,5506.329114, 
Brunswick,Moreland City Council,-37.7608,144.968,51, ,6557.377049
Brunswick,Moreland City Council,-37.7661,144.9691,111,5588.235294,9895.833333
Bulleen,Manningham City Council,-37.7778,145.0901, ,1786.053883, 
Bulleen,Manningham City Council,-37.7689,145.099,71,1692.307692,5500
Bulleen,Manningham City Council,-37.7582,145.0889, ,2270.664506, 
Carlton North,Melbourne City Council,-37.7824,144.9733, ,6305.418719, 
Carnegie,Glen Eira City Council,-37.9032,145.0555,51, ,5142.857143
Carnegie,Glen Eira City Council,-37.8973,145.053,91,3235.785953,8413.043478
Carnegie,Glen Eira City Council,-37.8881,145.0537,101,5094.339623, 
Carnegie,Glen Eira City Council,-37.889,145.0533, , , 
Carnegie,Glen Eira City Council,-37.8888,145.0533,51, ,10000
Chadstone,Monash City Council,-37.8784,145.0958, ,1650.165017, 
Coburg,Darebin City Council,-37.7508,144.9608,131,5605.882353,9435.643564
Coburg,Darebin City Council,-37.7429,144.952,121,2625,7903.225806
Doncaster,Manningham City Council,-37.794,145.1178,14,3428.571429,6545.454545
Elsternwick,Glen Eira City Council,-37.8833,144.9982, , , 
Elwood,Port Phillip City Council,-37.8839,144.9855,61, ,8088.235294
Essendon,Moonee Valley City Council,-37.7507,144.8911,6,3342.245989,4681.64794
Essendon North,Moonee Valley City Council,-37.7396,144.902,51,393.3933934, 
Fairfield,Darebin City Council,-37.7698,145.0183,121,4527.659574, 
Fitzroy,Yarra City Council,-37.7941,144.9802,56, ,11408.4507
Fitzroy North,Moreland City Council,-37.7833,144.9819,131,6720,13090.90909
Footscray,Maribyrnong City Council,-37.7919,144.8854,11,863.3093525,6400
Footscray,Maribyrnong City Council,-37.7964,144.9027,41, , 
Footscray,Maribyrnong City Council,-37.7913,144.8879,81,2520.775623,7711.864407
Glenroy,Moreland City Council,-37.7062,144.9261, ,1027.607362, 
Glenroy,Moreland City Council,-37.7072,144.9252,11,2621.95122,4300
Glenroy,Moreland City Council,-37.7126,144.9122, ,1024.639423, 
Glenroy,Moreland City Council,-37.712,144.9127, ,1013.847676, 
Gowanbrae,Moreland City Council,-37.709,144.8964,17,2344.186047,3625.899281
Hampton,Bayside City Council,-37.9389,145.0186,36,8444.444444,8837.209302
Hampton,Bayside City Council,-37.9373,145.0027,16, ,5923.076923
Hampton,Bayside City Council,-37.9437,145.0175,66,2323.651452,18666.66667
Hampton,Bayside City Council,-37.9438,145.0184,61,3812.405446, 
Hughesdale,Monash City Council,-37.9072,145.0762,72,1840.559441,10444.44444
Kealba,Brimbank City Council,-37.7359,144.8251, ,863.5578584, 
Kensington,Melbourne City Council,-37.7946,144.924, ,3103.365385, 
Kensington,Melbourne City Council,-37.7899,144.9231,19, ,5250
Malvern,Stonnington City Council,-37.866,145.039,131,4095.56314,12307.69231
Malvern East,Stonnington City Council,-37.8799,145.0552,101,2388.816645,9372.44898
Malvern East,Stonnington City Council,-37.877,145.067, ,3338.36858, 
Newport,Hobsons Bay City Council,-37.8416,144.8651,12,3684.269663,6429.411765
Newport,Hobsons Bay City Council,-37.841,144.8874,10,4643.776824,6557.575758
Newport,Hobsons Bay City Council,-37.8414,144.892,101,2216.117216,8402.777778
Northcote,Darebin City Council,-37.7793,144.9972,10, ,8449.275362
Oak Park,Moreland City Council,-37.7151,144.9191,26,2518.518519,5600
Pascoe Vale,Moreland City Council,-37.7323,144.9288, ,1651.785714, 
Pascoe Vale,Moreland City Council,-37.718,144.94,12,3250,5969.387755
Pascoe Vale,Moreland City Council,-37.7269,144.9274,33,4247.787611,5106.382979
Pascoe Vale,Moreland City Council,-37.7247,144.9257,31,2813.953488,3853.503185
Port Melbourne,Melbourne City Council,-37.8416,144.9381,8,1373.056995,9464.285714
Port Melbourne,Melbourne City Council,-37.8404,144.9391,9, ,8428.571429
Port Melbourne,Melbourne City Council,-37.8343,144.9452,141,10287.67123, 
Prahran,Stonnington City Council,-37.8595,145.0076,51, ,6470.588235
Prahran,Stonnington City Council,-37.8495,144.9885,121,10592.59259, 
Prahran,Stonnington City Council,-37.8486,144.9872, , , 
Prahran,Stonnington City Council,-37.8526,145.0071,21,9726.5625,9291.044776
Preston,Darebin City Council,-37.7331,144.988, ,1298.299845, 
Preston,Darebin City Council,-37.7322,145.0318,31,1864.661654,5061.22449
Preston,Darebin City Council,-37.733,144.9988, ,1865.731463, 
Preston,Darebin City Council,-37.7484,144.9949, ,310.1745143, 
Reservoir,Darebin City Council,-37.7093,145.0012,46,170.9767044,4705.882353
Reservoir,Darebin City Council,-37.6946,144.9962,56,939.2265193,3777.777778
Reservoir,Darebin City Council,-37.705,145.0216,71,1003.081664,5710.526316
Reservoir,Darebin City Council,-37.7152,144.9823, ,1023.421589, 
Richmond,Yarra City Council,-37.8141,145.0011, , , 
Richmond,Yarra City Council,-37.815,145.0089,21, ,8088.235294
Richmond,Yarra City Council,-37.8154,145.0061, ,14775.64103, 
Richmond,Yarra City Council,-37.817,145.0135,14,23706.89655,8702.531646
Richmond,Yarra City Council,-37.8215,145.0102, ,4194.690265, 
Seddon,Maribyrnong City Council,-37.8087,144.8978,51, ,6923.076923
South Yarra,Melbourne City Council,-37.8456,145.0005,51, , 
South Yarra,Melbourne City Council,-37.8361,144.9966,21, , 
Southbank,Melbourne City Council,-37.8273,144.9556,21, ,5909.090909
Spotswood,Hobsons Bay City Council,-37.831,144.8884,30,2622.699387,7633.928571
St Kilda,Port Phillip City Council,-37.867,144.991, ,9308.510638, 
Strathmore,Moonee Valley City Council,-37.7196,144.9062,51,1278.337531, 
Sunshine,Brimbank City Council,-37.7966,144.8252, ,867.4101611, 
Sunshine North,Brimbank City Council,-37.7555,144.8295,43,879.1208791,4848.484848
Sunshine North,Brimbank City Council,-37.7689,144.8402,61,1268.221574,5370.37037
Templestowe Lower,Manningham City Council,-37.76,145.1054,61,1643.835616,7741.935484
Templestowe Lower,Manningham City Council,-37.7573,145.0994,48,1518.404908,5238.095238
Toorak,Stonnington City Council,-37.8371,145.0066,51, ,8486.238532
Toorak,Stonnington City Council,-37.8474,145.0078,51, ,7258.064516
West Melbourne,Melbourne City Council,-37.8094,144.9479,15,14814.81481,8988.764045
Windsor,Port Phillip City Council,-37.8581,144.9972, ,575.2636625, 
Yarraville,Maribyrnong City Council,-37.8129,144.8952, , , 
Brunswick East,Moreland City Council,-37.7776,144.9727,131,7789.699571,8897.058824
Kingsville,Maribyrnong City Council,-37.8046,144.8831,81,3154.440154,7780.952381
Kingsville,Maribyrnong City Council,-37.8118,144.8801,101,3763.636364,7137.931034
Murrumbeena,Glen Eira City Council,-37.8955,145.073,41,4596.273292,8314.606742
Ormond,Glen Eira City Council,-37.9064,145.0287,97,3322.751323, 
Ormond,Glen Eira City Council,-37.9065,145.0461,101,2828.908555,11839.50617
Ormond,Glen Eira City Council,-37.906,145.04,31,3396.226415,9890.10989
Cremorne,Yarra City Council,-37.8301,144.9904,14, ,8173.076923
South Kingsville,Hobsons Bay City Council,-37.8289,144.8671,10,4304.635762,6372.54902
Caulfield East,Glen Eira City Council,-37.8815,145.0491, ,1885.714286, 
Seaholme,Hobsons Bay City Council,-37.8628,144.8468, ,1601.489758, 
Abbotsford,Yarra City Council,-37.8084,144.9973, ,6012.820513, 
Airport West,Moonee Valley City Council,-37.7177,144.8787, ,2291.666667, 
Altona,Hobsons Bay City Council,-37.868,144.8286,7,10579.71014,5177.304965
Ascot Vale,Moonee Valley City Council,-37.7821,144.9055,101,2878.787879,10251.79856
Ashwood,Monash City Council,-37.8651,145.1107, ,1954.41989, 
Bentleigh,Glen Eira City Council,-37.9326,145.0387,31,3193.832599,7250
Bentleigh East,Glen Eira City Council,-37.926,145.0551, ,1910.818713, 
Bentleigh East,Glen Eira City Council,-37.9343,145.0607, ,1534.954407,9017.857143
Bentleigh East,Glen Eira City Council,-37.9179,145.071,61,1187.817259,6882.352941
Bentleigh East,Glen Eira City Council,-37.9111,145.072, ,2656.862745, 
Box Hill,Whitehorse City Council,-37.8216,145.127,11, ,7153.846154
Braybrook,Maribyrnong City Council,-37.7825,144.8545, ,1215.970962, 
Brighton,Bayside City Council,-37.9153,144.9924,30,6818.181818,11029.41176
Brighton,Bayside City Council,-37.892,144.9918, ,3750, 
Brighton,Bayside City Council,-37.9268,144.991,71,4570.397112,10913.7931
Brighton East,Bayside City Council,-37.9175,145.0116,51,2968.992248,8046.218487
Brighton East,Bayside City Council,-37.9075,145.0248,73,2759.197324,7783.018868
Brunswick,Moreland City Council,-37.7769,144.9661, ,3264.423077, 
Brunswick,Moreland City Council,-37.7624,144.9692, ,4019.138756, 
Brunswick,Moreland City Council,-37.7617,144.9642,19, ,6850
Brunswick,Moreland City Council,-37.7768,144.9512,51,781.25, 
Brunswick,Moreland City Council,-37.7714,144.9612, , , 
Burwood,Monash City Council,-37.856,145.1196,66,1535.836177, 
Carnegie,Glen Eira City Council,-37.892,145.0482,21,4909.722222,7364.583333
Carnegie,Glen Eira City Council,-37.9,145.0548,28, ,9348.837209
Caulfield North,Glen Eira City Council,-37.8681,145.0258, , , 
Caulfield South,Glen Eira City Council,-37.8893,145.0161,96,3033.472803,12083.33333
Chadstone,Monash City Council,-37.8792,145.0948,71,1712.820513,10329.89691
Clifton Hill,Yarra City Council,-37.7875,145.0049,51,961.1650485,9900
Clifton Hill,Yarra City Council,-37.7873,144.9958, , , 
Clifton Hill,Yarra City Council,-37.7921,144.9898,131,7784.090909,10148.14815
Coburg,Darebin City Council,-37.7427,144.9711, ,4760.869565, 
Coburg North,Darebin City Council,-37.7305,144.9605,71,1271.582734,5480.620155
Collingwood,Yarra City Council,-37.796,144.9911,51,1125.615764,9326.530612
Doncaster,Manningham City Council,-37.7934,145.1336, ,1132.238548, 
Doncaster,Manningham City Council,-37.7743,145.1093,51,3124.481328,7171.428571
Elsternwick,Glen Eira City Council,-37.883,145.0043,141,4933.586338,14130.43478
Elwood,Port Phillip City Council,-37.8844,144.9855,18, , 
Essendon,Moonee Valley City Council,-37.7403,144.8989,36,4062.5,5038.75969
Fitzroy,Yarra City Council,-37.7953,144.9775,21, ,8380.952381
Fitzroy,Yarra City Council,-37.8052,144.9739,167,9821.958457,11374.57045
Fitzroy,Yarra City Council,-37.795,144.9806,121,10731.88406, 
Flemington,Melbourne City Council,-37.7818,144.9247,91,4773.584906,9921.568627
Flemington,Melbourne City Council,-37.7869,144.9253, ,5462.962963, 
Flemington,Melbourne City Council,-37.7853,144.9235, ,4201.277955,65750
Footscray,Maribyrnong City Council,-37.802,144.889, ,1737.756714, 
Footscray,Maribyrnong City Council,-37.8023,144.8915,111,2066.518847,7169.230769
Hadfield,Moreland City Council,-37.704,144.9399,61,1110,4414.772727
Hadfield,Moreland City Council,-37.7098,144.9424,71,1244.827586,7009.708738
Hampton,Bayside City Council,-37.9379,145.0061,51,4851.851852, 
Hampton East,Bayside City Council,-37.9346,145.0302, ,2043.973941, 
Hughesdale,Monash City Council,-37.9054,145.0857, ,2439.02439, 
Keilor East,Brimbank City Council,-37.7337,144.8617, ,2155.963303,5340.909091
Kensington,Melbourne City Council,-37.7922,144.9316,13,7304.733728,9720.472441
Kensington,Melbourne City Council,-37.7896,144.9321,23,599.459946,7239.130435
Maidstone,Maribyrnong City Council,-37.7871,144.8791,121,2392.592593,6800
Malvern,Stonnington City Council,-37.8613,145.0393,5,6473.594549,9693.877551
Malvern East,Stonnington City Council,-37.8691,145.0435, ,4244.935543, 
Melbourne,Melbourne City Council,-37.8111,144.9715,16, ,8470.588235
Melbourne,Melbourne City Council,-37.8106,144.9646,16, , 
Melbourne,Melbourne City Council,-37.8078,144.961, , , 
Middle Park,Port Phillip City Council,-37.852,144.9654, ,11655.17241, 
Moonee Ponds,Moonee Valley City Council,-37.7683,144.9325, ,1923.076923, 
Niddrie,Moonee Valley City Council,-37.7484,144.8892, ,1393.034826, 
Niddrie,Moonee Valley City Council,-37.7379,144.8854, ,1186.131387, 
North Melbourne,Melbourne City Council,-37.7976,144.944,131,11737.28814,9233.333333
Northcote,Darebin City Council,-37.7707,144.9924,131,3795.811518,11693.54839
Northcote,Darebin City Council,-37.7704,145.0066, ,1778.688525, 
Oak Park,Moreland City Council,-37.7152,144.9074, ,1011.821975, 
Pascoe Vale,Moreland City Council,-37.7209,144.93,9,3401.360544,4587.155963
Pascoe Vale,Moreland City Council,-37.7315,144.9301,46,3489.208633,6554.054054
Preston,Darebin City Council,-37.7352,144.9852,66,1805,8204.545455
Reservoir,Darebin City Council,-37.703,145.0201, , , 
Reservoir,Darebin City Council,-37.7112,144.9989,9, ,6203.703704
Reservoir,Darebin City Council,-37.7293,145.032, ,943.5483871, 
Reservoir,Darebin City Council,-37.7327,145.0347, ,2589.928058, 
Reservoir,Darebin City Council,-37.7327,145.0347,10,1727.272727, 
Reservoir,Darebin City Council,-37.728,145.0352,61,922.2972973,6500
Reservoir,Darebin City Council,-37.7092,145.0274,51,2325.581395,4123.71134
Reservoir,Darebin City Council,-37.7176,145.0058, ,2828.618968, 
Richmond,Yarra City Council,-37.812,145.0029,56, ,7666.666667
Richmond,Yarra City Council,-37.8251,144.9959,121,9583.333333, 
Richmond,Yarra City Council,-37.8236,145.009,56, , 
South Melbourne,Port Phillip City Council,-37.8346,144.9688,111,10619.46903,10000
South Yarra,Melbourne City Council,-37.8403,144.9893, ,9871.428571, 
South Yarra,Melbourne City Council,-37.8407,145.004,51, ,7382.352941
South Yarra,Melbourne City Council,-37.8407,145.0043, , , 
South Yarra,Melbourne City Council,-37.837,144.9931,14, ,7589.285714
St Kilda,Port Phillip City Council,-37.8653,144.9824,18, ,7714.285714
St Kilda,Port Phillip City Council,-37.8604,144.9817,51, ,5722.891566
St Kilda,Port Phillip City Council,-37.8682,144.9782,8, , 
Sunshine,Brimbank City Council,-37.7821,144.8456, ,1350, 
Sunshine West,Brimbank City Council,-37.7871,144.8083,51,758.9285714,3377.483444
Templestowe Lower,Manningham City Council,-37.768,145.1027,51,1373.626374,6097.560976
Thornbury,Darebin City Council,-37.7583,145.0174,63,2567.765568,9873.239437
Toorak,Stonnington City Council,-37.8439,145.0093, ,12345.67901,66666.66667
Williamstown,Hobsons Bay City Council,-37.8571,144.8767,26,2416.267943,4950.980392
Williamstown North,Hobsons Bay City Council,-37.8559,144.8785, ,1882.478632,6338.129496
Windsor,Port Phillip City Council,-37.8552,145.0005, ,425.7332072, 
Yarraville,Maribyrnong City Council,-37.8193,144.8753, ,1914.414414, 
Yarraville,Maribyrnong City Council,-37.8106,144.8957,71, ,6963.111111
Carlton,Melbourne City Council,-37.7982,144.9651, , , 
Murrumbeena,Glen Eira City Council,-37.8969,145.0654,12, , 
Murrumbeena,Glen Eira City Council,-37.8887,145.0718, ,2028.571429, 
West Footscray,Maribyrnong City Council,-37.7915,144.8733,96,2141.643059,2100
Docklands,Melbourne City Council,-37.8141,144.9387, , , 
Travancore,Moonee Valley City Council,-37.7813,144.9371,91,3729.970326,8215.686275
Abbotsford,Yarra City Council,-37.8016,144.9988, , , 
Abbotsford,Yarra City Council,-37.8017,145.0001,9,8719.879518,8318.965517
Abbotsford,Yarra City Council,-37.8078,144.9965, , ,9140
Abbotsford,Yarra City Council,-37.8005,144.9952,101,11581.63265,8867.1875
Airport West,Moonee Valley City Council,-37.7184,144.882, ,1292.134831, 
Airport West,Moonee Valley City Council,-37.7202,144.8797, ,3617.021277,6710.526316
Airport West,Moonee Valley City Council,-37.7181,144.8824, ,2886.792453, 
Altona,Hobsons Bay City Council,-37.8699,144.8235, ,1525.129983, 
Altona North,Hobsons Bay City Council,-37.8262,144.8443,11,2246.376812,6200
Altona North,Hobsons Bay City Council,-37.8277,144.8385,61,1371.939736,4640.127389
Altona North,Hobsons Bay City Council,-37.8382,144.8649,71,1577.966102,5818.75
Altona North,Hobsons Bay City Council,-37.8423,144.8632,13,1381.818182, 
Armadale,Stonnington City Council,-37.8575,145.0174, , , 
Ashwood,Monash City Council,-37.8709,145.102,14,3645.833333,7954.545455
Bentleigh,Glen Eira City Council,-37.9289,145.0481,51,2340.425532,8511.904762
Bentleigh,Glen Eira City Council,-37.9178,145.0413,51,3321.167883,9479.166667
Bentleigh,Glen Eira City Council,-37.9155,145.0243,9,4352.331606,6980.609418
Bentleigh East,Glen Eira City Council,-37.9138,145.0774,15,2840.949833,5041.210682
Bentleigh East,Glen Eira City Council,-37.9258,145.075, ,1799.687011, 
Bentleigh East,Glen Eira City Council,-37.9096,145.0843,9, , 
Braybrook,Maribyrnong City Council,-37.7843,144.8472, ,868.8245315, 
Brighton,Bayside City Council,-37.9095,145.004,111,3727.493917,9284.848485
Brighton,Bayside City Council,-37.9249,144.9928, , , 
Brighton,Bayside City Council,-37.909,145.0005, , , 
Brunswick,Moreland City Council,-37.7563,144.96,131,4673.913043,8269.230769
Brunswick,Moreland City Council,-37.7769,144.9523, , , 
Brunswick,Moreland City Council,-37.7657,144.9574, ,5620.915033, 
Brunswick West,Moreland City Council,-37.7576,144.9348,101,2169.981917,6217.61658
Brunswick West,Moreland City Council,-37.7741,144.9449,61,1071.856287,8136.363636
Brunswick West,Moreland City Council,-37.7525,144.9321,71,1269.177127,6453.900709
Brunswick West,Moreland City Council,-37.7675,144.939,51, ,6333.333333
Brunswick West,Moreland City Council,-37.7575,144.9402,91,1602.608696,5584.848485
Bulleen,Manningham City Council,-37.7674,145.0988,46,1644.518272,5657.142857
Carlton North,Melbourne City Council,-37.7846,144.9704, ,9770.992366, 
Carnegie,Glen Eira City Council,-37.8867,145.0653, ,2953.453453, 
